Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,458.90","1,474.50","1,451.05","1,456.15","1,472.00","1,467.80","1,463.53","1,621.40",705.1,"32,17,949","4,70,95,75,273.85","97,672"
25-Jun-2024,EQ,"1,466.15","1,468.90","1,437.00","1,460.25","1,454.50","1,456.15","1,450.20","1,621.40",705.1,"33,43,186","4,84,82,98,140.85","1,08,468"
24-Jun-2024,EQ,"1,474.85","1,479.65","1,450.20","1,485.50","1,460.25","1,460.25","1,461.90","1,621.40",705.1,"30,09,931","4,40,02,18,717.50","1,03,413"
21-Jun-2024,EQ,"1,479.95","1,498.90","1,470.00","1,469.40","1,475.95","1,485.50","1,485.14","1,621.40",703.0,"2,58,91,893","38,45,30,16,485.20","2,22,567"
20-Jun-2024,EQ,"1,459.30","1,476.80","1,444.10","1,448.40","1,470.75","1,469.40","1,464.46","1,621.40",703.0,"49,05,603","7,18,40,40,756.10","1,72,729"
19-Jun-2024,EQ,"1,446.00","1,452.00","1,420.45","1,445.00","1,452.00","1,448.40","1,438.23","1,621.40",703.0,"44,84,742","6,45,01,11,310.85","1,53,477"
18-Jun-2024,EQ,"1,447.00","1,458.60","1,434.05","1,430.70","1,444.00","1,445.00","1,443.89","1,621.40",703.0,"56,51,898","8,16,07,35,207.70","1,21,761"
14-Jun-2024,EQ,"1,409.00","1,442.00","1,395.45","1,404.45","1,429.70","1,430.70","1,425.58","1,621.40",703.0,"56,51,491","8,05,66,35,246.35","1,49,880"
13-Jun-2024,EQ,"1,403.60","1,411.00","1,388.05","1,393.95","1,404.00","1,404.45","1,401.02","1,621.40",703.0,"28,39,159","3,97,77,27,755.35","1,17,279"
12-Jun-2024,EQ,"1,411.75","1,414.45","1,390.60","1,403.45","1,394.90","1,393.95","1,401.65","1,621.40",703.0,"32,58,265","4,56,69,36,210.75","1,17,720"
11-Jun-2024,EQ,"1,391.00","1,418.80","1,384.05","1,384.05","1,406.00","1,403.45","1,402.32","1,621.40",703.0,"41,22,878","5,78,15,77,228.25","1,12,681"
10-Jun-2024,EQ,"1,404.00","1,415.35","1,381.25","1,378.85","1,383.90","1,384.05","1,396.94","1,621.40",703.0,"48,43,234","6,76,57,08,500.30","1,87,698"
07-Jun-2024,EQ,"1,357.70","1,385.00","1,355.05","1,352.95","1,378.00","1,378.85","1,374.17","1,621.40",703.0,"58,84,018","8,08,56,13,692.45","1,61,288"
06-Jun-2024,EQ,"1,384.00","1,404.00","1,344.80","1,354.60","1,357.00","1,352.95","1,370.84","1,621.40",703.0,"1,21,53,840","16,66,09,20,649.10","4,41,222"
05-Jun-2024,EQ,"1,281.00","1,368.00","1,160.60","1,248.95","1,340.00","1,354.60","1,272.58","1,621.40",703.0,"2,08,79,925","26,57,13,28,175.55","8,27,827"
04-Jun-2024,EQ,"1,558.00","1,558.00","1,188.00","1,583.95","1,245.00","1,248.95","1,337.42","1,621.40",703.0,"5,21,09,624","69,69,25,66,425.95","11,84,624"
03-Jun-2024,EQ,"1,549.00","1,621.40","1,535.00","1,437.40","1,590.00","1,583.95","1,578.73","1,621.40",703.0,"2,33,98,347","36,93,97,04,359.30","4,30,815"
31-May-2024,EQ,"1,391.00","1,451.00","1,391.00","1,383.50","1,439.00","1,437.40","1,428.68","1,457.05",703.0,"82,38,969","11,77,08,30,477.85","2,13,346"
30-May-2024,EQ,"1,410.00","1,413.65","1,373.65","1,410.00","1,390.00","1,383.50","1,395.79","1,457.05",703.0,"34,77,661","4,85,40,71,188.60","1,33,342"
29-May-2024,EQ,"1,406.00","1,427.85","1,382.90","1,400.50","1,409.00","1,410.00","1,407.34","1,457.05",703.0,"32,14,475","4,52,38,63,672.40","1,03,675"
28-May-2024,EQ,"1,438.00","1,438.00","1,398.00","1,431.65","1,400.65","1,400.50","1,411.74","1,457.05",703.0,"40,70,886","5,74,70,15,585.60","1,22,574"
27-May-2024,EQ,"1,445.00","1,457.05","1,423.60","1,416.10","1,432.70","1,431.65","1,439.25","1,457.05",703.0,"55,17,078","7,94,04,67,764.90","1,49,010"
24-May-2024,EQ,"1,435.00","1,444.95","1,382.15","1,443.35","1,416.90","1,416.10","1,401.53","1,448.80",693.15,"1,91,00,263","26,76,95,68,496.55","2,09,082"
23-May-2024,EQ,"1,384.00","1,448.80","1,369.90","1,378.20","1,444.35","1,443.35","1,414.99","1,448.80",693.15,"78,21,034","11,06,66,96,592.30","2,19,904"
22-May-2024,EQ,"1,394.35","1,394.35","1,364.20","1,385.50","1,378.10","1,378.20","1,376.40","1,424.95",693.15,"18,78,562","2,58,56,54,815.70","86,474"
21-May-2024,EQ,"1,344.00","1,398.80","1,333.00","1,340.20","1,382.55","1,385.50","1,374.34","1,424.95",693.15,"42,00,578","5,77,30,16,470.30","1,50,749"
18-May-2024,EQ,"1,342.00","1,345.20","1,335.10","1,335.70","1,345.00","1,340.20","1,339.83","1,424.95",659.5,"1,92,526","25,79,52,577.10","7,543"
17-May-2024,EQ,"1,330.00","1,343.30","1,321.15","1,345.05","1,335.75","1,335.70","1,334.80","1,424.95",659.5,"19,45,123","2,59,63,57,383.70","1,04,349"
