Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"6,279.80","6,285.65","6,125.00","6,295.35","6,136.95","6,136.80","6,179.43","6,874.45","4,726.00","5,38,411","3,32,70,72,551.40","49,968"
25-Jun-2024,EQ,"6,258.00","6,315.00","6,242.25","6,259.55","6,280.00","6,295.35","6,292.55","6,874.45","4,726.00","3,48,730","2,19,43,99,369.50","39,580"
24-Jun-2024,EQ,"6,170.00","6,295.00","6,156.15","6,170.00","6,257.85","6,259.55","6,249.89","6,874.45","4,726.00","3,57,273","2,23,29,15,345.00","43,672"
21-Jun-2024,EQ,"6,152.20","6,239.10","6,145.00","6,175.85","6,172.00","6,170.00","6,191.75","6,874.45","4,726.00","4,34,583","2,69,08,30,740.10","40,886"
20-Jun-2024,EQ,"6,165.70","6,193.70","6,115.75","6,173.55","6,165.00","6,175.85","6,162.44","6,874.45","4,726.00","2,52,844","1,55,81,36,102.10","57,326"
19-Jun-2024,EQ,"6,265.00","6,269.00","6,128.05","6,236.35","6,159.95","6,173.55","6,179.95","6,874.45","4,726.00","4,01,714","2,48,25,71,850.10","37,457"
18-Jun-2024,EQ,"6,225.00","6,249.80","6,166.20","6,207.60","6,240.00","6,236.35","6,202.95","6,874.45","4,726.00","2,67,887","1,66,16,88,392.55","37,209"
14-Jun-2024,EQ,"6,210.00","6,219.95","6,175.00","6,206.20","6,181.30","6,207.60","6,203.13","6,874.45","4,726.00","2,16,573","1,34,34,30,089.45","24,831"
13-Jun-2024,EQ,"6,207.95","6,210.55","6,160.00","6,168.60","6,205.00","6,206.20","6,193.09","6,874.45","4,726.00","4,01,804","2,48,84,09,789.35","40,867"
12-Jun-2024,EQ,"6,117.30","6,188.85","6,075.00","6,107.95","6,165.20","6,168.60","6,134.62","6,874.45","4,726.00","3,21,285","1,97,09,60,950.50","39,000"
11-Jun-2024,EQ,"6,081.75","6,167.25","6,059.20","6,056.70","6,107.25","6,107.95","6,119.79","6,874.45","4,726.00","5,21,348","3,19,05,39,114.15","46,306"
10-Jun-2024,EQ,"6,040.00","6,075.00","5,992.05","6,014.55","6,050.00","6,056.70","6,045.29","6,874.45","4,726.00","4,43,756","2,68,26,33,594.90","33,959"
07-Jun-2024,EQ,"5,987.75","6,031.00","5,965.45","5,962.00","6,015.00","6,014.55","6,004.83","6,874.45","4,726.00","4,36,163","2,61,90,86,776.85","33,425"
06-Jun-2024,EQ,"5,970.00","5,975.00","5,900.00","5,934.65","5,949.65","5,962.00","5,937.47","6,874.45","4,726.00","4,90,549","2,91,26,21,436.20","75,317"
05-Jun-2024,EQ,"5,915.00","5,944.75","5,776.80","5,845.70","5,919.15","5,934.65","5,873.31","6,874.45","4,726.00","4,87,289","2,86,20,00,260.25","55,494"
04-Jun-2024,EQ,"5,750.35","5,963.75","5,693.20","5,851.20","5,858.00","5,845.70","5,829.09","6,874.45","4,726.00","6,42,000","3,74,22,77,592.70","84,813"
