Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"2,860.20","2,873.85","2,844.05","2,858.45","2,865.60","2,863.35","2,862.44","3,568.00","2,670.10","9,60,622","2,74,97,22,792.75","57,113"
25-Jun-2024,EQ,"2,876.00","2,894.95","2,856.00","2,896.05","2,861.00","2,858.45","2,873.78","3,568.00","2,670.10","12,17,792","3,49,96,61,269.55","64,339"
24-Jun-2024,EQ,"2,883.00","2,899.95","2,871.40","2,890.85","2,896.00","2,896.05","2,886.39","3,568.00","2,670.10","8,92,125","2,57,50,19,859.65","63,587"
21-Jun-2024,EQ,"2,925.00","2,928.00","2,880.10","2,915.50","2,886.00","2,890.85","2,894.67","3,568.00","2,670.10","17,22,379","4,98,57,13,403.00","1,16,694"
20-Jun-2024,EQ,"2,885.00","2,924.50","2,872.40","2,891.70","2,914.80","2,915.50","2,905.96","3,568.00","2,670.10","11,29,752","3,28,30,19,639.35","79,992"
19-Jun-2024,EQ,"2,918.00","2,920.00","2,882.65","2,918.50","2,889.95","2,891.70","2,896.71","3,568.00","2,670.10","10,18,294","2,94,96,98,632.65","61,344"
18-Jun-2024,EQ,"2,921.60","2,928.00","2,905.00","2,921.60","2,920.00","2,918.50","2,916.53","3,568.00","2,670.10","7,41,098","2,16,14,37,869.10","57,204"
14-Jun-2024,EQ,"2,910.00","2,931.35","2,905.10","2,910.00","2,919.00","2,921.60","2,921.24","3,568.00","2,670.10","9,82,815","2,87,10,43,073.05","62,392"
13-Jun-2024,EQ,"2,929.00","2,929.00","2,905.00","2,905.80","2,913.00","2,910.00","2,912.59","3,568.00","2,670.10","7,26,380","2,11,56,45,015.10","57,428"
12-Jun-2024,EQ,"2,909.00","2,918.00","2,865.65","2,902.45","2,904.15","2,905.80","2,891.46","3,568.00","2,670.10","17,01,770","4,92,05,97,117.95","1,08,150"
11-Jun-2024,EQ,"2,915.00","2,920.35","2,895.00","2,937.55","2,901.00","2,902.45","2,908.64","3,568.00","2,670.10","8,55,430","2,48,81,40,426.20","63,578"
10-Jun-2024,EQ,"2,928.00","2,951.90","2,915.00","2,927.70","2,940.00","2,937.55","2,935.03","3,568.00","2,670.10","8,76,867","2,57,36,29,171.05","64,133"
07-Jun-2024,EQ,"2,904.80","2,943.10","2,888.85","2,904.80","2,933.00","2,927.70","2,924.38","3,568.00","2,670.10","16,00,180","4,67,95,33,601.75","1,27,721"
06-Jun-2024,EQ,"2,960.00","2,961.75","2,882.25","2,961.75","2,910.00","2,904.80","2,918.03","3,568.00","2,670.10","16,89,408","4,92,97,38,361.25","1,61,111"
05-Jun-2024,EQ,"2,864.50","3,027.30","2,864.50","2,857.65","2,960.00","2,961.75","2,975.38","3,568.00","2,670.10","24,10,576","7,17,23,67,696.60","1,65,017"
04-Jun-2024,EQ,"2,880.00","2,897.00","2,775.75","2,866.45","2,873.95","2,857.65","2,858.03","3,568.00","2,670.10","26,83,847","7,67,05,15,984.55","2,55,550"
03-Jun-2024,EQ,"2,950.00","2,950.00","2,860.05","2,881.20","2,875.00","2,866.45","2,881.55","3,568.00","2,670.10","9,52,701","2,74,52,56,624.95","78,065"
31-May-2024,EQ,"2,883.70","2,906.00","2,855.60","2,883.70","2,881.30","2,881.20","2,881.75","3,568.00","2,670.10","25,20,363","7,26,30,60,163.50","1,40,388"
30-May-2024,EQ,"2,875.25","2,910.85","2,875.00","2,900.15","2,889.30","2,883.70","2,889.96","3,568.00","2,670.10","13,44,426","3,88,53,33,695.30","1,20,152"
29-May-2024,EQ,"2,896.00","2,921.70","2,881.10","2,911.20","2,894.00","2,900.15","2,904.89","3,568.00","2,670.10","17,58,297","5,10,76,64,054.80","1,01,092"
28-May-2024,EQ,"2,875.85","2,921.00","2,864.00","2,872.30","2,920.00","2,911.20","2,898.10","3,568.00","2,670.10","10,84,544","3,14,31,20,141.70","65,182"
27-May-2024,EQ,"2,887.90","2,898.30","2,855.55","2,874.75","2,875.85","2,872.30","2,878.86","3,568.00","2,670.10","8,17,091","2,35,22,87,254.40","67,730"
24-May-2024,EQ,"2,910.20","2,910.20","2,867.00","2,903.75","2,870.00","2,874.75","2,883.35","3,568.00","2,670.10","7,55,822","2,17,92,95,662.85","57,103"
23-May-2024,EQ,"2,885.00","2,921.25","2,877.30","2,885.75","2,900.00","2,903.75","2,898.64","3,568.00","2,670.10","11,81,894","3,42,58,81,206.80","1,22,242"
22-May-2024,EQ,"2,851.80","2,895.00","2,836.60","2,851.80","2,890.00","2,885.75","2,879.03","3,568.00","2,670.10","9,33,846","2,68,85,68,407.95","66,910"
21-May-2024,EQ,"2,815.00","2,866.95","2,801.00","2,816.35","2,846.00","2,851.80","2,844.64","3,568.00","2,670.10","9,21,822","2,62,22,49,016.80","1,03,927"
18-May-2024,EQ,"2,824.00","2,830.00","2,810.20","2,809.90","2,817.50","2,816.35","2,819.39","3,568.00","2,670.10","52,260","14,73,41,478.40","5,827"
