Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"9,659.90","9,660.30","9,441.50","9,659.95","9,490.00","9,474.65","9,502.10","10,038.80","4,541.00","4,31,217","4,09,74,66,805.65","61,213"
25-Jun-2024,EQ,"9,755.00","9,825.00","9,645.00","9,745.25","9,650.00","9,659.95","9,716.51","10,038.80","4,541.00","2,82,048","2,74,05,21,106.70","50,209"
24-Jun-2024,EQ,"9,580.00","9,758.95","9,510.55","9,602.25","9,752.95","9,745.25","9,702.59","10,038.80","4,541.00","2,83,754","2,75,31,47,519.95","61,090"
21-Jun-2024,EQ,"9,675.00","9,728.95","9,571.10","9,632.00","9,587.00","9,602.25","9,634.59","10,038.80","4,541.00","3,34,018","3,21,81,25,478.45","50,901"
20-Jun-2024,EQ,"9,692.00","9,735.90","9,565.00","9,685.80","9,626.55","9,632.00","9,621.91","10,038.80","4,541.00","3,24,597","3,12,32,43,509.30","78,830"
19-Jun-2024,EQ,"9,939.50","9,948.00","9,670.00","9,918.20","9,680.00","9,685.80","9,771.67","10,038.80","4,541.00","2,79,789","2,73,40,06,909.90","50,317"
18-Jun-2024,EQ,"9,922.00","10,038.80","9,908.00","9,961.75","9,920.00","9,918.20","9,954.30","10,038.80","4,541.00","2,06,100","2,05,15,81,055.15","32,324"
14-Jun-2024,EQ,"9,826.00","9,995.00","9,813.05","9,923.40","9,957.00","9,961.75","9,918.39","9,995.00","4,541.00","3,20,933","3,18,31,38,764.25","47,084"
13-Jun-2024,EQ,"9,904.00","9,940.00","9,825.25","9,904.25","9,924.80","9,923.40","9,879.72","9,944.00","4,541.00","2,77,783","2,74,44,18,434.65","54,002"
12-Jun-2024,EQ,"9,854.00","9,944.00","9,795.70","9,812.70","9,900.00","9,904.25","9,883.71","9,944.00","4,541.00","2,77,175","2,73,95,16,032.95","49,550"
11-Jun-2024,EQ,"9,740.00","9,900.00","9,700.10","9,733.05","9,810.00","9,812.70","9,793.44","9,924.00","4,541.00","4,57,442","4,47,99,31,068.85","55,902"
