Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,607.00","1,616.50","1,593.75","1,603.35","1,600.50","1,600.25","1,601.56","1,741.00","1,419.05","13,10,438","2,09,87,44,015.60","51,181"
25-Jun-2024,EQ,"1,587.65","1,610.75","1,571.00","1,587.65","1,606.00","1,603.35","1,591.57","1,741.00","1,419.05","30,93,861","4,92,40,99,318.25","1,41,660"
24-Jun-2024,EQ,"1,570.05","1,589.85","1,561.00","1,578.90","1,586.85","1,587.65","1,577.95","1,741.00","1,419.05","8,22,750","1,29,82,59,933.90","44,488"
21-Jun-2024,EQ,"1,586.00","1,610.85","1,570.50","1,586.00","1,579.90","1,578.90","1,583.11","1,741.00","1,419.05","33,45,305","5,29,59,95,946.95","1,15,582"
20-Jun-2024,EQ,"1,592.50","1,595.00","1,573.10","1,594.90","1,587.50","1,586.00","1,581.50","1,741.00","1,419.05","16,49,421","2,60,85,57,709.15","1,06,178"
19-Jun-2024,EQ,"1,600.00","1,600.00","1,582.50","1,597.95","1,590.50","1,594.90","1,590.66","1,741.00","1,419.05","12,69,273","2,01,89,83,570.50","47,050"
18-Jun-2024,EQ,"1,599.00","1,604.90","1,585.00","1,591.75","1,597.35","1,597.95","1,594.25","1,741.00","1,419.05","12,82,756","2,04,50,39,820.35","1,11,193"
14-Jun-2024,EQ,"1,590.10","1,596.00","1,575.35","1,590.10","1,587.05","1,591.75","1,588.45","1,741.00","1,419.05","6,81,385","1,08,23,43,665.65","60,911"
13-Jun-2024,EQ,"1,586.95","1,595.55","1,581.00","1,579.10","1,586.15","1,590.10","1,587.53","1,741.00","1,419.05","10,95,701","1,73,94,53,368.40","77,073"
12-Jun-2024,EQ,"1,568.00","1,593.75","1,562.00","1,568.25","1,580.00","1,579.10","1,574.65","1,741.00","1,419.05","17,99,090","2,83,29,29,928.70","73,036"
11-Jun-2024,EQ,"1,573.00","1,577.40","1,558.00","1,565.80","1,569.95","1,568.25","1,568.71","1,741.00","1,419.05","11,84,425","1,85,80,21,705.40","99,642"
10-Jun-2024,EQ,"1,586.05","1,589.00","1,559.35","1,567.70","1,560.05","1,565.80","1,577.38","1,741.00","1,419.05","11,54,334","1,82,08,24,374.65","1,01,419"
07-Jun-2024,EQ,"1,538.95","1,580.00","1,530.55","1,526.45","1,565.90","1,567.70","1,561.79","1,741.00","1,419.05","27,87,254","4,35,31,16,697.85","1,27,738"
06-Jun-2024,EQ,"1,521.50","1,541.50","1,510.80","1,517.70","1,531.00","1,526.45","1,524.58","1,741.00","1,419.05","28,91,789","4,40,87,58,077.10","1,28,791"
05-Jun-2024,EQ,"1,490.00","1,528.00","1,472.90","1,477.30","1,519.00","1,517.70","1,508.36","1,741.00","1,419.05","14,56,768","2,19,73,36,675.85","90,611"
04-Jun-2024,EQ,"1,556.00","1,569.20","1,419.05","1,575.80","1,489.40","1,477.30","1,493.63","1,741.00","1,419.05","43,88,491","6,55,47,66,778.75","2,92,765"
03-Jun-2024,EQ,"1,580.00","1,583.00","1,556.45","1,528.60","1,578.60","1,575.80","1,573.93","1,741.00","1,451.00","18,26,290","2,87,44,54,422.05","70,981"
31-May-2024,EQ,"1,530.00","1,552.05","1,518.90","1,524.10","1,531.00","1,528.60","1,528.24","1,741.00","1,439.50","27,94,001","4,26,98,99,128.95","1,53,437"
30-May-2024,EQ,"1,566.75","1,575.20","1,517.00","1,569.90","1,525.00","1,524.10","1,533.11","1,741.00","1,439.50","22,85,079","3,50,32,71,704.30","1,50,586"
29-May-2024,EQ,"1,594.15","1,602.35","1,565.10","1,599.65","1,567.05","1,569.90","1,576.21","1,741.00","1,439.50","16,65,575","2,62,52,98,830.75","73,125"
28-May-2024,EQ,"1,602.95","1,605.00","1,589.45","1,595.80","1,598.65","1,599.65","1,596.77","1,741.00","1,439.50","13,06,333","2,08,59,17,421.00","64,213"
27-May-2024,EQ,"1,605.00","1,612.85","1,590.30","1,601.70","1,597.55","1,595.80","1,603.11","1,741.00","1,439.50","13,65,230","2,18,86,08,872.55","50,630"
24-May-2024,EQ,"1,609.00","1,620.00","1,597.05","1,608.45","1,605.00","1,601.70","1,607.54","1,741.00","1,405.00","5,66,278","91,03,15,490.10","47,721"
23-May-2024,EQ,"1,587.10","1,613.25","1,581.25","1,583.95","1,607.00","1,608.45","1,599.83","1,741.00","1,405.00","15,47,483","2,47,57,14,520.10","1,00,098"
