Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,414.95","1,479.95","1,408.95","1,414.95","1,462.00","1,459.50","1,448.35","1,479.95",846.35,"95,79,826","13,87,49,33,244.65","2,51,594"
25-Jun-2024,EQ,"1,434.00","1,434.00","1,409.85","1,419.80","1,415.60","1,414.95","1,418.18","1,455.95",846.35,"63,53,748","9,01,07,46,033.70","1,67,773"
24-Jun-2024,EQ,"1,402.00","1,423.80","1,389.35","1,416.05","1,418.35","1,419.80","1,416.03","1,455.95",846.35,"61,95,831","8,77,34,81,017.60","1,53,354"
21-Jun-2024,EQ,"1,384.95","1,423.95","1,372.85","1,381.15","1,403.75","1,416.05","1,413.35","1,455.95",826.85,"4,39,29,578","62,08,77,86,596.50","4,40,451"
20-Jun-2024,EQ,"1,405.95","1,406.95","1,376.25","1,392.35","1,380.95","1,381.15","1,386.79","1,455.95",826.85,"87,42,855","12,12,45,17,992.70","2,00,651"
19-Jun-2024,EQ,"1,433.95","1,434.80","1,388.30","1,428.35","1,393.90","1,392.35","1,407.71","1,455.95",826.85,"86,40,918","12,16,38,82,182.85","2,66,912"
18-Jun-2024,EQ,"1,444.00","1,444.00","1,418.00","1,427.40","1,427.55","1,428.35","1,427.52","1,455.95",826.85,"86,71,131","12,37,81,85,076.50","2,94,834"
14-Jun-2024,EQ,"1,434.00","1,434.00","1,420.95","1,425.75","1,429.40","1,427.40","1,426.48","1,455.95",819.0,"39,78,442","5,67,51,58,029.25","1,77,516"
13-Jun-2024,EQ,"1,449.00","1,455.95","1,420.45","1,438.40","1,425.00","1,425.75","1,433.83","1,455.95",819.0,"79,90,376","11,45,68,55,785.80","3,00,216"
12-Jun-2024,EQ,"1,425.00","1,447.85","1,422.10","1,427.25","1,436.00","1,438.40","1,442.03","1,447.85",819.0,"48,76,138","7,03,15,30,760.05","1,98,759"
11-Jun-2024,EQ,"1,426.00","1,434.60","1,413.00","1,426.05","1,426.45","1,427.25","1,425.62","1,436.65",819.0,"44,16,792","6,29,66,78,087.40","1,50,666"
10-Jun-2024,EQ,"1,421.05","1,436.65","1,421.05","1,425.25","1,421.05","1,426.05","1,430.30","1,436.65",819.0,"53,18,477","7,60,70,28,700.55","2,40,111"
07-Jun-2024,EQ,"1,370.60","1,430.65","1,363.15","1,370.60","1,419.55","1,425.25","1,404.38","1,430.65",819.0,"1,22,80,748","17,24,68,14,225.75","4,25,279"
06-Jun-2024,EQ,"1,359.00","1,376.25","1,329.00","1,344.35","1,374.00","1,370.60","1,358.14","1,420.45",819.0,"1,02,79,789","13,96,13,95,349.75","4,52,137"
05-Jun-2024,EQ,"1,325.65","1,348.75","1,279.85","1,299.70","1,344.10","1,344.35","1,322.67","1,420.45",819.0,"1,21,75,520","16,10,41,99,442.95","6,32,998"
04-Jun-2024,EQ,"1,391.10","1,397.00","1,219.05","1,391.10","1,291.95","1,299.70","1,309.16","1,420.45",819.0,"1,99,24,421","26,08,43,27,621.20","4,61,290"
03-Jun-2024,EQ,"1,415.30","1,420.45","1,385.00","1,372.75","1,400.00","1,391.10","1,396.81","1,420.45",819.0,"60,17,122","8,40,47,90,074.05","2,29,426"
31-May-2024,EQ,"1,380.00","1,388.00","1,338.00","1,377.15","1,370.05","1,372.75","1,364.59","1,407.00",812.8,"2,48,25,643","33,87,69,45,475.10","3,54,052"
30-May-2024,EQ,"1,378.80","1,386.45","1,363.50","1,377.10","1,381.55","1,377.15","1,376.86","1,407.00",812.8,"71,00,303","9,77,61,55,940.95","2,27,867"
29-May-2024,EQ,"1,355.50","1,390.25","1,355.50","1,371.05","1,374.50","1,377.10","1,375.05","1,407.00",812.8,"44,45,083","6,11,22,13,290.30","1,66,495"
28-May-2024,EQ,"1,384.80","1,386.95","1,366.90","1,384.35","1,369.50","1,371.05","1,375.70","1,407.00",812.8,"20,68,963","2,84,62,66,079.85","1,04,100"
27-May-2024,EQ,"1,396.00","1,407.00","1,378.00","1,388.50","1,380.40","1,384.35","1,392.56","1,407.00",812.8,"65,53,974","9,12,67,74,633.40","2,12,848"
24-May-2024,EQ,"1,375.50","1,397.75","1,374.05","1,374.05","1,389.50","1,388.50","1,388.97","1,397.75",795.0,"56,22,368","7,80,92,76,082.05","1,96,086"
23-May-2024,EQ,"1,350.75","1,377.30","1,344.30","1,347.90","1,375.50","1,374.05","1,366.50","1,377.30",795.0,"71,47,341","9,76,68,54,002.40","2,24,269"
22-May-2024,EQ,"1,342.15","1,351.00","1,329.55","1,344.30","1,347.00","1,347.90","1,339.77","1,362.75",795.0,"30,26,723","4,05,51,21,982.05","1,66,673"
21-May-2024,EQ,"1,356.00","1,362.75","1,335.75","1,347.75","1,338.70","1,344.30","1,351.15","1,362.75",795.0,"54,22,220","7,32,62,13,760.15","1,87,385"
18-May-2024,EQ,"1,347.95","1,351.00","1,341.45","1,344.45","1,350.00","1,347.75","1,347.30","1,360.00",783.9,"1,49,406","20,12,94,435.35","5,619"
17-May-2024,EQ,"1,353.60","1,360.00","1,339.25","1,345.10","1,345.80","1,344.45","1,348.93","1,360.00",783.9,"66,14,017","8,92,18,52,706.70","1,81,876"
16-May-2024,EQ,"1,328.00","1,356.85","1,321.30","1,309.90","1,344.00","1,345.10","1,338.89","1,356.85",783.9,"1,19,32,181","15,97,59,34,431.10","2,70,107"
