Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,298.0,300.85,296.25,296.3,298.75,298.4,299.05,687.95,294.8,"79,73,173","2,38,43,82,305.15","1,15,012"
25-Jun-2024,EQ,305.25,306.45,294.8,305.25,296.75,296.3,298.92,687.95,294.8,"1,56,30,568","4,67,23,45,605.25","1,53,012"
24-Jun-2024,EQ,309.7,309.7,303.3,307.6,305.25,305.25,305.97,687.95,303.3,"75,57,297","2,31,23,20,675.05","93,153"
21-Jun-2024,EQ,318.0,319.0,305.1,626.25,308.3,307.6,310.31,687.95,305.1,"3,00,04,484","9,31,07,83,933.55","3,12,295"
20-Jun-2024,EQ,620.0,628.8,612.8,615.8,627.0,626.25,623.24,687.95,331.45,"90,38,323","5,63,30,07,320.70","1,56,328"
19-Jun-2024,EQ,634.2,634.2,615.0,630.9,616.25,615.8,620.14,687.95,331.45,"98,24,003","6,09,22,96,281.75","1,53,262"
18-Jun-2024,EQ,635.0,635.0,626.4,626.65,631.6,630.9,630.81,687.95,331.45,"79,42,475","5,01,01,78,647.00","1,19,589"
14-Jun-2024,EQ,622.3,629.3,618.25,619.35,626.45,626.65,625.72,687.95,331.45,"73,14,322","4,57,66,82,936.80","1,16,267"
13-Jun-2024,EQ,619.0,621.5,613.5,613.35,619.3,619.35,617.76,687.95,331.45,"60,25,162","3,72,21,09,927.80","1,16,466"
12-Jun-2024,EQ,621.5,623.85,612.45,607.2,613.75,613.35,617.64,687.95,331.45,"1,17,39,694","7,25,09,21,341.70","1,75,539"
11-Jun-2024,EQ,606.3,612.7,593.6,602.6,606.8,607.2,603.05,687.95,331.45,"1,35,13,772","8,14,95,14,106.95","1,68,249"
10-Jun-2024,EQ,605.3,609.85,600.25,599.8,602.05,602.6,604.3,687.95,331.45,"74,14,297","4,48,04,77,062.85","99,748"
07-Jun-2024,EQ,585.0,602.0,581.2,584.15,599.8,599.8,590.67,687.95,331.45,"1,08,10,315","6,38,53,31,894.90","1,38,874"
06-Jun-2024,EQ,591.05,607.45,580.25,581.1,585.4,584.15,592.3,687.95,331.45,"1,89,67,116","11,23,42,45,760.70","3,02,723"
05-Jun-2024,EQ,602.05,602.05,534.2,580.2,580.0,581.1,567.15,687.95,331.45,"2,36,94,087","13,43,81,24,270.45","4,18,487"
04-Jun-2024,EQ,670.0,670.0,566.7,666.15,585.45,580.2,611.17,687.95,331.45,"2,28,74,263","13,98,00,28,744.75","3,80,048"
03-Jun-2024,EQ,665.0,687.0,651.7,627.8,666.05,666.15,669.43,687.95,331.45,"1,69,14,117","11,32,27,61,725.40","2,23,778"
31-May-2024,EQ,630.0,634.4,617.6,625.75,628.6,627.8,625.84,687.95,331.45,"92,42,052","5,78,40,23,579.85","1,33,675"
30-May-2024,EQ,634.05,636.8,623.5,633.55,626.95,625.75,629.66,687.95,331.45,"48,22,844","3,03,67,60,870.70","1,09,656"
