Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"5,352.05","5,434.55","5,319.05","5,352.05","5,432.00","5,421.70","5,396.33","5,725.00","4,347.70","2,21,391","1,19,46,99,787.80","32,772"
25-Jun-2024,EQ,"5,297.80","5,370.00","5,289.20","5,297.75","5,362.00","5,352.05","5,343.22","5,725.00","4,347.70","1,60,890","85,96,70,183.45","27,442"
24-Jun-2024,EQ,"5,315.00","5,330.00","5,250.00","5,330.30","5,311.95","5,297.75","5,297.49","5,725.00","4,347.70","4,63,385","2,45,47,78,534.75","31,943"
21-Jun-2024,EQ,"5,369.10","5,389.85","5,317.50","5,378.45","5,335.00","5,330.30","5,350.43","5,725.00","4,347.70","2,44,120","1,30,61,47,184.00","30,736"
20-Jun-2024,EQ,"5,360.65","5,400.00","5,319.00","5,360.65","5,389.15","5,378.45","5,368.32","5,725.00","4,347.70","2,96,418","1,59,12,65,604.35","56,855"
19-Jun-2024,EQ,"5,416.00","5,422.85","5,350.00","5,395.85","5,350.10","5,360.65","5,385.27","5,725.00","4,347.70","1,35,179","72,79,75,001.85","20,003"
18-Jun-2024,EQ,"5,419.80","5,435.00","5,375.30","5,393.65","5,400.00","5,395.85","5,398.21","5,725.00","4,347.70","1,55,277","83,82,17,500.15","21,070"
14-Jun-2024,EQ,"5,397.55","5,450.00","5,375.60","5,379.45","5,391.80","5,393.65","5,401.66","5,725.00","4,347.70","1,49,569","80,79,21,138.90","17,791"
13-Jun-2024,EQ,"5,439.60","5,449.95","5,341.70","5,439.30","5,383.20","5,379.45","5,393.67","5,725.00","4,347.70","4,34,594","2,34,40,56,915.15","40,541"
12-Jun-2024,EQ,"5,550.55","5,568.00","5,431.00","5,517.75","5,448.00","5,439.30","5,465.54","5,725.00","4,347.70","2,79,376","1,52,69,41,627.55","34,599"
11-Jun-2024,EQ,"5,500.00","5,606.75","5,500.00","5,488.40","5,510.00","5,517.75","5,564.87","5,725.00","4,347.70","4,76,899","2,65,38,83,246.80","35,434"
10-Jun-2024,EQ,"5,465.00","5,560.75","5,406.10","5,463.55","5,476.25","5,488.40","5,509.07","5,725.00","4,347.70","3,06,665","1,68,94,39,752.30","41,018"
07-Jun-2024,EQ,"5,431.65","5,470.00","5,395.00","5,440.45","5,465.00","5,463.55","5,445.22","5,725.00","4,347.70","2,26,777","1,23,48,51,237.25","31,546"
06-Jun-2024,EQ,"5,465.00","5,514.10","5,311.45","5,486.65","5,432.95","5,440.45","5,417.36","5,725.00","4,347.70","6,29,293","3,40,91,09,188.85","1,03,315"
05-Jun-2024,EQ,"5,325.10","5,725.00","5,325.00","5,325.10","5,474.00","5,486.65","5,558.14","5,725.00","4,347.70","11,88,965","6,60,84,36,488.95","1,22,428"
04-Jun-2024,EQ,"5,205.55","5,414.40","5,127.05","5,167.80","5,339.90","5,325.10","5,275.00","5,414.40","4,347.70","9,89,039","5,21,71,81,526.40","96,753"
03-Jun-2024,EQ,"5,300.00","5,300.00","5,160.00","5,179.80","5,170.00","5,167.80","5,192.18","5,386.05","4,347.70","1,99,328","1,03,49,47,232.00","29,759"
31-May-2024,EQ,"5,208.00","5,221.00","5,110.65","5,198.55","5,192.05","5,179.80","5,179.11","5,386.05","4,347.70","6,51,525","3,37,43,19,066.95","50,764"
30-May-2024,EQ,"5,202.10","5,242.10","5,173.00","5,229.80","5,208.00","5,198.55","5,199.78","5,386.05","4,347.70","3,57,619","1,85,95,41,290.40","48,807"
29-May-2024,EQ,"5,202.00","5,268.00","5,200.00","5,250.55","5,217.00","5,229.80","5,233.54","5,386.05","4,347.70","2,86,144","1,49,75,47,018.65","36,437"
28-May-2024,EQ,"5,209.00","5,285.40","5,180.55","5,212.25","5,252.00","5,250.55","5,244.30","5,386.05","4,347.70","2,59,151","1,35,90,64,564.50","29,979"
27-May-2024,EQ,"5,265.00","5,265.00","5,127.25","5,240.70","5,209.00","5,212.25","5,184.26","5,386.05","4,347.70","3,29,998","1,71,07,95,410.00","30,077"
24-May-2024,EQ,"5,260.10","5,285.15","5,219.00","5,281.15","5,247.00","5,240.70","5,249.19","5,386.05","4,347.70","2,68,208","1,40,78,75,382.20","32,160"
23-May-2024,EQ,"5,261.15","5,293.75","5,187.90","5,267.40","5,280.00","5,281.15","5,257.22","5,386.05","4,347.70","4,23,256","2,22,51,50,132.55","71,859"
22-May-2024,EQ,"5,219.80","5,302.50","5,195.00","5,178.10","5,262.00","5,267.40","5,260.72","5,386.05","4,347.70","7,48,236","3,93,62,63,340.90","95,363"
21-May-2024,EQ,"5,046.00","5,191.00","5,045.05","5,096.05","5,191.00","5,178.10","5,126.82","5,386.05","4,347.70","3,76,474","1,93,01,15,104.10","39,857"
18-May-2024,EQ,"5,090.15","5,114.75","5,040.10","5,086.80","5,109.95","5,096.05","5,091.26","5,386.05","4,347.70","12,240","6,23,16,978.10","2,525"
17-May-2024,EQ,"5,139.90","5,139.90","5,065.00","5,137.75","5,088.00","5,086.80","5,089.93","5,386.05","4,347.70","1,16,594","59,34,55,822.00","21,401"
16-May-2024,EQ,"5,064.15","5,150.00","5,017.50","5,064.00","5,142.80","5,137.75","5,074.01","5,386.05","4,347.70","3,12,988","1,58,81,03,408.35","75,020"
15-May-2024,EQ,"5,149.55","5,164.75","5,053.45","5,140.80","5,062.05","5,064.00","5,084.76","5,386.05","4,347.70","1,66,198","84,50,77,441.90","26,282"
14-May-2024,EQ,"5,130.55","5,161.50","5,035.00","5,130.55","5,134.05","5,140.80","5,114.93","5,386.05","4,347.70","2,05,585","1,05,15,52,740.65","26,352"
13-May-2024,EQ,"5,074.95","5,170.00","5,055.00","5,066.80","5,149.70","5,130.55","5,125.21","5,386.05","4,347.70","3,23,879","1,65,99,48,167.60","44,063"
10-May-2024,EQ,"5,070.10","5,118.20","4,971.75","5,070.10","5,066.90","5,066.80","5,060.87","5,386.05","4,347.70","2,23,289","1,13,00,36,320.25","26,503"
09-May-2024,EQ,"5,228.05","5,248.00","5,045.00","5,228.40","5,082.00","5,070.10","5,121.76","5,386.05","4,347.70","3,79,667","1,94,45,63,629.70","62,256"
08-May-2024,EQ,"5,151.00","5,248.45","5,123.85","5,173.85","5,220.00","5,228.40","5,203.08","5,386.05","4,347.70","3,23,414","1,68,27,49,679.15","37,472"
07-May-2024,EQ,"5,057.95","5,219.90","5,048.80","5,061.60","5,165.35","5,173.85","5,179.17","5,386.05","4,347.70","11,56,073","5,98,75,00,960.00","95,400"
06-May-2024,EQ,"4,818.95","5,205.45","4,802.20","4,744.60","5,057.90","5,061.60","5,037.73","5,386.05","4,347.70","28,37,757","14,29,58,66,815.30","1,97,784"
03-May-2024,EQ,"4,781.10","4,781.10","4,707.90","4,759.65","4,731.00","4,744.60","4,735.53","5,386.05","4,347.70","2,62,493","1,24,30,43,511.35","36,174"
02-May-2024,EQ,"4,789.95","4,812.00","4,750.05","4,775.95","4,760.00","4,759.65","4,786.86","5,386.05","4,347.70","3,56,664","1,70,73,00,990.40","90,028"
30-Apr-2024,EQ,"4,799.00","4,825.00","4,765.10","4,799.85","4,780.00","4,775.95","4,798.53","5,386.05","4,347.70","4,89,132","2,34,71,13,737.65","35,820"
