Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,503.70","1,507.20","1,475.00","1,499.70","1,478.35","1,479.10","1,485.43","1,582.00",989.35,"19,30,909","2,86,82,21,252.40","78,929"
25-Jun-2024,EQ,"1,511.60","1,517.80","1,495.50","1,504.40","1,502.00","1,499.70","1,501.57","1,582.00",989.35,"11,99,626","1,80,13,19,517.45","48,899"
24-Jun-2024,EQ,"1,528.00","1,528.00","1,495.05","1,541.55","1,507.85","1,504.40","1,508.56","1,582.00",989.35,"12,83,529","1,93,62,82,870.75","54,837"
21-Jun-2024,EQ,"1,549.90","1,562.90","1,533.50","1,544.85","1,537.25","1,541.55","1,544.80","1,582.00",985.65,"26,13,883","4,03,79,28,881.55","79,950"
20-Jun-2024,EQ,"1,558.00","1,559.15","1,540.00","1,559.80","1,545.45","1,544.85","1,546.85","1,582.00",985.65,"17,05,002","2,63,73,78,136.45","75,788"
19-Jun-2024,EQ,"1,577.40","1,582.00","1,553.40","1,574.80","1,560.05","1,559.80","1,564.37","1,582.00",985.65,"18,81,544","2,94,34,35,975.40","77,269"
18-Jun-2024,EQ,"1,570.00","1,576.95","1,563.60","1,564.75","1,575.00","1,574.80","1,571.07","1,576.95",985.65,"20,68,897","3,25,03,82,871.95","78,259"
14-Jun-2024,EQ,"1,545.00","1,567.00","1,535.80","1,544.55","1,566.00","1,564.75","1,558.25","1,567.00",955.15,"18,45,043","2,87,50,30,566.15","68,989"
13-Jun-2024,EQ,"1,550.00","1,551.00","1,520.40","1,540.95","1,545.00","1,544.55","1,539.12","1,551.00",955.15,"15,25,789","2,34,83,77,937.75","76,427"
12-Jun-2024,EQ,"1,542.45","1,549.00","1,532.00","1,530.25","1,538.30","1,540.95","1,542.40","1,549.00",955.15,"15,78,793","2,43,51,37,533.00","63,432"
11-Jun-2024,EQ,"1,545.00","1,546.45","1,527.00","1,534.25","1,535.00","1,530.25","1,537.40","1,546.45",955.15,"16,99,446","2,61,27,35,323.55","68,671"
10-Jun-2024,EQ,"1,506.90","1,540.85","1,502.00","1,497.25","1,529.00","1,534.25","1,529.31","1,540.85",955.15,"27,51,606","4,20,80,68,588.50","1,19,850"
07-Jun-2024,EQ,"1,484.00","1,503.40","1,479.30","1,477.00","1,497.00","1,497.25","1,492.62","1,519.00",955.15,"15,91,055","2,37,48,47,137.35","75,663"
06-Jun-2024,EQ,"1,500.00","1,501.00","1,464.00","1,496.95","1,478.90","1,477.00","1,474.91","1,519.00",955.15,"16,05,122","2,36,74,08,211.60","1,38,629"
05-Jun-2024,EQ,"1,490.00","1,514.00","1,466.85","1,462.55","1,487.50","1,496.95","1,496.81","1,519.00",955.15,"18,34,280","2,74,55,63,806.35","1,21,677"
04-Jun-2024,EQ,"1,460.00","1,476.95","1,418.55","1,452.35","1,465.00","1,462.55","1,456.52","1,519.00",955.15,"20,49,577","2,98,52,56,687.55","96,783"
03-Jun-2024,EQ,"1,482.00","1,483.00","1,446.05","1,447.20","1,458.00","1,452.35","1,453.34","1,519.00",955.15,"13,35,614","1,94,11,03,213.55","78,856"
31-May-2024,EQ,"1,466.95","1,472.70","1,440.00","1,466.60","1,449.00","1,447.20","1,449.51","1,519.00",942.3,"32,70,743","4,74,09,69,338.05","1,06,171"
30-May-2024,EQ,"1,495.05","1,496.55","1,454.00","1,493.55","1,470.00","1,466.60","1,471.89","1,519.00",942.3,"17,32,140","2,54,95,26,165.30","94,469"
29-May-2024,EQ,"1,475.25","1,497.60","1,472.60","1,479.45","1,493.45","1,493.55","1,487.35","1,519.00",942.3,"16,07,691","2,39,12,02,368.20","74,181"
28-May-2024,EQ,"1,482.95","1,494.75","1,475.20","1,478.65","1,480.00","1,479.45","1,483.09","1,519.00",942.3,"7,84,496","1,16,34,74,469.45","43,368"
27-May-2024,EQ,"1,491.00","1,492.55","1,475.20","1,486.45","1,478.40","1,478.65","1,482.18","1,519.00",942.3,"13,93,334","2,06,51,72,504.80","89,728"
24-May-2024,EQ,"1,489.15","1,493.90","1,479.05","1,489.15","1,486.70","1,486.45","1,487.59","1,519.00",915.45,"7,58,326","1,12,80,80,256.90","44,553"
23-May-2024,EQ,"1,482.00","1,504.55","1,462.70","1,482.30","1,487.50","1,489.15","1,488.85","1,519.00",915.45,"43,89,470","6,53,52,72,971.15","1,99,375"
22-May-2024,EQ,"1,450.95","1,494.80","1,437.25","1,442.30","1,482.50","1,482.30","1,473.16","1,519.00",915.45,"42,16,347","6,21,13,42,887.75","1,59,778"
21-May-2024,EQ,"1,410.00","1,445.95","1,396.40","1,404.05","1,443.00","1,442.30","1,426.17","1,519.00",915.45,"29,39,271","4,19,19,14,259.35","1,16,334"
18-May-2024,EQ,"1,403.90","1,407.30","1,400.25","1,399.05","1,403.00","1,404.05","1,404.48","1,519.00",896.85,"60,540","8,50,27,440.15","3,903"
17-May-2024,EQ,"1,417.10","1,419.90","1,396.40","1,421.10","1,398.00","1,399.05","1,402.91","1,519.00",896.85,"34,43,452","4,83,08,42,207.00","1,23,914"
16-May-2024,EQ,"1,409.00","1,425.90","1,387.30","1,406.70","1,420.65","1,421.10","1,408.34","1,519.00",896.85,"32,26,214","4,54,36,08,971.40","1,71,189"
15-May-2024,EQ,"1,395.00","1,428.45","1,386.70","1,357.35","1,405.50","1,406.70","1,408.69","1,519.00",896.85,"78,93,092","11,11,88,86,469.65","2,26,751"
14-May-2024,EQ,"1,410.00","1,410.00","1,350.10","1,414.65","1,358.20","1,357.35","1,373.83","1,519.00",896.85,"37,21,994","5,11,33,97,042.45","1,40,363"
13-May-2024,EQ,"1,371.00","1,425.95","1,369.55","1,339.55","1,421.00","1,414.65","1,410.56","1,519.00",896.85,"79,10,590","11,15,83,52,655.75","1,77,997"
10-May-2024,EQ,"1,371.35","1,396.90","1,317.25","1,358.80","1,340.00","1,339.55","1,353.14","1,519.00",896.85,"50,80,539","6,87,46,91,683.55","1,91,937"
09-May-2024,EQ,"1,387.85","1,392.20","1,353.00","1,384.75","1,365.85","1,358.80","1,365.22","1,519.00",896.85,"11,52,636","1,57,36,05,559.25","1,21,933"
08-May-2024,EQ,"1,375.05","1,398.15","1,375.05","1,387.20","1,385.90","1,384.75","1,389.70","1,519.00",896.85,"14,97,782","2,08,14,69,719.85","76,688"
07-May-2024,EQ,"1,423.40","1,428.85","1,377.75","1,423.40","1,390.00","1,387.20","1,390.73","1,519.00",896.85,"10,85,239","1,50,92,74,996.95","1,08,773"
06-May-2024,EQ,"1,431.00","1,431.85","1,405.05","1,424.75","1,424.00","1,423.40","1,418.82","1,519.00",896.85,"9,29,301","1,31,85,12,831.25","68,809"
03-May-2024,EQ,"1,428.00","1,434.00","1,415.20","1,420.05","1,425.20","1,424.75","1,424.53","1,519.00",896.85,"8,04,513","1,14,60,51,509.30","67,076"
02-May-2024,EQ,"1,400.00","1,426.00","1,398.15","1,400.00","1,421.00","1,420.05","1,417.31","1,519.00",896.85,"15,40,210","2,18,29,59,623.90","1,48,341"
30-Apr-2024,EQ,"1,415.05","1,418.95","1,395.05","1,408.00","1,400.55","1,400.00","1,404.93","1,519.00",896.85,"13,27,606","1,86,51,97,382.55","68,240"
29-Apr-2024,EQ,"1,419.00","1,420.10","1,392.40","1,409.15","1,410.95","1,408.00","1,402.18","1,519.00",896.85,"10,82,487","1,51,78,37,268.55","54,222"
26-Apr-2024,EQ,"1,413.10","1,417.20","1,401.25","1,406.20","1,413.00","1,409.15","1,410.03","1,519.00",896.3,"6,95,034","98,00,16,530.75","56,118"
25-Apr-2024,EQ,"1,407.00","1,410.45","1,384.10","1,398.20","1,400.00","1,406.20","1,399.83","1,519.00",896.3,"20,27,213","2,83,77,51,976.85","1,01,882"
24-Apr-2024,EQ,"1,353.45","1,401.90","1,352.20","1,346.70","1,399.50","1,398.20","1,387.06","1,519.00",896.3,"44,15,480","6,12,45,52,560.60","1,46,983"
23-Apr-2024,EQ,"1,369.75","1,369.75","1,344.50","1,354.85","1,348.50","1,346.70","1,357.74","1,519.00",896.3,"10,31,497","1,40,05,09,184.00","77,029"
22-Apr-2024,EQ,"1,350.25","1,361.95","1,348.00","1,345.75","1,359.00","1,354.85","1,355.61","1,519.00",896.3,"9,74,434","1,32,09,54,856.70","67,894"
19-Apr-2024,EQ,"1,347.00","1,357.70","1,335.00","1,347.30","1,347.00","1,345.75","1,346.28","1,519.00",896.3,"11,73,025","1,57,92,25,189.30","83,309"
