Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,470.25,471.85,465.05,469.25,469.25,468.75,468.89,527.4,223.25,"66,55,899","3,12,08,68,783.30","79,921"
25-Jun-2024,EQ,475.9,477.95,465.3,473.7,469.8,469.25,469.85,527.4,223.25,"79,51,999","3,73,62,40,197.40","98,822"
24-Jun-2024,EQ,480.0,480.05,472.0,480.2,474.45,473.7,474.1,527.4,223.25,"1,11,24,175","5,27,40,19,124.25","1,33,317"
21-Jun-2024,EQ,483.15,491.4,479.0,483.15,480.4,480.2,484.1,527.4,223.25,"1,03,40,882","5,00,60,47,738.50","1,01,821"
20-Jun-2024,EQ,481.05,487.4,471.55,477.95,483.5,483.15,482.09,527.4,223.25,"78,64,157","3,79,12,15,750.10","1,16,829"
19-Jun-2024,EQ,489.4,491.2,476.5,489.05,479.5,477.95,480.99,527.4,223.25,"89,62,510","4,31,08,74,663.65","1,26,276"
18-Jun-2024,EQ,492.0,492.9,485.2,486.95,489.4,489.05,488.59,527.4,223.25,"69,46,544","3,39,40,43,640.95","1,00,108"
14-Jun-2024,EQ,487.9,492.4,485.25,487.9,487.5,486.95,488.03,527.4,223.25,"59,74,636","2,91,58,27,137.45","75,705"
13-Jun-2024,EQ,493.9,493.9,483.5,488.7,487.15,487.9,486.99,527.4,223.25,"74,38,571","3,62,25,24,555.25","1,05,315"
12-Jun-2024,EQ,481.0,494.3,479.35,476.35,489.6,488.7,489.24,527.4,223.25,"1,54,12,796","7,54,05,51,834.55","1,63,845"
11-Jun-2024,EQ,482.0,483.5,475.2,477.7,477.35,476.35,479.08,527.4,223.25,"1,11,69,021","5,35,09,04,100.00","87,205"
10-Jun-2024,EQ,485.0,488.0,475.5,479.15,477.45,477.7,482.07,527.4,223.25,"1,09,58,537","5,28,28,21,416.95","1,33,266"
07-Jun-2024,EQ,473.0,481.3,467.6,472.95,479.0,479.15,475.56,527.4,223.25,"83,17,343","3,95,54,18,120.75","1,24,317"
06-Jun-2024,EQ,470.0,484.4,464.65,460.55,473.95,472.95,474.94,527.4,223.25,"2,17,57,857","10,33,35,90,084.40","3,39,834"
05-Jun-2024,EQ,452.0,462.85,425.1,441.9,460.0,460.55,446.77,527.4,223.25,"1,89,66,089","8,47,35,03,030.60","2,79,243"
04-Jun-2024,EQ,512.35,512.4,410.8,512.35,443.0,441.9,452.44,527.4,223.25,"4,80,46,493","21,73,81,11,649.60","6,01,325"
03-Jun-2024,EQ,515.0,527.4,505.55,491.2,512.5,512.35,515.31,527.4,223.25,"2,44,16,215","12,58,19,72,098.45","2,51,136"
31-May-2024,EQ,484.4,493.1,479.0,482.15,492.0,491.2,487.81,507.35,223.25,"1,12,23,848","5,47,50,82,324.95","1,26,726"
30-May-2024,EQ,486.0,487.95,479.5,486.45,484.4,482.15,483.47,507.35,223.25,"77,25,080","3,73,48,72,629.20","1,40,611"
29-May-2024,EQ,482.1,491.9,482.1,487.65,486.1,486.45,487.71,507.35,223.25,"80,14,727","3,90,88,93,223.60","1,09,148"
28-May-2024,EQ,496.0,496.2,484.1,494.45,486.9,487.65,489.74,507.35,223.25,"81,65,238","3,99,88,32,036.90","1,38,577"
27-May-2024,EQ,502.95,503.0,490.75,501.0,494.75,494.45,495.23,507.35,223.25,"88,11,105","4,36,35,00,836.90","1,29,283"
24-May-2024,EQ,495.95,505.4,489.15,497.3,500.15,501.0,498.51,507.35,223.25,"1,21,90,536","6,07,71,62,733.05","1,26,425"
23-May-2024,EQ,503.4,503.8,492.1,501.7,497.0,497.3,496.66,507.35,223.25,"1,43,78,840","7,14,14,26,233.40","1,54,445"
22-May-2024,EQ,494.5,507.35,491.6,490.65,501.85,501.7,501.51,507.35,223.25,"2,83,46,931","14,21,63,09,754.60","2,48,929"
21-May-2024,EQ,469.7,493.9,469.7,469.7,490.8,490.65,487.23,493.9,223.25,"2,73,56,982","13,32,91,38,800.70","2,52,831"
18-May-2024,EQ,472.9,473.0,468.55,470.25,469.45,469.7,471.07,487.6,223.25,"9,86,166","46,45,57,046.55","13,074"
17-May-2024,EQ,469.05,473.7,466.8,468.3,469.9,470.25,470.69,487.6,223.25,"1,06,25,019","5,00,11,38,144.75","1,06,493"
16-May-2024,EQ,468.65,475.0,457.85,467.85,467.25,468.3,466.86,487.6,223.25,"1,72,32,651","8,04,52,67,038.45","2,16,546"
15-May-2024,EQ,450.0,470.0,449.5,448.7,467.5,467.85,462.95,487.6,223.25,"2,35,43,942","10,89,95,98,029.15","2,02,401"
14-May-2024,EQ,446.7,450.65,445.1,444.0,448.5,448.7,448.53,487.6,223.25,"65,92,194","2,95,68,14,310.80","1,14,394"
13-May-2024,EQ,451.25,451.8,434.7,449.4,444.25,444.0,441.94,487.6,223.25,"1,11,07,909","4,90,90,74,941.30","1,47,904"
10-May-2024,EQ,447.2,451.15,440.25,443.5,448.95,449.4,447.35,487.6,223.25,"91,90,621","4,11,14,58,570.30","1,17,407"
09-May-2024,EQ,465.35,467.7,441.35,464.45,444.0,443.5,449.82,487.6,223.25,"1,56,01,338","7,01,78,59,402.45","2,02,870"
08-May-2024,EQ,456.7,471.4,455.1,456.0,465.55,464.45,465.5,487.6,223.25,"1,69,78,094","7,90,32,70,982.85","1,53,014"
07-May-2024,EQ,463.0,469.5,452.85,460.6,455.65,456.0,460.88,487.6,223.25,"1,37,28,379","6,32,70,78,570.80","1,39,423"
06-May-2024,EQ,479.0,481.45,444.05,474.6,460.05,460.6,463.24,487.6,223.25,"3,64,08,390","16,86,57,36,623.65","3,16,575"
03-May-2024,EQ,457.9,475.8,449.4,453.9,475.5,474.6,466.42,487.6,223.25,"5,10,71,947","23,82,07,23,099.30","3,71,497"
02-May-2024,EQ,457.55,459.55,449.4,454.3,452.0,453.9,454.89,487.6,223.25,"1,49,80,896","6,81,46,85,447.25","1,94,918"
30-Apr-2024,EQ,456.4,458.4,452.05,453.25,453.9,454.3,455.52,487.6,223.25,"60,21,793","2,74,30,52,899.25","97,351"
29-Apr-2024,EQ,458.7,458.7,450.55,455.8,453.75,453.25,453.74,487.6,223.25,"53,05,655","2,40,73,73,301.20","75,447"
26-Apr-2024,EQ,454.0,460.45,452.2,452.45,455.15,455.8,455.8,487.6,223.25,"72,09,435","3,28,60,37,444.80","88,961"
25-Apr-2024,EQ,443.0,454.0,441.75,443.85,452.9,452.45,449.21,487.6,223.25,"1,08,58,594","4,87,77,92,751.30","1,50,242"
24-Apr-2024,EQ,441.55,448.7,441.15,440.95,444.2,443.85,445.04,487.6,223.25,"65,38,090","2,90,97,05,433.45","82,453"
23-Apr-2024,EQ,445.75,445.75,439.25,442.95,441.5,440.95,441.83,487.6,223.25,"53,90,120","2,38,15,06,621.90","90,595"
22-Apr-2024,EQ,440.9,444.5,438.0,435.3,444.0,442.95,442.19,487.6,223.25,"63,96,926","2,82,86,29,313.65","75,525"
