Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"4,546.45","4,568.90","4,512.50","4,539.30","4,554.70","4,545.35","4,541.38","4,627.95","3,295.30","2,03,886","92,59,23,492.35","26,994"
25-Jun-2024,EQ,"4,515.00","4,597.45","4,488.05","4,519.55","4,541.55","4,539.30","4,542.54","4,627.95","3,295.30","3,53,120","1,60,40,63,332.15","35,904"
24-Jun-2024,EQ,"4,512.60","4,555.45","4,488.50","4,522.15","4,510.05","4,519.55","4,528.91","4,627.95","3,295.30","1,88,506","85,37,26,759.30","28,039"
21-Jun-2024,EQ,"4,500.00","4,575.95","4,489.75","4,504.05","4,520.00","4,522.15","4,533.75","4,627.95","3,295.30","5,83,517","2,64,55,21,959.85","45,887"
20-Jun-2024,EQ,"4,486.00","4,522.25","4,439.70","4,479.70","4,505.00","4,504.05","4,482.25","4,627.95","3,295.30","4,12,934","1,85,08,73,585.35","73,213"
19-Jun-2024,EQ,"4,565.00","4,581.30","4,466.00","4,564.50","4,480.00","4,479.70","4,512.01","4,627.95","3,295.30","2,23,028","1,00,63,04,602.75","21,328"
18-Jun-2024,EQ,"4,521.00","4,583.90","4,521.00","4,588.60","4,570.00","4,564.50","4,551.12","4,627.95","3,295.30","2,41,254","1,09,79,76,541.95","37,845"
14-Jun-2024,EQ,"4,595.00","4,627.95","4,559.10","4,593.50","4,585.00","4,588.60","4,585.67","4,627.95","3,295.30","2,81,968","1,29,30,13,011.10","26,697"
13-Jun-2024,EQ,"4,501.30","4,617.00","4,496.85","4,452.35","4,593.00","4,593.50","4,586.19","4,617.00","3,295.30","12,75,865","5,85,13,53,005.45","94,619"
12-Jun-2024,EQ,"4,504.00","4,515.00","4,433.90","4,475.45","4,445.05","4,452.35","4,467.70","4,585.00","3,295.30","2,96,209","1,32,33,73,567.10","33,898"
11-Jun-2024,EQ,"4,560.00","4,585.00","4,462.30","4,536.25","4,478.75","4,475.45","4,521.43","4,585.00","3,295.30","2,64,078","1,19,40,10,621.30","26,959"
10-Jun-2024,EQ,"4,524.05","4,579.60","4,515.05","4,524.05","4,544.10","4,536.25","4,546.96","4,579.60","3,295.30","4,62,274","2,10,19,40,918.75","48,365"
07-Jun-2024,EQ,"4,450.80","4,540.40","4,438.80","4,448.90","4,520.00","4,524.05","4,503.86","4,540.40","3,295.30","4,32,970","1,95,00,36,623.55","41,094"
06-Jun-2024,EQ,"4,500.00","4,500.00","4,366.60","4,502.70","4,482.05","4,448.90","4,432.70","4,525.00","3,295.30","7,90,310","3,50,32,10,716.25","97,817"
05-Jun-2024,EQ,"4,334.35","4,525.00","4,306.75","4,324.15","4,499.30","4,502.70","4,466.29","4,525.00","3,295.30","10,77,221","4,81,11,82,667.10","1,24,040"
04-Jun-2024,EQ,"4,323.40","4,422.60","4,180.50","4,321.90","4,327.20","4,324.15","4,329.78","4,467.50","3,295.30","8,47,809","3,67,08,29,221.40","97,431"
03-Jun-2024,EQ,"4,400.00","4,435.50","4,292.95","4,307.20","4,315.00","4,321.90","4,332.83","4,467.50","3,295.30","5,15,368","2,23,29,99,425.10","53,857"
31-May-2024,EQ,"4,427.45","4,455.85","4,290.15","4,412.80","4,307.65","4,307.20","4,336.52","4,467.50","3,295.30","9,70,571","4,20,88,96,166.15","74,699"
30-May-2024,EQ,"4,444.05","4,465.00","4,390.00","4,448.00","4,424.65","4,412.80","4,435.02","4,467.50","3,295.30","7,68,574","3,40,86,39,159.70","72,663"
29-May-2024,EQ,"4,360.00","4,467.50","4,355.55","4,392.10","4,467.50","4,448.00","4,418.16","4,467.50","3,295.30","12,20,726","5,39,33,59,540.10","82,527"
