Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"6,063.50","6,094.65","6,025.30","6,078.40","6,069.95","6,070.05","6,068.57","6,505.90","4,952.00","3,91,648","2,37,67,41,952.45","52,014"
25-Jun-2024,EQ,"6,090.00","6,095.20","6,016.05","6,054.95","6,062.30","6,078.40","6,052.19","6,505.90","4,952.00","3,95,498","2,39,36,28,701.25","30,346"
24-Jun-2024,EQ,"5,998.00","6,100.00","5,973.00","6,011.45","6,090.00","6,054.95","6,026.52","6,505.90","4,952.00","3,24,905","1,95,80,45,655.65","26,084"
21-Jun-2024,EQ,"5,971.00","6,055.00","5,955.15","5,970.80","5,992.00","6,011.45","6,016.11","6,505.90","4,862.05","4,30,095","2,58,74,97,327.75","46,246"
20-Jun-2024,EQ,"5,925.00","5,996.00","5,888.00","5,956.20","5,980.95","5,970.80","5,952.78","6,505.90","4,862.05","4,97,947","2,96,41,67,357.90","79,875"
19-Jun-2024,EQ,"5,991.95","5,999.65","5,920.00","5,991.25","5,962.00","5,956.20","5,950.73","6,505.90","4,862.05","6,11,329","3,63,78,56,122.10","49,344"
18-Jun-2024,EQ,"6,048.00","6,062.00","5,980.00","6,085.25","5,988.00","5,991.25","6,004.61","6,505.90","4,862.05","6,15,397","3,69,52,17,307.00","56,922"
14-Jun-2024,EQ,"6,096.00","6,118.50","6,035.10","6,095.85","6,085.00","6,085.25","6,068.54","6,505.90","4,654.45","3,97,004","2,40,92,36,200.85","33,149"
13-Jun-2024,EQ,"6,119.90","6,119.90","6,031.50","6,060.05","6,090.00","6,095.85","6,075.85","6,505.90","4,654.45","4,38,230","2,66,26,20,609.20","40,424"
12-Jun-2024,EQ,"6,060.00","6,085.00","5,991.00","6,039.25","6,047.00","6,060.05","6,053.40","6,505.90","4,654.45","3,86,585","2,34,01,53,283.90","56,090"
11-Jun-2024,EQ,"6,085.00","6,100.25","6,028.00","6,106.15","6,050.95","6,039.25","6,047.42","6,505.90","4,654.45","5,16,362","3,12,26,55,356.85","49,725"
10-Jun-2024,EQ,"6,061.30","6,157.65","6,004.05","6,061.30","6,085.00","6,106.15","6,092.48","6,505.90","4,654.45","6,29,655","3,83,61,57,505.20","60,434"
07-Jun-2024,EQ,"5,890.95","6,084.10","5,876.25","5,890.95","6,050.85","6,061.30","6,022.36","6,505.90","4,596.70","7,49,505","4,51,37,86,998.50","73,794"
06-Jun-2024,EQ,"5,835.00","5,926.00","5,781.60","5,824.15","5,899.40","5,890.95","5,867.93","6,505.90","4,596.70","7,19,676","4,22,30,09,014.30","1,19,008"
05-Jun-2024,EQ,"5,737.90","5,881.70","5,725.80","5,730.80","5,817.50","5,824.15","5,814.15","6,505.90","4,596.70","5,08,564","2,95,68,66,541.60","55,748"
04-Jun-2024,EQ,"5,807.00","5,827.35","5,600.00","5,783.30","5,761.95","5,730.80","5,731.20","6,505.90","4,596.70","6,57,435","3,76,78,88,797.10","84,090"
03-Jun-2024,EQ,"5,937.90","5,937.90","5,777.15","5,791.85","5,790.20","5,783.30","5,800.82","6,505.90","4,596.70","4,17,511","2,42,19,07,115.50","64,478"
31-May-2024,EQ,"5,899.95","5,904.65","5,752.85","5,873.75","5,782.00","5,791.85","5,816.47","6,505.90","4,480.95","10,29,318","5,98,69,98,173.85","68,013"
30-May-2024,EQ,"5,975.00","5,975.00","5,833.00","6,000.75","5,890.00","5,873.75","5,893.51","6,505.90","4,480.95","6,01,044","3,54,22,57,512.35","78,773"
29-May-2024,EQ,"5,985.00","6,017.95","5,914.60","5,965.30","5,995.00","6,000.75","5,977.52","6,505.90","4,480.95","5,06,798","3,02,93,95,344.95","51,752"
28-May-2024,EQ,"5,872.15","6,005.10","5,872.15","5,872.70","5,949.85","5,965.30","5,960.95","6,505.90","4,480.95","7,93,202","4,72,82,36,001.85","70,945"
27-May-2024,EQ,"5,865.75","5,889.95","5,796.10","5,865.75","5,880.00","5,872.70","5,835.83","6,505.90","4,480.95","6,73,258","3,92,90,21,914.30","59,514"
24-May-2024,EQ,"5,896.40","5,909.10","5,838.50","5,897.70","5,867.00","5,865.75","5,878.53","6,505.90","4,384.25","4,24,443","2,49,50,99,546.45","32,318"
23-May-2024,EQ,"5,902.45","5,933.00","5,835.00","5,872.75","5,883.00","5,897.70","5,888.41","6,505.90","4,384.25","5,65,583","3,33,03,86,583.70","83,015"
22-May-2024,EQ,"5,850.00","5,905.00","5,790.40","5,779.80","5,872.90","5,872.75","5,846.22","6,505.90","4,384.25","5,21,022","3,04,60,09,736.30","59,690"
21-May-2024,EQ,"5,810.95","5,833.30","5,773.00","5,811.60","5,790.00","5,779.80","5,797.59","6,505.90","4,384.25","4,91,373","2,84,87,77,721.25","46,806"
18-May-2024,EQ,"5,810.95","5,849.15","5,800.15","5,799.55","5,810.00","5,811.60","5,819.74","6,505.90","4,384.05","22,645","13,17,88,036.80","4,300"
17-May-2024,EQ,"5,850.40","5,856.45","5,791.00","5,850.40","5,802.00","5,799.55","5,806.88","6,505.90","4,384.05","6,01,339","3,49,19,04,326.00","75,730"
16-May-2024,EQ,"5,928.00","5,928.00","5,709.00","5,875.00","5,829.00","5,850.40","5,813.98","6,505.90","4,384.05","7,32,097","4,25,63,99,815.55","1,19,828"
15-May-2024,EQ,"5,885.00","5,966.95","5,860.00","5,868.80","5,882.00","5,875.00","5,917.68","6,505.90","4,384.05","2,91,681","1,72,60,75,458.20","42,379"
14-May-2024,EQ,"5,938.90","5,945.40","5,855.00","5,908.55","5,873.00","5,868.80","5,888.30","6,505.90","4,384.05","2,37,330","1,39,74,70,333.75","35,766"
13-May-2024,EQ,"5,921.00","5,949.00","5,850.50","5,921.00","5,921.60","5,908.55","5,898.77","6,505.90","4,384.05","1,70,564","1,00,61,17,333.15","28,724"
10-May-2024,EQ,"5,875.00","5,935.00","5,818.10","5,877.35","5,920.00","5,921.00","5,890.97","6,505.90","4,384.05","2,96,180","1,74,47,86,851.95","50,791"
09-May-2024,EQ,"6,074.50","6,074.50","5,870.00","6,056.35","5,889.00","5,877.35","5,940.35","6,505.90","4,384.05","5,06,907","3,01,12,03,674.35","81,279"
08-May-2024,EQ,"6,100.00","6,114.95","5,952.70","6,257.60","6,053.00","6,056.35","6,035.89","6,505.90","4,384.05","9,88,140","5,96,43,02,678.60","85,121"
07-May-2024,EQ,"6,329.90","6,350.00","6,200.00","6,293.45","6,273.40","6,257.60","6,267.92","6,505.90","4,384.05","3,17,354","1,98,91,48,086.85","34,437"
06-May-2024,EQ,"6,379.70","6,380.00","6,246.35","6,349.55","6,320.00","6,293.45","6,299.26","6,505.90","4,384.05","4,52,754","2,85,20,14,325.45","60,256"
03-May-2024,EQ,"6,299.90","6,419.90","6,258.00","6,287.50","6,329.00","6,349.55","6,346.97","6,505.90","4,384.05","5,81,368","3,68,99,27,580.80","60,008"
02-May-2024,EQ,"6,195.25","6,299.80","6,195.25","6,204.30","6,273.90","6,287.50","6,259.28","6,505.90","4,384.05","6,26,953","3,92,42,73,314.20","84,987"
30-Apr-2024,EQ,"6,299.90","6,313.00","6,185.00","6,297.10","6,200.35","6,204.30","6,234.60","6,505.90","4,384.05","3,81,304","2,37,72,76,634.75","44,211"
29-Apr-2024,EQ,"6,270.00","6,325.00","6,202.35","6,252.10","6,271.00","6,297.10","6,277.27","6,505.90","4,384.05","2,97,106","1,86,50,14,806.60","38,006"
26-Apr-2024,EQ,"6,224.90","6,308.85","6,178.85","6,218.75","6,270.00","6,252.10","6,255.14","6,505.90","4,384.05","4,12,618","2,58,09,81,897.60","46,574"
25-Apr-2024,EQ,"5,975.05","6,262.00","5,928.00","5,950.80","6,250.00","6,218.75","6,143.92","6,505.90","4,384.05","9,26,985","5,69,53,20,071.40","1,10,884"
24-Apr-2024,EQ,"5,960.05","5,994.85","5,921.05","5,952.10","5,959.00","5,950.80","5,963.23","6,505.90","4,384.05","2,66,987","1,59,21,04,024.35","30,615"
23-Apr-2024,EQ,"6,050.00","6,065.00","5,933.90","6,016.10","5,945.00","5,952.10","6,002.43","6,505.90","4,384.05","2,98,835","1,79,37,35,925.80","38,547"
22-Apr-2024,EQ,"5,975.00","6,064.00","5,953.50","5,942.85","6,013.00","6,016.10","6,028.80","6,505.90","4,384.05","3,33,457","2,01,03,44,905.70","44,454"
19-Apr-2024,EQ,"6,000.00","6,000.00","5,880.80","5,957.15","5,940.00","5,942.85","5,927.29","6,505.90","4,384.05","3,42,651","2,03,09,90,460.40","45,659"
18-Apr-2024,EQ,"6,099.95","6,127.50","5,937.65","6,050.35","5,976.40","5,957.15","6,043.64","6,505.90","4,384.05","5,97,736","3,61,24,99,790.65","87,230"
16-Apr-2024,EQ,"6,005.85","6,073.85","5,985.05","6,010.85","6,052.90","6,050.35","6,037.03","6,505.90","4,384.05","4,08,298","2,46,49,05,647.70","45,542"
15-Apr-2024,EQ,"6,073.20","6,073.20","5,982.25","6,083.85","6,018.95","6,010.85","6,015.42","6,505.90","4,384.05","2,69,933","1,62,37,59,772.05","47,073"
12-Apr-2024,EQ,"6,168.90","6,189.00","6,075.00","6,157.90","6,093.80","6,083.85","6,130.69","6,505.90","4,384.05","3,94,851","2,42,07,09,975.10","45,951"
10-Apr-2024,EQ,"6,199.90","6,199.90","6,145.00","6,167.90","6,147.40","6,157.90","6,166.27","6,505.90","4,384.05","1,96,084","1,20,91,06,705.50","25,568"
09-Apr-2024,EQ,"6,202.20","6,230.20","6,155.00","6,174.55","6,163.00","6,167.90","6,178.56","6,505.90","4,384.05","1,28,724","79,53,29,459.25","19,632"
08-Apr-2024,EQ,"6,217.45","6,226.75","6,135.05","6,179.30","6,166.45","6,174.55","6,189.95","6,505.90","4,384.05","2,84,105","1,75,85,96,841.75","33,534"
05-Apr-2024,EQ,"6,142.50","6,305.85","6,140.00","6,142.50","6,179.00","6,179.30","6,227.52","6,505.90","4,384.05","5,41,011","3,36,91,57,152.25","67,765"
04-Apr-2024,EQ,"6,155.00","6,175.00","6,047.50","6,124.40","6,140.00","6,142.50","6,120.77","6,505.90","4,384.05","3,99,019","2,44,23,05,308.60","95,328"
03-Apr-2024,EQ,"6,237.55","6,268.00","6,112.00","6,237.55","6,130.85","6,124.40","6,158.47","6,505.90","4,384.05","2,69,225","1,65,80,13,750.10","33,622"
02-Apr-2024,EQ,"6,268.95","6,268.95","6,206.00","6,250.35","6,240.00","6,237.55","6,235.78","6,505.90","4,384.05","2,38,206","1,48,53,99,888.65","30,677"
01-Apr-2024,EQ,"6,215.00","6,282.45","6,157.90","6,157.90","6,246.40","6,250.35","6,233.35","6,505.90","4,384.05","1,54,404","96,24,54,122.40","25,341"
28-Mar-2024,EQ,"6,078.00","6,209.80","6,078.00","6,044.10","6,140.55","6,157.90","6,152.52","6,505.90","4,384.05","5,17,383","3,18,32,08,788.40","78,393"
27-Mar-2024,EQ,"6,151.00","6,151.00","6,034.10","6,134.85","6,047.85","6,044.10","6,081.45","6,505.90","4,384.05","2,90,593","1,76,72,25,672.65","49,455"
26-Mar-2024,EQ,"6,190.00","6,211.45","6,106.05","6,203.20","6,131.85","6,134.85","6,160.46","6,505.90","4,384.05","2,72,255","1,67,72,17,046.65","38,439"
22-Mar-2024,EQ,"6,129.00","6,239.40","6,105.05","6,128.20","6,215.00","6,203.20","6,195.17","6,505.90","4,384.05","3,05,719","1,89,39,81,477.15","50,699"
21-Mar-2024,EQ,"6,125.00","6,156.00","6,060.00","6,103.30","6,105.50","6,128.20","6,119.49","6,505.90","4,384.05","3,25,246","1,99,03,38,397.15","68,205"
20-Mar-2024,EQ,"6,124.95","6,138.10","6,023.20","6,134.90","6,100.00","6,103.30","6,084.28","6,505.90","4,384.05","2,77,037","1,68,55,69,790.15","49,945"
19-Mar-2024,EQ,"6,335.00","6,335.00","6,123.45","6,341.05","6,137.00","6,134.90","6,193.62","6,505.90","4,384.05","3,16,367","1,95,94,55,549.65","53,052"
18-Mar-2024,EQ,"6,292.10","6,354.90","6,268.05","6,284.90","6,349.00","6,341.05","6,334.44","6,505.90","4,384.05","1,80,493","1,14,33,22,928.25","32,697"
15-Mar-2024,EQ,"6,285.10","6,308.55","6,214.50","6,294.60","6,280.45","6,284.90","6,274.56","6,505.90","4,309.00","4,85,947","3,04,91,05,912.60","41,095"
14-Mar-2024,EQ,"6,282.00","6,320.15","6,208.90","6,303.80","6,285.10","6,294.60","6,277.55","6,505.90","4,309.00","4,00,212","2,51,23,52,435.55","77,690"
13-Mar-2024,EQ,"6,302.40","6,350.00","6,248.80","6,302.15","6,299.00","6,303.80","6,298.98","6,505.90","4,309.00","2,10,265","1,32,44,55,821.60","42,905"
12-Mar-2024,EQ,"6,388.15","6,428.00","6,266.25","6,387.45","6,300.10","6,302.15","6,326.41","6,505.90","4,309.00","3,29,411","2,08,39,90,457.80","43,734"
11-Mar-2024,EQ,"6,369.00","6,423.60","6,310.00","6,324.15","6,390.00","6,387.45","6,387.50","6,505.90","4,309.00","2,82,473","1,80,42,96,939.45","39,164"
