Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"2,518.80","2,564.00","2,509.05","2,516.95","2,555.00","2,552.25","2,544.87","2,564.00","1,696.00","13,87,150","3,53,01,13,590.80","85,533"
25-Jun-2024,EQ,"2,520.00","2,529.85","2,495.00","2,515.10","2,512.85","2,516.95","2,514.54","2,529.85","1,696.00","7,92,404","1,99,25,28,784.70","47,281"
24-Jun-2024,EQ,"2,463.90","2,521.75","2,443.10","2,466.15","2,514.50","2,515.10","2,498.00","2,523.70","1,696.00","7,24,085","1,80,87,64,463.40","35,920"
21-Jun-2024,EQ,"2,499.00","2,515.60","2,450.60","2,498.80","2,468.00","2,466.15","2,469.05","2,523.70","1,696.00","28,67,672","7,08,04,12,359.75","62,525"
20-Jun-2024,EQ,"2,447.10","2,504.00","2,432.50","2,447.15","2,501.10","2,498.80","2,475.60","2,523.70","1,696.00","10,08,266","2,49,60,58,295.50","78,256"
19-Jun-2024,EQ,"2,458.00","2,460.85","2,412.00","2,457.55","2,456.80","2,447.15","2,442.65","2,523.70","1,696.00","6,68,976","1,63,40,74,088.75","32,720"
18-Jun-2024,EQ,"2,471.00","2,487.45","2,445.00","2,471.20","2,458.00","2,457.55","2,460.30","2,523.70","1,696.00","4,67,553","1,15,03,22,164.25","31,311"
14-Jun-2024,EQ,"2,458.05","2,523.70","2,450.00","2,458.05","2,469.00","2,471.20","2,496.64","2,523.70","1,696.00","15,42,911","3,85,20,88,857.60","76,883"
13-Jun-2024,EQ,"2,441.05","2,475.55","2,430.00","2,450.15","2,456.00","2,458.05","2,449.31","2,489.75","1,696.00","5,12,510","1,25,52,97,704.45","39,740"
12-Jun-2024,EQ,"2,430.00","2,476.85","2,430.00","2,456.90","2,446.05","2,450.15","2,457.79","2,489.75","1,696.00","4,63,980","1,14,03,65,920.65","36,368"
11-Jun-2024,EQ,"2,449.90","2,482.00","2,426.35","2,446.80","2,448.10","2,456.90","2,459.23","2,489.75","1,696.00","5,31,924","1,30,81,25,956.85","33,409"
10-Jun-2024,EQ,"2,381.10","2,472.00","2,375.30","2,379.85","2,437.65","2,446.80","2,445.80","2,489.75","1,696.00","9,80,297","2,39,76,06,245.65","52,967"
07-Jun-2024,EQ,"2,311.20","2,383.45","2,311.20","2,334.75","2,378.00","2,379.85","2,363.75","2,489.75","1,696.00","4,71,524","1,11,45,65,027.70","36,611"
06-Jun-2024,EQ,"2,306.05","2,353.00","2,293.10","2,304.85","2,337.80","2,334.75","2,324.62","2,489.75","1,696.00","8,34,320","1,93,94,78,404.80","94,218"
05-Jun-2024,EQ,"2,258.40","2,313.75","2,182.15","2,256.40","2,300.00","2,304.85","2,245.45","2,489.75","1,696.00","19,96,915","4,48,39,74,644.50","94,473"
04-Jun-2024,EQ,"2,336.05","2,365.20","2,171.60","2,368.80","2,264.90","2,256.40","2,279.09","2,489.75","1,696.00","15,43,389","3,51,75,22,320.85","94,804"
03-Jun-2024,EQ,"2,400.00","2,405.20","2,362.30","2,316.25","2,375.00","2,368.80","2,381.08","2,489.75","1,696.00","8,07,692","1,92,31,75,491.10","59,415"
31-May-2024,EQ,"2,342.95","2,362.00","2,295.95","2,345.20","2,328.00","2,316.25","2,323.40","2,489.75","1,676.10","16,44,820","3,82,15,72,710.20","63,152"
30-May-2024,EQ,"2,404.00","2,406.60","2,328.00","2,400.60","2,331.60","2,345.20","2,353.39","2,489.75","1,676.10","8,26,458","1,94,49,76,718.70","73,057"
29-May-2024,EQ,"2,440.00","2,460.00","2,393.25","2,440.35","2,399.00","2,400.60","2,430.28","2,489.75","1,676.10","10,84,966","2,63,67,75,820.90","64,294"
28-May-2024,EQ,"2,398.90","2,469.95","2,392.70","2,390.65","2,435.10","2,440.35","2,426.18","2,489.75","1,676.10","8,74,384","2,12,14,11,232.60","65,819"
27-May-2024,EQ,"2,441.05","2,455.70","2,385.95","2,441.00","2,390.05","2,390.65","2,404.11","2,489.75","1,676.10","8,88,793","2,13,67,58,310.70","64,748"
24-May-2024,EQ,"2,449.75","2,474.80","2,431.60","2,453.80","2,443.65","2,441.00","2,456.14","2,489.75","1,667.00","4,83,000","1,18,63,16,609.70","29,743"
23-May-2024,EQ,"2,442.00","2,461.90","2,395.65","2,436.65","2,436.90","2,453.80","2,426.91","2,489.75","1,667.00","10,91,448","2,64,88,41,256.50","96,845"
22-May-2024,EQ,"2,455.95","2,463.05","2,418.30","2,446.65","2,432.30","2,436.65","2,433.36","2,489.75","1,667.00","7,22,345","1,75,77,23,800.85","52,669"
21-May-2024,EQ,"2,430.10","2,449.95","2,406.40","2,434.35","2,449.00","2,446.65","2,436.41","2,489.75","1,667.00","5,55,489","1,35,33,97,493.70","49,042"
18-May-2024,EQ,"2,444.00","2,448.50","2,424.35","2,423.65","2,435.75","2,434.35","2,435.53","2,489.75","1,667.00","47,519","11,57,34,065.55","3,142"
17-May-2024,EQ,"2,374.00","2,433.65","2,374.00","2,372.60","2,430.00","2,423.65","2,412.52","2,489.75","1,667.00","11,84,234","2,85,69,88,176.90","73,119"
16-May-2024,EQ,"2,382.00","2,386.00","2,310.20","2,369.70","2,379.00","2,372.60","2,351.75","2,489.75","1,667.00","11,81,205","2,77,78,95,838.50","1,03,261"
15-May-2024,EQ,"2,386.95","2,403.95","2,366.20","2,372.05","2,370.00","2,369.70","2,380.75","2,489.75","1,667.00","4,04,095","96,20,49,611.70","37,864"
14-May-2024,EQ,"2,383.45","2,396.85","2,362.10","2,385.20","2,382.20","2,372.05","2,373.07","2,489.75","1,667.00","4,21,260","99,96,78,223.30","28,919"
13-May-2024,EQ,"2,377.90","2,393.00","2,347.05","2,377.15","2,392.00","2,385.20","2,375.47","2,489.75","1,667.00","5,11,264","1,21,44,92,150.70","44,671"
10-May-2024,EQ,"2,359.95","2,382.70","2,322.00","2,353.70","2,362.00","2,377.15","2,355.33","2,489.75","1,667.00","8,90,719","2,09,79,41,399.40","60,294"
09-May-2024,EQ,"2,375.45","2,393.40","2,345.05","2,377.35","2,358.00","2,353.70","2,359.05","2,489.75","1,667.00","5,57,056","1,31,41,21,044.50","68,640"
08-May-2024,EQ,"2,404.00","2,424.15","2,370.90","2,421.00","2,370.90","2,377.35","2,392.33","2,489.75","1,667.00","4,62,790","1,10,71,45,329.90","43,205"
07-May-2024,EQ,"2,460.00","2,468.70","2,403.10","2,453.30","2,404.00","2,421.00","2,433.46","2,489.75","1,667.00","4,38,590","1,06,72,92,685.60","40,054"
06-May-2024,EQ,"2,489.00","2,489.75","2,441.20","2,481.35","2,454.00","2,453.30","2,459.85","2,489.75","1,667.00","6,06,833","1,49,27,15,624.55","46,396"
03-May-2024,EQ,"2,442.00","2,487.00","2,438.80","2,437.35","2,475.00","2,481.35","2,473.89","2,487.00","1,667.00","11,92,695","2,95,06,01,487.20","66,209"
02-May-2024,EQ,"2,410.00","2,452.00","2,401.05","2,411.65","2,431.60","2,437.35","2,437.63","2,452.00","1,667.00","14,66,226","3,57,41,14,817.15","1,16,852"
30-Apr-2024,EQ,"2,405.00","2,438.45","2,374.10","2,386.60","2,410.00","2,411.65","2,408.38","2,438.45","1,667.00","10,41,175","2,50,75,48,228.00","53,890"
29-Apr-2024,EQ,"2,355.00","2,392.80","2,309.60","2,342.45","2,389.50","2,386.60","2,362.93","2,392.80","1,667.00","6,16,995","1,45,79,17,761.60","44,428"
26-Apr-2024,EQ,"2,366.95","2,379.30","2,330.05","2,367.45","2,338.15","2,342.45","2,344.89","2,384.30","1,655.70","4,05,679","95,12,72,148.65","38,199"
25-Apr-2024,EQ,"2,349.00","2,376.05","2,334.20","2,337.75","2,364.20","2,367.45","2,362.71","2,384.30","1,655.70","16,21,547","3,83,12,38,136.00","97,819"
24-Apr-2024,EQ,"2,378.00","2,384.30","2,333.00","2,370.15","2,340.10","2,337.75","2,363.97","2,384.30","1,655.70","10,21,874","2,41,56,84,299.90","54,445"
23-Apr-2024,EQ,"2,278.45","2,376.00","2,278.40","2,280.55","2,369.55","2,370.15","2,349.92","2,376.00","1,655.70","18,23,447","4,28,49,52,742.05","1,05,358"
22-Apr-2024,EQ,"2,275.00","2,286.85","2,266.05","2,273.15","2,280.00","2,280.55","2,279.26","2,323.75","1,655.70","4,45,671","1,01,57,98,636.65","37,004"
19-Apr-2024,EQ,"2,220.00","2,290.75","2,201.35","2,226.05","2,266.90","2,273.15","2,256.84","2,323.75","1,655.70","10,61,064","2,39,46,55,836.05","85,049"
18-Apr-2024,EQ,"2,245.05","2,300.85","2,219.45","2,242.95","2,237.95","2,226.05","2,257.37","2,323.75","1,655.70","9,87,066","2,22,81,76,663.25","81,887"
16-Apr-2024,EQ,"2,229.00","2,249.25","2,221.10","2,237.40","2,241.00","2,242.95","2,240.18","2,323.75","1,655.70","5,58,075","1,25,01,89,127.10","28,866"
15-Apr-2024,EQ,"2,239.00","2,253.40","2,224.80","2,254.05","2,244.00","2,237.40","2,238.15","2,323.75","1,655.70","4,15,064","92,89,74,947.95","35,833"
12-Apr-2024,EQ,"2,297.00","2,307.00","2,249.30","2,306.35","2,255.75","2,254.05","2,273.79","2,323.75","1,655.70","6,35,489","1,44,49,67,165.25","36,074"
10-Apr-2024,EQ,"2,309.95","2,314.90","2,291.55","2,301.30","2,302.20","2,306.35","2,304.50","2,323.75","1,655.70","5,13,499","1,18,33,60,814.25","37,402"
