Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,591.65,599.0,587.2,590.95,589.3,589.05,592.76,710.6,511.4,"36,72,989","2,17,71,94,682.80","59,595"
25-Jun-2024,EQ,579.0,592.25,576.95,579.5,589.45,590.95,583.93,710.6,511.4,"65,93,288","3,84,99,90,523.30","1,36,434"
24-Jun-2024,EQ,580.0,582.45,575.65,580.95,580.0,579.5,579.32,710.6,511.4,"32,26,301","1,86,90,71,891.80","49,695"
21-Jun-2024,EQ,588.0,592.6,580.0,590.1,581.5,580.95,584.03,710.6,511.4,"72,63,396","4,24,20,29,875.35","92,413"
20-Jun-2024,EQ,596.2,597.5,582.7,596.2,590.0,590.1,590.43,710.6,511.4,"61,33,067","3,62,11,31,263.90","1,26,288"
19-Jun-2024,EQ,602.1,605.15,592.35,601.2,594.7,596.2,599.4,710.6,511.4,"44,53,729","2,66,95,74,022.05","61,887"
18-Jun-2024,EQ,596.85,605.0,591.8,598.35,600.4,601.2,600.35,710.6,511.4,"51,20,280","3,07,39,39,167.65","94,435"
14-Jun-2024,EQ,599.15,601.8,594.05,593.5,596.85,598.35,597.59,710.6,511.4,"73,08,942","4,36,77,54,776.40","93,226"
13-Jun-2024,EQ,565.0,598.4,565.0,572.7,591.0,593.5,590.02,710.6,511.4,"2,43,52,341","14,36,83,71,828.75","2,70,421"
12-Jun-2024,EQ,571.7,577.75,569.6,571.7,572.0,572.7,574.27,710.6,511.4,"43,04,369","2,47,18,86,678.80","1,12,588"
11-Jun-2024,EQ,571.5,576.9,566.2,569.2,572.0,571.7,573.18,710.6,511.4,"64,17,670","3,67,85,06,078.60","96,265"
10-Jun-2024,EQ,563.25,574.55,561.3,562.95,567.9,569.2,568.9,710.6,511.4,"38,63,289","2,19,78,24,226.20","72,406"
07-Jun-2024,EQ,555.05,563.6,553.5,555.25,562.85,562.95,561.17,710.6,511.4,"33,82,962","1,89,84,08,308.95","62,893"
06-Jun-2024,EQ,555.0,558.75,550.4,551.95,555.9,555.25,554.72,710.6,511.4,"39,70,217","2,20,23,77,682.15","1,14,066"
05-Jun-2024,EQ,540.0,554.3,536.1,534.45,550.9,551.95,546.93,710.6,511.4,"32,34,914","1,76,92,68,981.35","82,267"
04-Jun-2024,EQ,555.0,555.0,511.4,550.1,535.55,534.45,536.96,710.6,511.4,"97,83,762","5,25,34,89,622.10","2,32,407"
03-Jun-2024,EQ,568.95,569.25,547.05,549.85,551.1,550.1,551.67,710.6,538.0,"92,63,670","5,11,05,08,810.75","2,31,228"
31-May-2024,EQ,551.9,556.3,546.55,550.75,548.5,549.85,551.28,710.6,538.0,"97,07,990","5,35,18,64,365.35","1,25,930"
30-May-2024,EQ,552.75,563.85,548.25,561.85,551.9,550.75,553.94,710.6,538.0,"63,12,875","3,49,69,39,502.75","1,40,712"
29-May-2024,EQ,578.45,578.45,560.9,578.45,561.7,561.85,566.68,710.6,538.0,"62,59,646","3,54,71,98,063.60","1,04,246"
28-May-2024,EQ,567.0,579.95,563.65,564.25,578.0,578.45,575.7,710.6,538.0,"57,97,999","3,33,78,88,882.15","1,16,970"
