Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jun-2024,EQ,"5,390.00","5,534.00","5,390.00","5,452.00","5,520.00","5,524.45","5,480.55","5,894.55","2,775.00","4,64,982","2,54,83,57,906.55","54,287"
21-Jun-2024,EQ,"5,481.00","5,615.00","5,432.00","5,504.60","5,450.00","5,452.00","5,517.93","5,894.55","2,745.05","6,69,719","3,69,54,59,568.65","61,766"
20-Jun-2024,EQ,"5,669.00","5,669.00","5,496.00","5,647.70","5,511.95","5,504.60","5,558.12","5,894.55","2,745.05","8,40,321","4,67,06,07,319.80","1,17,175"
19-Jun-2024,EQ,"5,774.80","5,779.80","5,625.00","5,754.85","5,646.00","5,647.70","5,678.04","5,894.55","2,745.05","4,47,054","2,53,83,90,848.40","53,445"
18-Jun-2024,EQ,"5,824.00","5,894.55","5,736.70","5,804.20","5,768.00","5,754.85","5,800.64","5,894.55","2,745.05","5,27,069","3,05,73,36,531.30","55,218"
14-Jun-2024,EQ,"5,823.00","5,864.75","5,761.60","5,816.00","5,790.05","5,804.20","5,815.63","5,864.75","2,745.05","5,73,273","3,33,39,42,343.85","63,681"
13-Jun-2024,EQ,"5,820.20","5,840.00","5,731.00","5,790.20","5,801.00","5,816.00","5,798.94","5,859.00","2,745.05","5,47,596","3,17,54,77,653.40","55,939"
12-Jun-2024,EQ,"5,800.00","5,859.00","5,776.60","5,786.60","5,786.00","5,790.20","5,809.27","5,859.00","2,745.05","6,68,529","3,88,36,68,795.80","55,788"
11-Jun-2024,EQ,"5,730.00","5,846.40","5,705.00","5,722.20","5,775.00","5,786.60","5,782.27","5,846.40","2,745.05","10,15,127","5,86,97,37,129.85","95,361"
10-Jun-2024,EQ,"5,585.00","5,785.00","5,581.05","5,581.85","5,710.00","5,722.20","5,730.67","5,785.00","2,745.05","10,18,162","5,83,47,49,609.60","1,08,726"
07-Jun-2024,EQ,"5,583.90","5,637.40","5,538.00","5,534.25","5,579.00","5,581.85","5,585.14","5,775.20","2,745.05","6,37,134","3,55,84,80,919.05","67,123"
06-Jun-2024,EQ,"5,655.10","5,735.45","5,472.35","5,658.50","5,535.00","5,534.25","5,543.61","5,775.20","2,745.05","14,98,100","8,30,48,83,675.40","1,81,562"
05-Jun-2024,EQ,"5,315.00","5,775.20","5,315.00","5,310.70","5,625.00","5,658.50","5,623.99","5,775.20","2,745.05","20,58,534","11,57,71,72,236.20","1,65,295"
04-Jun-2024,EQ,"5,165.00","5,349.00","4,920.25","5,160.60","5,323.90","5,310.70","5,205.19","5,349.00","2,745.05","19,45,233","10,12,53,07,749.80","1,90,131"
03-Jun-2024,EQ,"5,280.00","5,314.00","5,154.60","5,119.60","5,162.00","5,160.60","5,221.64","5,314.00","2,745.05","9,62,485","5,02,57,48,011.80","87,217"
31-May-2024,EQ,"5,175.00","5,189.95","5,003.50","5,136.00","5,125.20","5,119.60","5,108.21","5,225.00","2,736.05","19,05,070","9,73,14,99,944.95","1,05,638"
30-May-2024,EQ,"5,129.00","5,186.95","5,094.70","5,143.75","5,152.00","5,136.00","5,142.82","5,225.00","2,736.05","4,57,454","2,35,26,04,420.25","61,741"
29-May-2024,EQ,"5,171.05","5,202.15","5,106.05","5,183.95","5,126.70","5,143.75","5,152.40","5,225.00","2,736.05","4,09,279","2,10,87,69,993.35","44,550"
28-May-2024,EQ,"5,084.95","5,225.00","5,045.00","5,083.90","5,185.00","5,183.95","5,168.16","5,225.00","2,736.05","7,27,224","3,75,84,10,095.85","77,705"
