Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,683.55,683.55,671.35,685.5,674.8,674.7,674.32,715.25,408.2,"60,69,407","4,09,27,38,394.35","1,16,694"
25-Jun-2024,EQ,688.8,696.0,680.9,685.25,685.0,685.5,688.12,715.25,408.2,"57,78,636","3,97,63,87,134.90","1,03,615"
24-Jun-2024,EQ,679.6,687.7,675.1,684.5,685.0,685.25,684.27,715.25,408.2,"80,14,595","5,48,41,85,180.75","94,954"
21-Jun-2024,EQ,680.0,691.2,677.0,676.5,684.0,684.5,685.5,715.25,407.45,"1,19,73,903","8,20,81,20,859.35","1,37,461"
20-Jun-2024,EQ,665.0,684.35,661.75,662.4,677.9,676.5,676.29,715.25,407.45,"66,46,966","4,49,52,83,978.50","1,24,874"
19-Jun-2024,EQ,680.05,682.0,660.4,678.75,664.35,662.4,667.48,715.25,407.45,"47,70,356","3,18,41,02,732.70","96,740"
18-Jun-2024,EQ,683.6,688.0,677.0,683.6,678.0,678.75,682.51,715.25,407.45,"40,13,739","2,73,94,26,865.75","88,600"
14-Jun-2024,EQ,690.0,690.0,677.4,680.7,682.1,683.6,682.75,715.25,407.45,"83,26,865","5,68,51,36,178.55","93,887"
13-Jun-2024,EQ,678.0,684.65,676.05,673.9,679.0,680.7,681.0,715.25,407.45,"95,55,904","6,50,75,26,537.35","1,11,000"
12-Jun-2024,EQ,674.0,683.0,671.85,672.95,673.8,673.9,676.73,715.25,407.45,"1,07,83,822","7,29,77,18,551.30","1,60,689"
11-Jun-2024,EQ,680.0,681.25,672.05,676.4,674.0,672.95,675.74,715.25,407.45,"51,57,918","3,48,53,90,120.40","1,92,491"
10-Jun-2024,EQ,677.05,684.85,673.05,680.35,676.75,676.4,678.16,715.25,407.45,"40,54,802","2,74,98,21,852.45","91,656"
07-Jun-2024,EQ,677.5,687.0,672.45,677.5,680.2,680.35,680.55,715.25,407.45,"71,72,942","4,88,15,72,985.55","1,92,690"
06-Jun-2024,EQ,695.0,695.0,673.0,695.25,678.75,677.5,681.35,715.25,407.45,"1,04,20,244","7,09,98,61,309.30","2,66,477"
05-Jun-2024,EQ,627.0,700.65,607.0,649.05,691.0,695.25,651.2,715.25,407.45,"2,58,36,374","16,82,47,48,964.70","3,05,586"
04-Jun-2024,EQ,697.0,697.0,594.25,695.95,644.0,649.05,648.75,715.25,407.45,"2,42,50,212","15,73,23,54,615.85","3,46,230"
03-Jun-2024,EQ,715.0,715.25,692.8,689.35,696.5,695.95,699.07,715.25,407.45,"70,81,956","4,95,07,77,134.80","1,06,973"
31-May-2024,EQ,698.9,703.45,684.35,695.15,686.0,689.35,691.88,713.5,404.35,"1,36,20,282","9,42,35,52,786.35","1,78,074"
30-May-2024,EQ,704.85,713.05,693.35,705.3,697.75,695.15,702.49,713.5,404.35,"1,03,61,716","7,27,89,53,160.70","2,21,269"
29-May-2024,EQ,695.0,713.5,682.3,681.3,705.3,705.3,700.43,713.5,404.35,"2,26,84,652","15,88,90,36,885.80","3,33,160"
28-May-2024,EQ,682.0,698.0,678.35,677.85,680.0,681.3,687.68,698.7,404.35,"1,29,25,385","8,88,85,20,089.50","1,73,143"
27-May-2024,EQ,685.05,689.5,675.5,673.25,678.5,677.85,680.15,698.7,404.35,"1,04,75,785","7,12,50,87,082.80","1,21,638"
24-May-2024,EQ,679.25,690.45,671.05,676.8,678.8,673.25,681.43,698.7,397.8,"1,59,30,052","10,85,51,95,490.10","2,09,495"
23-May-2024,EQ,675.15,678.55,665.95,684.55,676.0,676.8,671.16,698.7,397.8,"97,49,101","6,54,32,02,530.20","1,46,543"
22-May-2024,EQ,698.55,698.7,677.4,693.6,685.5,684.55,684.63,698.7,397.8,"80,04,434","5,48,00,99,005.05","1,24,256"
21-May-2024,EQ,666.3,695.4,663.2,660.35,692.0,693.6,682.26,695.4,397.8,"1,59,76,672","10,90,02,83,844.00","2,74,776"
18-May-2024,EQ,662.0,662.9,657.5,655.45,659.8,660.35,660.57,666.0,397.8,"4,67,849","30,90,45,601.45","8,839"
17-May-2024,EQ,653.0,658.8,650.4,653.35,655.65,655.45,654.76,666.0,397.8,"50,26,205","3,29,09,82,680.05","83,215"
16-May-2024,EQ,660.0,666.0,643.25,653.7,652.3,653.35,653.12,666.0,397.8,"87,81,056","5,73,51,03,486.10","3,04,102"
15-May-2024,EQ,653.0,659.0,648.7,646.65,653.1,653.7,654.26,661.6,397.8,"67,64,257","4,42,55,49,334.35","1,36,876"
14-May-2024,EQ,644.35,649.5,638.2,633.5,646.15,646.65,645.55,661.6,397.8,"83,39,846","5,38,37,92,688.10","1,52,328"
13-May-2024,EQ,625.1,636.15,614.3,625.6,634.45,633.5,627.25,661.6,397.8,"35,82,386","2,24,70,42,553.65","94,828"
10-May-2024,EQ,620.1,629.55,618.0,619.4,625.0,625.6,625.0,661.6,397.8,"43,64,788","2,72,80,04,025.95","87,384"
09-May-2024,EQ,634.0,637.75,615.0,633.5,619.3,619.4,625.15,661.6,397.8,"65,88,118","4,11,85,85,376.70","1,51,281"
