Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jun-2024,EQ,"2,435.00","2,467.85","2,427.05","2,441.30","2,443.00","2,442.20","2,444.74","2,769.65","2,172.05","19,45,519","4,75,62,92,978.45","80,997"
21-Jun-2024,EQ,"2,475.00","2,478.00","2,426.55","2,482.20","2,443.50","2,441.30","2,442.98","2,769.65","2,172.05","36,46,215","8,90,76,36,978.05","2,11,442"
20-Jun-2024,EQ,"2,457.00","2,490.00","2,446.65","2,457.00","2,481.00","2,482.20","2,476.95","2,769.65","2,172.05","21,63,310","5,35,84,16,732.80","1,39,626"
19-Jun-2024,EQ,"2,495.00","2,495.00","2,451.50","2,486.25","2,456.00","2,457.00","2,472.44","2,769.65","2,172.05","9,86,976","2,44,02,43,317.00","59,153"
18-Jun-2024,EQ,"2,479.90","2,498.00","2,473.15","2,479.75","2,486.00","2,486.25","2,486.26","2,769.65","2,172.05","18,20,933","4,52,73,14,009.05","68,569"
14-Jun-2024,EQ,"2,473.00","2,510.40","2,470.40","2,487.40","2,480.00","2,479.75","2,485.01","2,769.65","2,172.05","17,29,552","4,29,79,53,288.30","1,30,423"
13-Jun-2024,EQ,"2,487.95","2,505.80","2,446.45","2,528.70","2,489.00","2,487.40","2,491.54","2,769.65","2,172.05","31,23,098","7,78,13,34,693.65","1,99,804"
12-Jun-2024,EQ,"2,568.00","2,568.00","2,517.00","2,556.35","2,531.50","2,528.70","2,532.13","2,769.65","2,172.05","17,54,677","4,44,30,77,948.65","1,03,076"
11-Jun-2024,EQ,"2,566.00","2,576.70","2,551.30","2,565.35","2,554.85","2,556.35","2,564.33","2,769.65","2,172.05","14,02,423","3,59,62,80,636.55","1,04,194"
10-Jun-2024,EQ,"2,579.00","2,593.65","2,546.00","2,577.80","2,565.00","2,565.35","2,566.68","2,769.65","2,172.05","14,49,122","3,71,94,30,495.50","92,543"
07-Jun-2024,EQ,"2,555.30","2,596.50","2,525.00","2,549.60","2,573.95","2,577.80","2,565.21","2,769.65","2,172.05","39,74,253","10,19,48,09,506.25","2,01,226"
06-Jun-2024,EQ,"2,600.00","2,600.00","2,518.00","2,602.75","2,555.00","2,549.60","2,543.59","2,769.65","2,172.05","41,02,547","10,43,51,93,842.90","2,89,383"
05-Jun-2024,EQ,"2,533.55","2,723.95","2,525.00","2,496.30","2,603.40","2,602.75","2,655.11","2,769.65","2,172.05","1,10,61,076","29,36,83,67,927.35","5,64,948"
04-Jun-2024,EQ,"2,374.00","2,510.05","2,342.10","2,355.90","2,492.15","2,496.30","2,453.41","2,769.65","2,172.05","78,26,048","19,20,05,23,792.40","4,22,761"
03-Jun-2024,EQ,"2,381.00","2,387.45","2,344.30","2,329.05","2,355.55","2,355.90","2,361.95","2,769.65","2,172.05","12,07,445","2,85,19,26,571.65","91,253"
31-May-2024,EQ,"2,353.00","2,377.45","2,317.60","2,351.40","2,333.85","2,329.05","2,335.32","2,769.65","2,172.05","55,29,186","12,91,23,93,450.35","1,99,320"
30-May-2024,EQ,"2,368.00","2,372.45","2,334.05","2,373.40","2,355.30","2,351.40","2,352.89","2,769.65","2,172.05","18,37,380","4,32,31,47,051.80","1,10,695"
29-May-2024,EQ,"2,381.20","2,395.00","2,369.40","2,395.95","2,371.00","2,373.40","2,376.74","2,769.65","2,172.05","15,92,495","3,78,49,39,347.65","82,697"
28-May-2024,EQ,"2,390.00","2,409.00","2,378.55","2,384.50","2,395.00","2,395.95","2,398.06","2,769.65","2,172.05","16,31,747","3,91,30,23,949.40","1,01,061"
27-May-2024,EQ,"2,369.05","2,399.95","2,362.50","2,369.05","2,380.70","2,384.50","2,386.67","2,769.65","2,172.05","11,16,934","2,66,57,50,467.00","89,375"
24-May-2024,EQ,"2,378.50","2,383.25","2,364.70","2,382.50","2,366.75","2,369.05","2,372.74","2,769.65","2,172.05","9,74,100","2,31,12,83,178.40","1,16,452"
