Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,498.00","1,521.00","1,481.55","1,495.55","1,492.90","1,497.90","1,500.83","1,694.50","1,297.35","56,05,220","8,41,24,61,824.70","1,91,596"
25-Jun-2024,EQ,"1,494.75","1,502.15","1,482.20","1,490.40","1,495.00","1,495.55","1,491.38","1,694.50","1,297.35","33,09,896","4,93,63,28,981.45","1,31,650"
24-Jun-2024,EQ,"1,507.15","1,508.90","1,478.20","1,527.15","1,490.25","1,490.40","1,489.27","1,694.50","1,297.35","46,09,137","6,86,42,60,281.95","1,80,491"
21-Jun-2024,EQ,"1,523.00","1,537.80","1,511.25","1,527.85","1,524.90","1,527.15","1,528.00","1,694.50","1,262.00","52,49,389","8,02,10,76,757.00","1,42,019"
20-Jun-2024,EQ,"1,536.00","1,540.75","1,513.00","1,528.20","1,526.50","1,527.85","1,529.27","1,694.50","1,262.00","35,89,441","5,48,92,31,955.90","1,41,027"
19-Jun-2024,EQ,"1,516.20","1,550.00","1,513.25","1,507.90","1,536.00","1,528.20","1,535.08","1,694.50","1,262.00","1,10,02,582","16,88,98,19,347.50","2,59,334"
18-Jun-2024,EQ,"1,514.00","1,516.55","1,499.10","1,502.35","1,508.50","1,507.90","1,509.02","1,694.50","1,262.00","28,11,967","4,24,33,13,488.70","1,13,861"
14-Jun-2024,EQ,"1,510.50","1,515.90","1,495.95","1,507.25","1,498.50","1,502.35","1,505.91","1,694.50","1,262.00","27,06,742","4,07,60,96,945.75","1,03,202"
13-Jun-2024,EQ,"1,496.00","1,510.00","1,481.20","1,484.25","1,505.50","1,507.25","1,497.35","1,694.50","1,262.00","24,46,832","3,66,37,61,939.95","79,314"
12-Jun-2024,EQ,"1,491.00","1,492.25","1,473.00","1,481.05","1,482.60","1,484.25","1,481.71","1,694.50","1,262.00","54,19,536","8,03,01,69,239.75","1,34,089"
11-Jun-2024,EQ,"1,485.00","1,491.00","1,475.20","1,485.85","1,481.50","1,481.05","1,484.43","1,694.50","1,262.00","17,37,873","2,57,97,48,285.40","66,843"
10-Jun-2024,EQ,"1,498.50","1,505.80","1,480.10","1,492.10","1,484.85","1,485.85","1,490.77","1,694.50","1,262.00","24,16,022","3,60,17,26,321.35","1,22,447"
07-Jun-2024,EQ,"1,468.55","1,498.40","1,463.45","1,481.10","1,491.60","1,492.10","1,486.61","1,694.50","1,262.00","39,64,791","5,89,41,12,042.75","1,53,629"
06-Jun-2024,EQ,"1,500.00","1,509.80","1,470.90","1,500.95","1,480.70","1,481.10","1,488.55","1,694.50","1,262.00","32,79,775","4,88,21,18,384.15","1,70,095"
05-Jun-2024,EQ,"1,400.50","1,515.80","1,372.35","1,391.50","1,489.75","1,500.95","1,452.99","1,694.50","1,262.00","1,10,14,467","16,00,39,50,224.00","3,20,576"
04-Jun-2024,EQ,"1,509.95","1,521.90","1,363.55","1,529.70","1,407.85","1,391.50","1,423.72","1,694.50","1,262.00","79,11,282","11,26,34,22,209.80","2,33,414"
03-Jun-2024,EQ,"1,514.95","1,534.90","1,496.40","1,461.85","1,528.95","1,529.70","1,522.85","1,694.50","1,262.00","82,65,525","12,58,71,25,540.10","2,48,042"
31-May-2024,EQ,"1,456.00","1,469.90","1,446.55","1,446.80","1,463.05","1,461.85","1,458.78","1,694.50","1,251.50","35,46,505","5,17,35,87,447.55","1,36,506"
30-May-2024,EQ,"1,458.00","1,477.70","1,439.15","1,460.25","1,452.00","1,446.80","1,456.82","1,694.50","1,251.50","34,15,942","4,97,64,17,527.75","1,42,644"
29-May-2024,EQ,"1,453.00","1,471.65","1,439.25","1,459.35","1,463.45","1,460.25","1,453.01","1,694.50","1,251.50","43,83,563","6,36,93,45,523.30","1,52,673"
28-May-2024,EQ,"1,472.80","1,478.80","1,449.10","1,465.10","1,450.00","1,459.35","1,464.81","1,694.50","1,251.50","23,81,333","3,48,82,10,760.65","71,546"
27-May-2024,EQ,"1,447.85","1,475.60","1,439.30","1,441.80","1,461.90","1,465.10","1,464.58","1,694.50","1,251.50","32,53,683","4,76,52,74,677.50","1,11,849"
24-May-2024,EQ,"1,441.00","1,448.75","1,427.85","1,440.85","1,443.55","1,441.80","1,439.98","1,694.50","1,232.50","21,55,290","3,10,35,72,613.75","72,172"
23-May-2024,EQ,"1,408.55","1,451.00","1,406.60","1,404.95","1,441.60","1,440.85","1,431.13","1,694.50","1,232.50","64,44,146","9,22,23,97,146.70","1,73,578"
22-May-2024,EQ,"1,409.00","1,413.15","1,391.85","1,406.50","1,412.00","1,404.95","1,401.14","1,694.50","1,232.50","67,39,695","9,44,32,62,610.70","1,40,236"
21-May-2024,EQ,"1,420.00","1,420.85","1,400.00","1,417.30","1,402.80","1,406.50","1,411.99","1,694.50","1,232.50","30,10,012","4,25,00,98,360.70","1,08,103"
18-May-2024,EQ,"1,414.20","1,424.00","1,413.75","1,412.35","1,416.50","1,417.30","1,418.97","1,694.50","1,196.00","1,05,107","14,91,43,267.50","4,361"
17-May-2024,EQ,"1,408.00","1,417.10","1,395.00","1,408.75","1,415.00","1,412.35","1,406.52","1,694.50","1,196.00","36,73,405","5,16,67,11,884.70","1,49,515"
16-May-2024,EQ,"1,420.20","1,425.00","1,385.65","1,417.10","1,410.00","1,408.75","1,401.46","1,694.50","1,196.00","56,66,243","7,94,10,04,511.90","2,20,375"
15-May-2024,EQ,"1,421.00","1,429.85","1,407.40","1,421.00","1,418.00","1,417.10","1,415.43","1,694.50","1,196.00","25,16,309","3,56,16,62,965.85","94,394"
14-May-2024,EQ,"1,407.00","1,429.35","1,402.80","1,404.55","1,420.95","1,421.00","1,417.33","1,694.50","1,196.00","12,79,355","1,81,32,70,386.20","69,778"
13-May-2024,EQ,"1,415.35","1,417.75","1,377.25","1,410.15","1,406.40","1,404.55","1,394.34","1,694.50","1,196.00","36,24,862","5,05,42,86,172.55","1,42,340"
10-May-2024,EQ,"1,402.00","1,424.50","1,395.55","1,401.45","1,409.05","1,410.15","1,410.61","1,694.50","1,087.00","15,75,172","2,22,19,51,216.90","89,157"
09-May-2024,EQ,"1,445.50","1,456.60","1,393.45","1,442.50","1,403.65","1,401.45","1,414.58","1,694.50","1,087.00","32,72,042","4,62,85,75,860.85","1,40,103"
08-May-2024,EQ,"1,455.00","1,455.00","1,431.40","1,452.55","1,446.30","1,442.50","1,441.23","1,694.50","1,087.00","52,78,612","7,60,77,06,254.95","1,46,826"
07-May-2024,EQ,"1,497.50","1,502.65","1,448.00","1,497.50","1,454.00","1,452.55","1,463.90","1,694.50","1,087.00","18,84,596","2,75,88,68,199.45","87,518"
06-May-2024,EQ,"1,495.70","1,510.00","1,482.05","1,483.70","1,497.00","1,497.50","1,498.37","1,694.50","1,087.00","26,00,170","3,89,60,21,981.45","1,18,188"
03-May-2024,EQ,"1,517.20","1,517.95","1,473.05","1,505.20","1,484.50","1,483.70","1,491.29","1,694.50","1,065.35","21,19,368","3,16,05,82,941.45","1,17,794"
02-May-2024,EQ,"1,508.00","1,521.30","1,500.05","1,515.70","1,505.00","1,505.20","1,506.59","1,694.50","1,065.35","25,54,549","3,84,86,53,173.00","1,88,553"
30-Apr-2024,EQ,"1,497.80","1,537.00","1,489.00","1,487.25","1,509.00","1,515.70","1,512.01","1,694.50","1,065.35","62,93,171","9,51,53,38,645.80","1,78,628"
29-Apr-2024,EQ,"1,458.75","1,491.00","1,450.10","1,446.40","1,489.50","1,487.25","1,480.36","1,694.50","1,065.35","54,63,640","8,08,81,48,851.70","1,58,161"
26-Apr-2024,EQ,"1,511.50","1,519.00","1,443.30","1,496.10","1,450.00","1,446.40","1,468.12","1,694.50","1,065.35","61,35,488","9,00,76,61,091.65","2,22,214"
25-Apr-2024,EQ,"1,476.05","1,499.50","1,470.55","1,474.65","1,496.85","1,496.10","1,487.95","1,694.50","1,065.35","36,97,957","5,50,23,56,961.90","1,74,591"
24-Apr-2024,EQ,"1,477.00","1,483.25","1,462.75","1,474.50","1,475.00","1,474.65","1,474.37","1,694.50","1,065.35","29,64,953","4,37,14,40,141.85","1,29,945"
23-Apr-2024,EQ,"1,482.80","1,485.80","1,471.10","1,477.50","1,473.90","1,474.50","1,477.54","1,694.50","1,065.35","12,06,443","1,78,25,71,024.65","62,611"
22-Apr-2024,EQ,"1,494.00","1,501.00","1,469.95","1,482.05","1,480.95","1,477.50","1,482.26","1,694.50","1,065.35","28,87,202","4,27,95,71,459.55","1,16,554"
19-Apr-2024,EQ,"1,466.00","1,490.25","1,444.40","1,474.40","1,483.00","1,482.05","1,470.85","1,694.50","1,065.35","43,11,650","6,34,18,08,925.15","1,91,685"
18-Apr-2024,EQ,"1,502.80","1,508.35","1,468.15","1,490.95","1,478.75","1,474.40","1,487.10","1,694.50","1,065.35","38,56,849","5,73,55,29,565.55","2,06,217"
16-Apr-2024,EQ,"1,530.00","1,534.80","1,487.95","1,539.90","1,494.20","1,490.95","1,499.82","1,694.50","1,065.35","39,81,325","5,97,12,67,317.10","1,61,570"
15-Apr-2024,EQ,"1,544.95","1,557.90","1,530.00","1,555.65","1,538.10","1,539.90","1,541.69","1,694.50","1,065.35","15,28,341","2,35,62,21,810.00","77,994"
12-Apr-2024,EQ,"1,546.00","1,562.70","1,542.00","1,552.85","1,551.50","1,555.65","1,555.41","1,694.50","1,007.95","17,49,128","2,72,06,06,434.85","1,36,219"
10-Apr-2024,EQ,"1,564.85","1,564.85","1,548.00","1,554.95","1,549.95","1,552.85","1,556.41","1,694.50","1,007.95","25,28,578","3,93,54,91,612.35","1,11,381"
09-Apr-2024,EQ,"1,574.90","1,574.90","1,541.00","1,568.35","1,551.70","1,554.95","1,562.93","1,694.50","1,007.95","11,76,425","1,83,86,72,664.55","51,844"
08-Apr-2024,EQ,"1,560.00","1,576.35","1,550.00","1,552.40","1,567.85","1,568.35","1,565.89","1,694.50","1,007.95","23,72,626","3,71,52,65,328.05","78,001"
05-Apr-2024,EQ,"1,552.00","1,556.35","1,528.10","1,544.45","1,552.35","1,552.40","1,540.03","1,694.50","1,007.95","32,86,862","5,06,18,75,844.65","1,57,091"
04-Apr-2024,EQ,"1,548.05","1,550.45","1,511.20","1,542.65","1,545.00","1,544.45","1,530.30","1,694.50","1,007.95","60,77,155","9,29,98,62,272.25","2,18,417"
03-Apr-2024,EQ,"1,554.00","1,556.90","1,538.05","1,559.40","1,541.20","1,542.65","1,544.87","1,694.50","1,007.95","37,11,781","5,73,42,19,259.30","1,24,646"
02-Apr-2024,EQ,"1,542.95","1,570.95","1,537.00","1,542.40","1,558.90","1,559.40","1,561.12","1,694.50","1,007.95","23,35,256","3,64,56,19,665.50","1,32,448"
01-Apr-2024,EQ,"1,553.00","1,572.75","1,539.00","1,553.00","1,542.95","1,542.40","1,554.06","1,694.50","1,007.95","21,59,432","3,35,58,97,294.10","99,538"
28-Mar-2024,EQ,"1,534.75","1,564.50","1,533.60","1,533.55","1,549.75","1,553.00","1,551.14","1,694.50","1,004.00","39,64,429","6,14,93,71,437.50","1,07,568"
27-Mar-2024,EQ,"1,519.00","1,542.95","1,514.45","1,518.70","1,534.00","1,533.55","1,529.26","1,694.50","1,004.00","84,08,702","12,85,90,83,213.10","2,15,950"
26-Mar-2024,EQ,"1,512.10","1,523.60","1,502.20","1,512.10","1,520.00","1,518.70","1,516.94","1,694.50","1,004.00","90,46,136","13,72,24,13,637.50","1,68,442"
22-Mar-2024,EQ,"1,477.75","1,520.35","1,473.00","1,484.10","1,517.00","1,512.10","1,500.48","1,694.50",990.20,"53,09,042","7,96,60,98,002.15","2,18,777"
21-Mar-2024,EQ,"1,460.00","1,486.90","1,459.00","1,441.55","1,484.00","1,484.10","1,479.84","1,694.50",990.20,"38,70,591","5,72,78,69,939.70","1,89,233"
20-Mar-2024,EQ,"1,440.00","1,464.00","1,422.70","1,434.10","1,443.85","1,441.55","1,445.85","1,694.50",990.20,"54,80,729","7,92,43,25,753.20","2,18,409"
19-Mar-2024,EQ,"1,476.05","1,482.95","1,430.85","1,480.70","1,432.80","1,434.10","1,447.16","1,694.50",990.20,"31,80,412","4,60,25,50,229.50","1,00,129"
18-Mar-2024,EQ,"1,487.25","1,491.60","1,466.30","1,484.35","1,481.90","1,480.70","1,479.64","1,694.50",990.20,"23,65,287","3,49,97,70,187.60","1,30,867"
15-Mar-2024,EQ,"1,474.00","1,489.50","1,456.70","1,476.75","1,480.55","1,484.35","1,477.26","1,694.50",990.20,"29,85,042","4,40,96,78,663.15","1,17,252"
14-Mar-2024,EQ,"1,471.55","1,506.90","1,469.20","1,502.65","1,481.50","1,476.75","1,486.62","1,694.50",990.20,"36,52,530","5,42,99,20,950.35","1,63,526"
13-Mar-2024,EQ,"1,535.00","1,540.60","1,495.00","1,533.05","1,495.00","1,502.65","1,508.97","1,694.50",990.20,"41,65,036","6,28,49,01,446.45","1,76,342"
12-Mar-2024,EQ,"1,541.05","1,555.95","1,528.50","1,541.05","1,534.50","1,533.05","1,541.22","1,694.50",990.20,"19,18,571","2,95,69,33,630.85","1,06,099"
11-Mar-2024,EQ,"1,566.10","1,568.75","1,536.60","1,563.75","1,538.00","1,541.05","1,546.83","1,694.50",990.20,"16,94,488","2,62,10,85,353.35","1,14,140"
07-Mar-2024,EQ,"1,556.45","1,571.50","1,546.05","1,554.55","1,561.55","1,563.75","1,561.41","1,694.50",990.20,"22,85,176","3,56,81,03,539.00","83,212"
06-Mar-2024,EQ,"1,542.45","1,564.75","1,536.55","1,542.45","1,551.00","1,554.55","1,554.31","1,694.50",990.20,"51,67,456","8,03,18,53,595.75","1,82,966"
05-Mar-2024,EQ,"1,529.65","1,547.00","1,524.00","1,531.30","1,541.90","1,542.45","1,536.06","1,694.50",990.20,"26,94,157","4,13,83,92,628.80","1,54,122"
04-Mar-2024,EQ,"1,529.95","1,538.95","1,520.35","1,526.00","1,531.55","1,531.30","1,530.18","1,694.50",990.20,"29,85,524","4,56,83,89,297.15","1,59,310"
02-Mar-2024,EQ,"1,535.00","1,538.00","1,524.00","1,526.65","1,527.50","1,526.00","1,528.94","1,694.50",990.20,"1,79,042","27,37,44,642.50","6,220"
01-Mar-2024,EQ,"1,480.00","1,528.75","1,477.85","1,474.90","1,524.00","1,526.65","1,508.36","1,694.50",990.20,"35,49,401","5,35,37,63,822.55","1,59,490"
29-Feb-2024,EQ,"1,451.00","1,484.00","1,440.00","1,449.20","1,479.90","1,474.90","1,462.21","1,694.50",990.20,"42,16,252","6,16,50,51,203.90","1,89,555"
28-Feb-2024,EQ,"1,495.00","1,503.45","1,442.50","1,493.05","1,446.05","1,449.20","1,471.31","1,694.50",990.20,"26,61,887","3,91,64,67,654.60","98,324"
27-Feb-2024,EQ,"1,466.50","1,497.35","1,458.50","1,466.50","1,492.00","1,493.05","1,475.37","1,694.50",990.20,"28,43,312","4,19,49,42,902.10","1,33,884"
26-Feb-2024,EQ,"1,481.00","1,486.00","1,463.90","1,480.30","1,467.00","1,466.50","1,471.51","1,694.50",990.20,"20,77,787","3,05,74,85,639.45","1,05,902"
23-Feb-2024,EQ,"1,498.45","1,504.90","1,475.05","1,489.15","1,478.95","1,480.30","1,489.09","1,694.50",990.20,"25,57,861","3,80,88,94,016.05","1,45,905"
22-Feb-2024,EQ,"1,517.25","1,520.00","1,463.50","1,517.25","1,492.00","1,489.15","1,482.39","1,694.50",990.20,"49,69,478","7,36,67,23,439.30","1,91,813"
21-Feb-2024,EQ,"1,520.00","1,526.80","1,502.50","1,504.20","1,515.00","1,517.25","1,513.93","1,694.50",990.20,"52,59,113","7,96,19,13,431.50","1,66,714"
20-Feb-2024,EQ,"1,489.00","1,508.00","1,475.05","1,483.60","1,507.00","1,504.20","1,491.01","1,694.50",990.20,"23,90,096","3,56,36,51,645.80","94,775"
19-Feb-2024,EQ,"1,499.90","1,502.80","1,477.00","1,493.65","1,485.00","1,483.60","1,490.61","1,694.50",990.20,"12,09,609","1,80,30,52,531.35","85,337"
16-Feb-2024,EQ,"1,485.95","1,506.50","1,471.00","1,476.95","1,491.75","1,493.65","1,493.49","1,694.50",990.20,"18,44,045","2,75,40,56,461.90","99,732"
15-Feb-2024,EQ,"1,491.00","1,492.85","1,460.30","1,481.50","1,480.30","1,476.95","1,473.72","1,694.50",990.20,"19,06,763","2,81,00,38,578.45","1,32,558"
14-Feb-2024,EQ,"1,450.05","1,494.50","1,435.95","1,463.90","1,484.50","1,481.50","1,466.80","1,694.50",990.20,"42,08,176","6,17,25,72,423.10","1,71,061"
13-Feb-2024,EQ,"1,452.40","1,476.25","1,430.65","1,447.15","1,460.00","1,463.90","1,455.06","1,694.50",990.20,"46,01,482","6,69,54,38,968.25","2,03,716"
12-Feb-2024,EQ,"1,488.20","1,497.00","1,442.15","1,486.25","1,452.40","1,447.15","1,456.64","1,694.50",990.20,"28,21,957","4,11,05,61,701.75","1,18,593"
09-Feb-2024,EQ,"1,480.25","1,491.40","1,462.65","1,477.30","1,487.00","1,486.25","1,476.72","1,694.50",990.20,"23,88,841","3,52,76,43,146.70","1,25,205"
08-Feb-2024,EQ,"1,522.70","1,540.95","1,470.00","1,515.35","1,483.50","1,477.30","1,502.67","1,694.50",990.20,"29,31,291","4,40,47,75,557.95","1,64,635"
07-Feb-2024,EQ,"1,522.40","1,522.40","1,492.20","1,511.40","1,520.00","1,515.35","1,509.82","1,694.50",990.20,"40,66,189","6,13,91,98,751.40","1,82,277"
06-Feb-2024,EQ,"1,550.00","1,550.45","1,504.15","1,537.80","1,513.20","1,511.40","1,516.75","1,694.50",990.20,"33,12,270","5,02,38,82,493.15","1,55,950"
05-Feb-2024,EQ,"1,532.75","1,550.00","1,521.80","1,533.75","1,530.70","1,537.80","1,540.50","1,694.50",990.20,"26,24,023","4,04,23,12,809.25","1,36,960"
02-Feb-2024,EQ,"1,551.00","1,564.85","1,529.55","1,541.15","1,532.75","1,533.75","1,552.64","1,694.50",990.00,"35,54,450","5,51,87,66,031.45","1,69,557"
01-Feb-2024,EQ,"1,537.75","1,547.55","1,523.55","1,534.05","1,536.95","1,541.15","1,538.79","1,694.50",990.00,"22,40,634","3,44,78,58,960.85","1,21,392"
31-Jan-2024,EQ,"1,519.20","1,548.00","1,507.15","1,519.90","1,537.75","1,534.05","1,535.75","1,694.50",990.00,"38,67,886","5,94,01,00,870.85","1,74,592"
30-Jan-2024,EQ,"1,530.00","1,544.45","1,510.05","1,526.80","1,515.75","1,519.90","1,529.98","1,694.50",990.00,"17,21,705","2,63,41,81,684.30","88,033"
29-Jan-2024,EQ,"1,523.00","1,537.75","1,515.35","1,512.00","1,529.90","1,526.80","1,528.29","1,694.50",990.00,"30,58,020","4,67,35,28,374.30","1,29,958"
25-Jan-2024,EQ,"1,490.00","1,543.95","1,488.60","1,490.85","1,508.35","1,512.00","1,506.93","1,694.50",990.00,"81,18,578","12,23,41,07,819.85","2,83,308"
24-Jan-2024,EQ,"1,459.95","1,495.80","1,442.00","1,441.70","1,495.45","1,490.85","1,473.18","1,694.50",990.00,"91,55,544","13,48,77,56,487.30","2,86,439"
23-Jan-2024,EQ,"1,535.00","1,547.90","1,428.05","1,535.35","1,440.45","1,441.70","1,477.55","1,694.50",990.00,"1,00,97,057","14,91,89,18,024.50","3,35,045"
20-Jan-2024,EQ,"1,570.00","1,571.90","1,530.00","1,561.10","1,536.00","1,535.35","1,544.48","1,694.50",990.00,"31,58,588","4,87,83,81,888.45","98,438"
19-Jan-2024,EQ,"1,622.70","1,631.75","1,550.20","1,612.90","1,560.50","1,561.10","1,572.30","1,694.50",990.00,"1,09,82,524","17,26,78,42,665.35","3,68,442"
18-Jan-2024,EQ,"1,634.95","1,639.60","1,595.10","1,643.90","1,615.75","1,612.90","1,617.35","1,694.50",990.00,"35,57,256","5,75,33,27,689.80","2,37,030"
17-Jan-2024,EQ,"1,650.00","1,677.05","1,631.85","1,667.05","1,640.00","1,643.90","1,649.58","1,694.50",990.00,"66,83,398","11,02,48,13,490.95","2,31,139"
16-Jan-2024,EQ,"1,688.85","1,691.75","1,663.05","1,688.85","1,667.00","1,667.05","1,675.14","1,694.50",990.00,"13,16,138","2,20,47,12,927.05","95,595"
15-Jan-2024,EQ,"1,684.80","1,694.50","1,668.05","1,674.00","1,688.95","1,688.85","1,685.75","1,694.50",990.00,"29,30,339","4,93,98,06,154.25","1,70,648"
12-Jan-2024,EQ,"1,657.85","1,677.85","1,647.40","1,657.85","1,671.45","1,674.00","1,669.64","1,677.85",990.00,"21,61,848","3,60,95,04,748.85","1,15,895"
11-Jan-2024,EQ,"1,643.95","1,668.20","1,642.55","1,640.15","1,660.90","1,657.85","1,658.68","1,668.20",990.00,"19,14,421","3,17,54,05,708.70","1,18,559"
10-Jan-2024,EQ,"1,620.00","1,642.75","1,620.00","1,625.10","1,639.70","1,640.15","1,637.01","1,655.00",990.00,"16,29,958","2,66,82,62,758.65","78,796"
09-Jan-2024,EQ,"1,631.95","1,643.90","1,621.00","1,627.10","1,625.00","1,625.10","1,636.42","1,655.00",990.00,"16,19,091","2,64,95,12,053.60","69,123"
08-Jan-2024,EQ,"1,633.00","1,650.05","1,622.00","1,643.20","1,622.15","1,627.10","1,634.34","1,655.00",990.00,"17,91,003","2,92,71,04,052.90","99,824"
05-Jan-2024,EQ,"1,654.00","1,654.00","1,629.00","1,648.55","1,640.00","1,643.20","1,640.81","1,655.00",990.00,"22,94,140","3,76,42,39,885.70","1,16,652"
04-Jan-2024,EQ,"1,593.00","1,655.00","1,593.00","1,601.15","1,645.90","1,648.55","1,638.72","1,655.00",990.00,"42,71,262","6,99,94,12,152.00","1,59,506"
03-Jan-2024,EQ,"1,575.50","1,604.95","1,558.00","1,575.60","1,598.00","1,601.15","1,585.34","1,618.90",990.00,"26,20,296","4,15,40,50,732.00","1,03,676"
02-Jan-2024,EQ,"1,594.10","1,598.25","1,570.00","1,598.85","1,571.00","1,575.60","1,583.72","1,618.90",990.00,"12,27,193","1,94,35,35,629.45","89,821"
01-Jan-2024,EQ,"1,598.95","1,611.40","1,591.80","1,598.95","1,595.00","1,598.85","1,602.09","1,618.90",990.00,"13,41,121","2,14,85,94,776.30","84,504"
29-Dec-2023,EQ,"1,615.00","1,618.90","1,587.05","1,610.55","1,595.90","1,598.95","1,596.65","1,618.90",990.00,"17,79,207","2,84,07,73,228.80","91,537"
28-Dec-2023,EQ,"1,600.00","1,618.70","1,592.00","1,597.45","1,609.65","1,610.55","1,606.33","1,618.70",990.00,"31,43,161","5,04,89,49,173.15","1,74,998"
27-Dec-2023,EQ,"1,573.15","1,600.00","1,567.30","1,570.80","1,595.00","1,597.45","1,591.54","1,600.00",990.00,"18,87,827","3,00,45,44,101.60","1,02,357"
