Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,423.0,426.4,422.05,423.3,423.5,423.95,424.28,499.7,399.35,"1,10,84,805","4,70,30,58,612.05","1,09,504"
25-Jun-2024,EQ,423.0,424.0,419.75,423.3,423.25,423.3,422.19,499.7,399.35,"1,02,60,449","4,33,18,94,414.05","1,38,835"
24-Jun-2024,EQ,420.0,423.95,420.0,419.6,423.65,423.3,422.63,499.7,399.35,"93,62,433","3,95,68,53,315.35","1,17,502"
21-Jun-2024,EQ,425.0,425.3,418.55,423.3,419.7,419.6,420.65,499.7,399.35,"2,52,05,627","10,60,28,24,293.85","2,95,452"
20-Jun-2024,EQ,424.05,426.5,421.5,423.65,423.85,423.3,423.74,499.7,399.35,"1,45,85,806","6,18,06,05,569.50","2,03,212"
19-Jun-2024,EQ,430.0,430.75,423.05,428.75,423.4,423.65,425.66,499.7,399.35,"1,09,09,803","4,64,38,29,424.60","1,77,112"
18-Jun-2024,EQ,433.0,434.2,428.2,431.15,429.0,428.75,430.67,499.7,399.35,"1,40,98,178","6,07,17,15,080.55","2,06,941"
14-Jun-2024,EQ,431.0,431.9,429.05,430.3,431.4,431.15,430.49,499.7,399.35,"92,17,804","3,96,81,32,276.85","1,70,717"
13-Jun-2024,EQ,436.9,436.9,429.75,432.3,430.35,430.3,431.79,499.7,399.35,"92,83,802","4,00,86,27,163.35","1,46,737"
12-Jun-2024,EQ,430.55,434.4,430.2,433.0,432.6,432.3,432.33,499.7,399.35,"1,03,52,936","4,47,58,96,381.25","1,63,844"
11-Jun-2024,EQ,437.0,437.8,432.25,436.9,432.75,433.0,434.79,499.7,399.35,"1,26,70,589","5,50,90,08,149.30","1,87,213"
10-Jun-2024,EQ,440.0,441.0,435.85,439.15,436.55,436.9,437.72,499.7,399.35,"1,14,32,393","5,00,41,99,602.85","2,60,404"
07-Jun-2024,EQ,431.4,441.65,431.1,435.4,438.5,439.15,437.54,499.7,399.35,"2,84,48,041","12,44,70,97,826.40","3,48,935"
06-Jun-2024,EQ,436.0,437.7,431.1,430.3,436.4,435.4,434.33,499.7,399.35,"3,11,19,999","13,51,64,00,453.80","2,90,637"
05-Jun-2024,EQ,422.0,436.0,418.05,415.2,430.7,430.3,429.14,499.7,399.35,"2,71,51,351","11,65,16,63,641.95","3,09,406"
04-Jun-2024,EQ,426.0,426.3,402.85,430.35,419.85,415.2,415.2,499.7,399.35,"4,60,19,632","19,10,74,85,527.25","5,80,366"
03-Jun-2024,EQ,434.0,434.9,428.65,426.45,431.4,430.35,430.65,499.7,399.35,"1,55,19,148","6,68,33,96,998.40","2,10,108"
31-May-2024,EQ,426.75,429.55,424.25,423.85,427.0,426.45,426.87,499.7,399.35,"2,82,14,102","12,04,38,35,725.35","2,45,961"
30-May-2024,EQ,428.5,430.95,422.35,430.95,424.85,423.85,424.72,499.7,399.35,"2,05,24,428","8,71,72,37,385.80","2,49,826"
29-May-2024,EQ,425.5,432.4,425.5,429.0,431.0,430.95,429.94,499.7,399.35,"1,04,30,363","4,48,43,93,165.00","1,42,521"
28-May-2024,EQ,432.1,432.5,428.25,431.5,428.8,429.0,429.82,499.7,399.35,"93,10,198","4,00,17,09,938.25","1,23,935"
27-May-2024,EQ,438.8,438.9,430.7,436.2,432.25,431.5,435.39,499.7,399.35,"1,18,27,050","5,14,93,44,563.20","2,01,549"
24-May-2024,EQ,441.0,442.45,435.3,441.35,436.55,436.2,437.48,499.7,399.35,"1,27,61,457","5,58,29,17,652.90","2,08,684"
23-May-2024,EQ,441.4,444.9,436.55,439.9,440.2,441.35,440.71,499.7,399.35,"2,62,34,369","11,56,17,61,258.55","2,21,301"
22-May-2024,EQ,437.35,441.95,435.4,434.8,440.0,439.9,439.62,499.7,399.35,"1,06,27,595","4,67,21,23,744.90","1,54,238"
21-May-2024,EQ,436.0,437.1,433.2,436.65,434.9,434.8,434.73,499.7,399.35,"1,07,60,726","4,67,79,83,191.90","2,15,268"
18-May-2024,EQ,437.0,437.65,435.2,436.3,436.7,436.65,436.64,499.7,399.35,"7,13,859","31,17,00,280.95","12,556"
