Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,930.9,932.45,918.1,929.9,920.35,919.2,921.8,944.0,723.0,"13,41,496","1,23,65,91,322.20","61,784"
25-Jun-2024,EQ,936.9,940.0,927.95,935.35,929.8,929.9,931.31,944.0,723.0,"17,33,931","1,61,48,22,433.20","45,240"
24-Jun-2024,EQ,936.0,941.65,922.0,936.9,933.6,935.35,933.67,944.0,723.0,"18,57,847","1,73,46,07,174.00","65,699"
21-Jun-2024,EQ,929.0,944.0,923.15,929.65,932.7,936.9,934.95,944.0,723.0,"42,99,319","4,01,96,47,480.00","1,46,513"
20-Jun-2024,EQ,914.95,938.0,911.3,914.95,932.0,929.65,928.41,938.0,723.0,"31,20,339","2,89,69,51,354.70","1,54,084"
19-Jun-2024,EQ,929.0,936.9,913.3,925.35,915.3,914.95,925.85,936.9,723.0,"17,93,533","1,66,05,43,865.60","55,328"
18-Jun-2024,EQ,921.15,927.45,914.3,921.15,925.65,925.35,923.1,928.95,723.0,"23,95,045","2,21,08,70,787.60","49,986"
14-Jun-2024,EQ,914.0,923.5,903.6,915.75,919.0,921.15,916.85,928.95,723.0,"26,25,892","2,40,75,41,316.25","99,082"
13-Jun-2024,EQ,917.55,925.05,908.05,916.9,913.2,915.75,915.24,928.95,723.0,"17,88,757","1,63,71,35,183.60","1,09,635"
12-Jun-2024,EQ,910.05,924.3,908.05,910.1,916.0,916.9,918.31,928.95,723.0,"17,82,777","1,63,71,34,597.65","72,715"
11-Jun-2024,EQ,915.95,918.8,905.05,915.9,910.05,910.1,911.99,928.95,723.0,"20,03,998","1,82,76,25,638.60","64,202"
10-Jun-2024,EQ,907.0,920.0,900.75,912.15,913.45,915.9,912.37,928.95,723.0,"17,65,715","1,61,09,84,835.30","58,279"
