Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,780.00","1,816.00","1,776.10","1,781.90","1,797.70","1,798.15","1,800.83","1,987.75","1,543.85","66,85,932","12,04,01,98,918.10","1,99,227"
25-Jun-2024,EQ,"1,776.55","1,798.25","1,763.00","1,772.55","1,782.20","1,781.90","1,782.60","1,987.75","1,543.85","59,33,859","10,57,77,25,284.45","1,84,438"
24-Jun-2024,EQ,"1,757.15","1,775.20","1,749.75","1,775.65","1,770.30","1,772.55","1,766.32","1,987.75","1,543.85","42,28,888","7,46,95,63,381.25","2,59,063"
21-Jun-2024,EQ,"1,770.00","1,789.00","1,745.30","1,766.25","1,770.00","1,775.65","1,772.78","1,987.75","1,543.85","1,90,31,689","33,73,90,72,477.35","2,29,568"
20-Jun-2024,EQ,"1,765.00","1,789.85","1,760.30","1,746.70","1,765.00","1,766.25","1,773.63","1,987.75","1,543.85","92,43,104","16,39,38,67,107.10","3,28,896"
19-Jun-2024,EQ,"1,729.00","1,763.05","1,715.00","1,719.40","1,745.00","1,746.70","1,743.01","1,987.75","1,543.85","99,59,798","17,35,99,86,714.90","2,54,785"
18-Jun-2024,EQ,"1,718.60","1,724.65","1,703.25","1,717.20","1,721.40","1,719.40","1,713.98","1,987.75","1,543.85","57,07,330","9,78,22,59,639.05","1,93,650"
14-Jun-2024,EQ,"1,723.00","1,734.90","1,710.40","1,726.35","1,721.00","1,717.20","1,718.58","1,987.75","1,543.85","31,53,666","5,41,98,16,736.50","1,53,027"
13-Jun-2024,EQ,"1,731.40","1,737.55","1,719.00","1,715.75","1,725.00","1,726.35","1,726.76","1,987.75","1,543.85","60,16,145","10,38,84,65,918.90","1,48,221"
12-Jun-2024,EQ,"1,720.10","1,734.00","1,712.90","1,720.00","1,716.50","1,715.75","1,719.03","1,987.75","1,543.85","58,81,576","10,11,06,27,339.65","2,91,752"
11-Jun-2024,EQ,"1,746.60","1,747.20","1,717.10","1,745.65","1,722.90","1,720.00","1,727.48","1,987.75","1,543.85","41,05,647","7,09,24,41,376.95","2,77,914"
10-Jun-2024,EQ,"1,750.10","1,773.45","1,736.15","1,753.70","1,742.70","1,745.65","1,751.58","1,987.75","1,543.85","48,48,044","8,49,17,52,227.90","2,62,572"
07-Jun-2024,EQ,"1,730.05","1,758.65","1,722.00","1,734.70","1,752.30","1,753.70","1,744.68","1,987.75","1,543.85","46,08,146","8,03,97,51,893.85","1,94,178"
06-Jun-2024,EQ,"1,721.00","1,738.50","1,703.80","1,718.10","1,730.10","1,734.70","1,726.24","1,987.75","1,543.85","63,59,901","10,97,87,08,786.10","3,62,167"
05-Jun-2024,EQ,"1,662.55","1,724.75","1,645.00","1,637.95","1,715.00","1,718.10","1,698.85","1,987.75","1,543.85","1,44,26,318","24,50,81,03,095.75","4,73,721"
04-Jun-2024,EQ,"1,703.25","1,715.50","1,602.45","1,718.05","1,644.10","1,637.95","1,652.92","1,987.75","1,543.85","1,52,29,468","25,17,30,93,500.90","4,05,960"
03-Jun-2024,EQ,"1,721.45","1,738.85","1,700.10","1,680.40","1,720.45","1,718.05","1,715.51","1,987.75","1,543.85","98,01,071","16,81,38,32,818.25","2,75,070"
31-May-2024,EQ,"1,703.00","1,703.00","1,660.55","1,690.10","1,693.95","1,680.40","1,677.21","2,064.40","1,543.85","1,28,04,476","21,47,58,16,197.10","2,30,874"
30-May-2024,EQ,"1,684.35","1,707.60","1,683.00","1,687.85","1,690.00","1,690.10","1,696.65","2,064.40","1,543.85","55,80,489","9,46,81,32,457.70","1,80,503"
29-May-2024,EQ,"1,698.00","1,710.90","1,682.20","1,703.65","1,694.90","1,687.85","1,693.66","2,064.40","1,543.85","49,52,472","8,38,77,93,898.45","1,67,761"
28-May-2024,EQ,"1,712.30","1,716.00","1,698.00","1,711.00","1,700.00","1,703.65","1,706.34","2,064.40","1,543.85","37,16,141","6,34,10,03,810.80","1,23,637"
27-May-2024,EQ,"1,703.45","1,722.00","1,702.50","1,703.45","1,710.00","1,711.00","1,715.21","2,064.40","1,543.85","34,54,287","5,92,48,41,407.85","1,18,635"
24-May-2024,EQ,"1,711.00","1,717.85","1,694.70","1,709.05","1,702.00","1,703.45","1,702.56","2,064.40","1,543.85","49,36,177","8,40,41,30,864.35","1,31,622"
23-May-2024,EQ,"1,700.00","1,713.60","1,697.05","1,699.55","1,706.90","1,709.05","1,705.98","2,064.40","1,543.85","56,81,295","9,69,21,94,036.30","2,13,959"
22-May-2024,EQ,"1,702.80","1,704.95","1,681.10","1,698.25","1,700.00","1,699.55","1,694.96","2,064.40","1,543.85","60,58,697","10,26,92,43,891.65","1,80,048"
21-May-2024,EQ,"1,692.00","1,715.00","1,690.00","1,696.95","1,693.85","1,698.25","1,702.11","2,064.40","1,543.85","58,10,167","9,88,95,24,473.50","1,78,219"
