Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"3,601.00","3,624.90","3,592.25","3,587.80","3,604.00","3,602.95","3,605.48","3,919.90","2,367.95","24,80,187","8,94,22,56,279.25","1,37,475"
25-Jun-2024,EQ,"3,556.50","3,591.95","3,528.00","3,531.60","3,588.45","3,587.80","3,563.39","3,919.90","2,367.95","21,58,039","7,68,99,39,971.35","1,39,316"
24-Jun-2024,EQ,"3,520.35","3,567.00","3,505.00","3,535.00","3,541.00","3,531.60","3,540.30","3,919.90","2,367.95","23,30,559","8,25,08,82,779.90","1,27,028"
21-Jun-2024,EQ,"3,604.05","3,610.00","3,516.00","3,594.45","3,524.00","3,535.00","3,546.79","3,919.90","2,354.45","45,08,508","15,99,07,34,726.95","2,08,119"
20-Jun-2024,EQ,"3,584.95","3,613.30","3,564.60","3,589.95","3,598.40","3,594.45","3,587.54","3,919.90","2,354.45","26,18,715","9,39,47,46,481.05","1,68,275"
19-Jun-2024,EQ,"3,690.00","3,699.00","3,575.00","3,689.20","3,606.95","3,589.95","3,622.88","3,919.90","2,354.45","29,36,151","10,63,73,25,627.10","1,74,218"
18-Jun-2024,EQ,"3,708.00","3,710.00","3,675.00","3,687.80","3,689.00","3,689.20","3,694.70","3,919.90","2,354.45","19,36,792","7,15,58,63,443.90","1,25,205"
14-Jun-2024,EQ,"3,718.00","3,720.00","3,675.00","3,703.65","3,681.10","3,687.80","3,689.66","3,919.90","2,327.10","17,46,508","6,44,40,27,620.65","1,16,358"
13-Jun-2024,EQ,"3,665.50","3,715.90","3,635.00","3,630.30","3,702.00","3,703.65","3,683.70","3,919.90","2,327.10","29,65,500","10,92,40,17,088.50","2,48,839"
12-Jun-2024,EQ,"3,615.00","3,648.95","3,578.00","3,598.70","3,630.00","3,630.30","3,630.27","3,919.90","2,327.10","22,42,274","8,14,00,54,289.95","1,06,476"
11-Jun-2024,EQ,"3,570.00","3,639.00","3,551.20","3,543.75","3,600.00","3,598.70","3,609.24","3,919.90","2,327.10","25,48,176","9,19,69,76,162.95","1,69,264"
10-Jun-2024,EQ,"3,521.05","3,585.00","3,521.05","3,532.50","3,541.95","3,543.75","3,552.73","3,919.90","2,327.10","31,51,257","11,19,55,50,287.70","1,72,023"
07-Jun-2024,EQ,"3,465.05","3,548.00","3,446.00","3,482.55","3,527.85","3,532.50","3,514.12","3,919.90","2,240.00","58,79,660","20,66,18,21,710.20","2,99,277"
06-Jun-2024,EQ,"3,438.00","3,538.20","3,385.30","3,409.00","3,496.00","3,482.55","3,480.80","3,919.90","2,240.00","83,74,602","29,15,03,43,332.10","3,71,459"
05-Jun-2024,EQ,"3,441.50","3,441.50","3,175.05","3,403.20","3,399.95","3,409.00","3,303.53","3,919.90","2,240.00","1,03,72,458","34,26,57,05,434.50","5,62,189"
04-Jun-2024,EQ,"3,852.00","3,898.00","3,320.00","3,897.15","3,415.00","3,403.20","3,539.43","3,919.90","2,240.00","99,20,882","35,11,42,40,230.60","5,60,360"
03-Jun-2024,EQ,"3,855.40","3,919.90","3,801.10","3,669.30","3,900.45","3,897.15","3,880.45","3,919.90","2,240.00","57,67,666","22,38,11,47,733.00","2,46,551"
31-May-2024,EQ,"3,636.40","3,744.80","3,636.40","3,634.70","3,678.50","3,669.30","3,693.33","3,860.00","2,200.00","64,32,341","23,75,67,40,901.05","2,44,010"
30-May-2024,EQ,"3,626.05","3,643.95","3,607.75","3,634.80","3,643.00","3,634.70","3,630.63","3,860.00","2,200.00","27,01,849","9,80,94,13,541.40","1,74,916"
29-May-2024,EQ,"3,611.00","3,661.85","3,610.35","3,658.20","3,628.15","3,634.80","3,635.48","3,860.00","2,200.00","15,06,146","5,47,55,66,341.05","97,277"
28-May-2024,EQ,"3,652.00","3,685.25","3,646.05","3,652.00","3,657.00","3,658.20","3,661.34","3,860.00","2,200.00","14,40,187","5,27,30,12,668.20","1,19,953"
27-May-2024,EQ,"3,644.90","3,695.00","3,600.00","3,625.90","3,647.00","3,652.00","3,653.01","3,860.00","2,200.00","25,70,708","9,39,08,09,807.35","1,82,366"
24-May-2024,EQ,"3,586.00","3,659.00","3,582.30","3,585.40","3,621.00","3,625.90","3,627.82","3,860.00","2,176.00","27,40,360","9,94,15,41,702.45","1,92,630"
23-May-2024,EQ,"3,460.90","3,601.65","3,455.00","3,460.85","3,577.00","3,585.40","3,551.20","3,860.00","2,176.00","45,25,637","16,07,14,52,309.50","2,74,666"
22-May-2024,EQ,"3,450.05","3,472.70","3,435.05","3,440.95","3,464.75","3,460.85","3,459.49","3,860.00","2,176.00","14,09,992","4,87,78,46,791.15","1,18,328"
21-May-2024,EQ,"3,458.00","3,470.30","3,434.00","3,464.20","3,435.05","3,440.95","3,450.64","3,860.00","2,176.00","21,00,848","7,24,92,74,176.20","1,47,630"
18-May-2024,EQ,"3,452.00","3,468.00","3,445.80","3,450.75","3,467.50","3,464.20","3,458.37","3,860.00","2,168.50","1,41,462","48,92,28,073.75","9,811"
17-May-2024,EQ,"3,475.95","3,475.95","3,412.15","3,460.60","3,454.15","3,450.75","3,440.74","3,860.00","2,168.50","26,76,919","9,21,05,79,941.25","1,75,513"
16-May-2024,EQ,"3,428.95","3,468.50","3,378.70","3,411.30","3,460.00","3,460.60","3,413.98","3,860.00","2,168.50","33,98,714","11,60,31,35,146.30","2,29,058"
15-May-2024,EQ,"3,390.00","3,417.40","3,353.15","3,379.45","3,415.00","3,411.30","3,386.15","3,860.00","2,168.50","27,18,682","9,20,58,69,368.60","1,85,374"
14-May-2024,EQ,"3,300.00","3,384.90","3,293.40","3,293.85","3,375.00","3,379.45","3,348.66","3,860.00","2,168.50","28,70,328","9,61,17,46,752.45","1,76,256"
13-May-2024,EQ,"3,267.05","3,315.00","3,225.20","3,271.45","3,300.00","3,293.85","3,280.38","3,860.00","2,168.50","35,57,067","11,66,85,26,808.25","2,05,393"
10-May-2024,EQ,"3,281.60","3,306.15","3,234.60","3,275.45","3,276.90","3,271.45","3,263.22","3,860.00","2,168.50","41,32,191","13,48,42,47,758.50","2,72,803"
09-May-2024,EQ,"3,312.75","3,377.00","3,266.65","3,486.85","3,289.95","3,275.45","3,310.59","3,860.00","2,168.50","1,21,20,574","40,12,61,95,141.05","6,42,552"
08-May-2024,EQ,"3,429.00","3,497.40","3,367.80","3,427.75","3,482.75","3,486.85","3,422.63","3,860.00","2,168.50","41,16,670","14,08,98,33,172.55","2,06,007"
07-May-2024,EQ,"3,479.40","3,496.00","3,425.00","3,463.30","3,429.10","3,427.75","3,451.20","3,860.00","2,168.50","33,76,013","11,65,13,04,132.40","1,70,591"
