Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"5,155.00","5,190.00","5,136.10","5,123.85","5,165.65","5,177.50","5,167.21","6,442.00","4,513.55","4,01,368","2,07,39,51,381.50","46,492"
25-Jun-2024,EQ,"5,111.25","5,135.00","5,070.45","5,111.20","5,127.25","5,123.85","5,100.83","6,442.00","4,513.55","1,79,424","91,52,11,593.45","23,436"
24-Jun-2024,EQ,"5,100.00","5,149.95","5,060.00","5,125.45","5,110.00","5,111.20","5,118.82","6,442.00","4,513.55","2,58,477","1,32,30,96,515.60","28,163"
21-Jun-2024,EQ,"5,200.00","5,273.85","5,110.60","5,052.45","5,122.00","5,125.45","5,182.95","6,442.00","4,513.55","14,17,846","7,34,86,19,059.85","1,17,805"
20-Jun-2024,EQ,"5,030.00","5,071.00","5,000.00","5,019.85","5,052.00","5,052.45","5,036.45","6,442.00","4,513.55","3,33,475","1,67,95,30,838.65","44,533"
19-Jun-2024,EQ,"5,072.00","5,075.85","4,970.50","5,089.60","5,020.00","5,019.85","5,011.71","6,442.00","4,513.55","3,51,127","1,75,97,46,852.65","32,763"
18-Jun-2024,EQ,"5,056.00","5,132.00","5,046.05","5,032.55","5,089.00","5,089.60","5,096.54","6,442.00","4,513.55","6,97,624","3,55,54,68,583.20","51,757"
14-Jun-2024,EQ,"5,047.20","5,070.20","4,995.25","5,047.20","5,025.60","5,032.55","5,044.07","6,442.00","4,513.55","2,78,048","1,40,24,94,777.65","35,160"
13-Jun-2024,EQ,"4,996.05","5,092.15","4,971.05","4,951.10","5,040.00","5,047.20","5,049.52","6,442.00","4,513.55","7,39,500","3,73,41,19,332.15","65,090"
12-Jun-2024,EQ,"4,960.65","5,024.00","4,936.05","4,903.55","4,950.00","4,951.10","4,977.44","6,442.00","4,513.55","7,05,428","3,51,12,25,058.00","61,040"
11-Jun-2024,EQ,"4,924.75","4,946.35","4,890.30","4,903.45","4,901.00","4,903.55","4,914.76","6,442.00","4,513.55","2,68,670","1,32,04,49,805.05","20,223"
10-Jun-2024,EQ,"4,977.25","4,978.80","4,865.00","4,977.20","4,898.00","4,903.45","4,901.83","6,442.00","4,513.55","4,28,520","2,10,05,33,590.20","35,134"
07-Jun-2024,EQ,"4,825.00","5,007.95","4,820.00","4,800.25","4,970.00","4,977.20","4,961.81","6,442.00","4,513.55","10,02,806","4,97,57,30,963.45","84,128"
06-Jun-2024,EQ,"4,740.00","4,819.00","4,703.00","4,688.85","4,818.00","4,800.25","4,768.59","6,442.00","4,513.55","6,22,901","2,97,03,58,036.70","78,355"
05-Jun-2024,EQ,"4,634.95","4,774.00","4,630.65","4,630.65","4,680.00","4,688.85","4,701.49","6,442.00","4,513.55","4,57,063","2,14,88,75,678.40","44,483"
04-Jun-2024,EQ,"4,649.50","4,675.95","4,513.55","4,649.40","4,630.00","4,630.65","4,599.27","6,442.00","4,513.55","6,83,878","3,14,53,38,475.25","78,276"
03-Jun-2024,EQ,"4,825.00","4,825.00","4,639.80","4,701.90","4,649.40","4,649.40","4,678.51","6,442.00","4,565.50","4,48,138","2,09,66,19,825.40","58,372"
31-May-2024,EQ,"4,769.90","4,775.65","4,680.00","4,773.15","4,695.00","4,701.90","4,710.05","6,442.00","4,565.50","9,65,092","4,54,56,35,183.30","77,190"
30-May-2024,EQ,"4,849.95","4,870.70","4,748.00","4,880.80","4,798.85","4,773.15","4,795.59","6,442.00","4,565.50","3,93,085","1,88,50,76,391.30","49,673"
29-May-2024,EQ,"4,885.00","4,892.90","4,830.05","4,885.95","4,881.00","4,880.80","4,876.57","6,442.00","4,565.50","2,09,717","1,02,26,99,445.70","24,763"
28-May-2024,EQ,"4,915.00","4,933.45","4,855.20","4,892.05","4,889.00","4,885.95","4,889.77","6,442.00","4,565.50","3,21,798","1,57,35,18,849.80","30,124"
27-May-2024,EQ,"4,849.95","4,915.20","4,826.70","4,839.75","4,890.00","4,892.05","4,884.84","6,442.00","4,565.50","4,29,985","2,10,04,09,996.05","41,368"
24-May-2024,EQ,"4,843.00","4,860.00","4,821.50","4,831.30","4,844.00","4,839.75","4,843.05","6,442.00","4,565.50","2,33,454","1,13,06,29,170.95","27,963"
23-May-2024,EQ,"4,780.00","4,848.95","4,780.00","4,775.75","4,835.00","4,831.30","4,823.85","6,442.00","4,565.50","4,91,869","2,37,27,00,207.75","63,773"
22-May-2024,EQ,"4,740.00","4,805.00","4,722.50","4,730.75","4,776.00","4,775.75","4,768.26","6,442.00","4,565.50","2,76,807","1,31,98,88,686.60","31,650"
21-May-2024,EQ,"4,750.00","4,780.50","4,711.00","4,751.10","4,734.50","4,730.75","4,739.28","6,442.00","4,565.50","3,80,590","1,80,37,23,937.50","35,148"
18-May-2024,EQ,"4,789.95","4,789.95","4,740.00","4,764.30","4,753.00","4,751.10","4,757.34","6,442.00","4,565.50","21,310","10,13,78,816.55","4,094"
17-May-2024,EQ,"4,785.00","4,790.00","4,725.00","4,771.20","4,768.50","4,764.30","4,754.41","6,442.00","4,565.50","3,83,213","1,82,19,50,827.15","36,537"
16-May-2024,EQ,"4,665.95","4,785.90","4,665.95","4,649.30","4,764.10","4,771.20","4,732.80","6,442.00","4,565.50","6,12,681","2,89,96,94,869.35","93,498"
15-May-2024,EQ,"4,648.95","4,675.95","4,633.00","4,634.85","4,648.95","4,649.30","4,651.90","6,442.00","4,565.50","2,46,664","1,14,74,57,020.75","26,700"
14-May-2024,EQ,"4,599.85","4,670.05","4,589.95","4,593.55","4,636.70","4,634.85","4,635.14","6,442.00","4,565.50","1,56,781","72,67,01,338.25","24,844"
13-May-2024,EQ,"4,607.80","4,628.90","4,565.50","4,607.65","4,599.90","4,593.55","4,588.45","6,442.00","4,565.50","2,42,264","1,11,16,16,253.75","32,103"
10-May-2024,EQ,"4,649.95","4,649.95","4,565.60","4,658.00","4,599.00","4,607.65","4,601.45","6,442.00","4,490.00","3,15,816","1,45,32,13,105.50","44,187"
