Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"2,907.05","2,912.95","2,844.60","2,909.40","2,856.75","2,851.50","2,870.49","3,013.50","1,369.95","32,82,318","9,42,18,69,983.70","1,51,058"
25-Jun-2024,EQ,"2,921.20","2,947.00","2,891.05","2,915.80","2,909.00","2,909.40","2,913.46","3,013.50","1,369.95","19,10,886","5,56,72,98,518.65","87,557"
24-Jun-2024,EQ,"2,836.50","2,923.95","2,813.05","2,839.95","2,921.20","2,915.80","2,884.85","3,013.50","1,369.95","26,99,784","7,78,84,82,677.65","2,06,488"
21-Jun-2024,EQ,"2,884.75","2,920.90","2,825.05","2,871.20","2,834.65","2,839.95","2,858.53","3,013.50","1,368.50","84,00,461","24,01,29,94,456.40","2,67,549"
20-Jun-2024,EQ,"2,945.05","2,954.75","2,857.30","2,933.85","2,874.05","2,871.20","2,889.52","3,013.50","1,368.50","40,24,418","11,62,86,43,402.40","1,73,356"
19-Jun-2024,EQ,"2,975.00","2,977.00","2,926.45","2,961.90","2,930.00","2,933.85","2,952.72","3,013.50","1,368.50","35,12,298","10,37,08,40,452.70","1,35,558"
18-Jun-2024,EQ,"2,965.00","3,013.50","2,956.65","2,928.60","2,958.15","2,961.90","2,977.67","3,013.50","1,368.50","48,87,512","14,55,34,14,432.35","1,91,759"
14-Jun-2024,EQ,"2,875.00","2,946.00","2,865.00","2,861.70","2,924.00","2,928.60","2,913.17","2,946.00","1,366.00","35,15,019","10,23,98,54,158.60","1,89,489"
13-Jun-2024,EQ,"2,850.00","2,879.10","2,788.65","2,787.55","2,877.00","2,861.70","2,833.48","2,886.00","1,366.00","24,92,637","7,06,28,34,186.90","1,43,736"
12-Jun-2024,EQ,"2,835.55","2,848.60","2,782.05","2,835.55","2,796.65","2,787.55","2,812.62","2,886.00","1,366.00","25,80,846","7,25,89,33,750.00","1,40,894"
11-Jun-2024,EQ,"2,821.00","2,855.00","2,813.40","2,807.55","2,833.25","2,835.55","2,834.11","2,886.00","1,366.00","22,98,974","6,51,55,35,399.70","1,21,561"
10-Jun-2024,EQ,"2,861.00","2,886.00","2,800.00","2,857.45","2,814.00","2,807.55","2,824.87","2,886.00","1,366.00","20,21,106","5,70,93,64,107.25","1,26,237"
07-Jun-2024,EQ,"2,668.35","2,867.60","2,668.35","2,699.85","2,845.00","2,857.45","2,800.79","2,867.60","1,346.35","64,47,821","18,05,90,18,225.70","2,63,057"
06-Jun-2024,EQ,"2,745.00","2,761.90","2,670.90","2,740.95","2,699.00","2,699.85","2,705.02","2,761.90","1,346.35","49,92,660","13,50,52,57,471.65","2,90,943"
05-Jun-2024,EQ,"2,572.90","2,753.70","2,571.80","2,572.90","2,728.90","2,740.95","2,694.50","2,753.70","1,346.35","42,42,881","11,43,24,36,746.25","2,41,980"
04-Jun-2024,EQ,"2,634.25","2,639.00","2,448.20","2,634.00","2,584.00","2,572.90","2,557.71","2,654.35","1,346.35","63,72,249","16,29,83,92,753.85","3,75,878"
03-Jun-2024,EQ,"2,575.05","2,654.35","2,570.40","2,506.25","2,641.80","2,634.00","2,631.64","2,654.35","1,346.35","27,01,157","7,10,84,82,575.95","1,43,508"
31-May-2024,EQ,"2,517.75","2,569.20","2,495.15","2,493.50","2,517.95","2,506.25","2,520.24","2,617.40","1,298.00","87,69,724","22,10,17,81,610.85","2,73,642"
