Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"12,117.00","12,323.85","12,067.70","12,116.60","12,199.80","12,198.25","12,214.42","13,073.95","9,254.15","4,47,931","5,47,12,18,119.45","75,918"
25-Jun-2024,EQ,"12,201.40","12,237.80","12,072.05","12,183.40","12,125.00","12,116.60","12,139.33","13,073.95","9,254.15","5,94,272","7,21,40,62,067.25","73,270"
24-Jun-2024,EQ,"12,181.00","12,289.00","12,041.00","12,201.50","12,239.90","12,183.40","12,174.02","13,073.95","9,254.15","5,50,862","6,70,62,03,982.85","77,934"
21-Jun-2024,EQ,"12,220.00","12,366.25","12,083.50","12,149.50","12,167.00","12,201.50","12,193.95","13,073.95","9,254.15","9,47,800","11,55,74,28,719.30","1,69,905"
20-Jun-2024,EQ,"12,246.00","12,305.50","12,135.00","12,242.10","12,160.00","12,149.50","12,191.11","13,073.95","9,254.15","9,07,751","11,06,64,89,820.90","1,12,661"
19-Jun-2024,EQ,"12,610.00","12,625.00","12,200.00","12,560.95","12,234.00","12,242.10","12,374.40","13,073.95","9,254.15","6,94,871","8,59,86,13,595.30","1,09,806"
18-Jun-2024,EQ,"12,878.40","12,880.00","12,542.05","12,845.20","12,570.00","12,560.95","12,622.35","13,073.95","9,254.15","8,23,306","10,39,20,58,284.80","1,00,425"
14-Jun-2024,EQ,"12,831.50","12,895.00","12,778.80","12,846.85","12,832.60","12,845.20","12,842.82","13,073.95","9,254.15","2,16,967","2,78,64,67,879.50","39,581"
13-Jun-2024,EQ,"12,940.00","12,940.00","12,739.60","12,849.35","12,840.00","12,846.85","12,824.40","13,073.95","9,254.15","2,97,240","3,81,19,24,108.80","57,819"
12-Jun-2024,EQ,"12,863.65","12,951.60","12,802.00","12,863.65","12,842.55","12,849.35","12,876.73","13,073.95","9,254.15","3,02,719","3,89,80,29,605.35","77,621"
11-Jun-2024,EQ,"12,743.50","12,939.55","12,655.20","12,717.55","12,870.00","12,863.65","12,827.27","13,073.95","9,254.15","3,58,807","4,60,25,13,909.40","56,304"
10-Jun-2024,EQ,"12,765.15","12,920.00","12,627.90","12,810.90","12,741.00","12,717.55","12,737.36","13,073.95","9,254.15","2,93,471","3,73,80,44,824.20","50,300"
07-Jun-2024,EQ,"12,582.35","12,828.00","12,582.35","12,673.50","12,790.00","12,810.90","12,740.77","13,073.95","9,254.15","5,32,480","6,78,42,07,680.00","81,384"
06-Jun-2024,EQ,"12,511.55","12,690.00","12,468.00","12,502.60","12,684.50","12,673.50","12,617.71","13,073.95","9,254.15","4,47,536","5,64,68,78,338.00","1,02,493"
05-Jun-2024,EQ,"12,180.00","12,614.10","12,125.10","12,176.05","12,511.55","12,502.60","12,464.87","13,073.95","9,254.15","4,47,581","5,57,90,39,494.65","90,538"
04-Jun-2024,EQ,"12,596.60","12,597.20","11,561.45","12,476.15","12,204.65","12,176.05","12,190.13","13,073.95","9,254.15","8,25,928","10,06,81,69,077.55","1,21,623"
03-Jun-2024,EQ,"12,825.00","12,825.00","12,402.55","12,399.30","12,490.00","12,476.15","12,502.27","13,073.95","9,254.15","4,85,936","6,07,53,05,462.15","67,208"
31-May-2024,EQ,"12,598.00","12,633.35","12,330.00","12,598.00","12,425.00","12,399.30","12,458.05","13,073.95","9,222.00","9,08,304","11,31,56,99,332.90","1,07,729"
30-May-2024,EQ,"12,721.00","12,810.00","12,550.00","12,788.65","12,570.00","12,598.00","12,642.41","13,073.95","9,222.00","5,24,559","6,63,16,89,817.05","80,385"
29-May-2024,EQ,"12,818.00","12,850.05","12,750.00","12,818.60","12,780.00","12,788.65","12,794.43","13,073.95","9,222.00","3,53,706","4,52,54,67,852.15","48,645"
28-May-2024,EQ,"12,890.00","12,985.95","12,800.25","12,906.10","12,812.00","12,818.60","12,884.62","13,073.95","9,222.00","3,33,806","4,30,09,62,222.00","49,739"
27-May-2024,EQ,"13,023.45","13,058.50","12,777.00","13,000.45","12,900.00","12,906.10","12,892.64","13,073.95","9,222.00","4,64,953","5,99,44,71,564.35","63,002"
24-May-2024,EQ,"12,865.00","13,034.00","12,811.00","12,934.90","13,000.05","13,000.45","12,966.11","13,073.95","9,073.85","6,24,801","8,10,12,37,980.75","90,903"
23-May-2024,EQ,"12,566.05","12,975.10","12,473.05","12,531.35","12,890.00","12,934.90","12,821.10","13,073.95","9,073.85","7,68,732","9,85,59,92,740.00","1,33,241"
22-May-2024,EQ,"12,427.80","12,563.00","12,363.10","12,473.30","12,522.35","12,531.35","12,495.02","13,073.95","9,073.85","2,80,015","3,49,87,92,302.65","43,004"
21-May-2024,EQ,"12,600.15","12,678.90","12,441.80","12,600.15","12,461.65","12,473.30","12,537.02","13,073.95","9,073.85","4,43,136","5,55,56,02,946.15","72,811"
18-May-2024,EQ,"12,647.95","12,693.45","12,565.40","12,641.50","12,612.00","12,600.15","12,634.63","13,073.95","8,960.55","17,550","22,17,37,736.80","3,169"
17-May-2024,EQ,"12,515.15","12,665.90","12,322.30","12,497.65","12,620.00","12,641.50","12,525.57","13,073.95","8,960.55","8,09,226","10,13,60,13,499.80","1,13,646"
16-May-2024,EQ,"12,848.00","12,848.00","12,300.00","12,767.30","12,492.45","12,497.65","12,468.99","13,073.95","8,960.55","9,14,201","11,39,91,62,154.35","1,70,530"
15-May-2024,EQ,"12,820.00","12,872.40","12,700.00","12,814.20","12,758.50","12,767.30","12,778.57","13,073.95","8,960.55","2,32,030","2,96,50,12,289.30","43,976"
14-May-2024,EQ,"12,673.85","12,840.00","12,651.40","12,673.85","12,799.35","12,814.20","12,794.63","13,073.95","8,960.55","3,31,037","4,23,54,96,471.80","61,842"
13-May-2024,EQ,"12,660.00","12,708.40","12,477.55","12,675.50","12,695.00","12,673.85","12,590.17","13,073.95","8,960.55","2,81,421","3,54,31,38,173.30","54,359"
