Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Jun-2024,EQ,"2,498.40","2,532.00","2,484.50","2,498.40","2,527.30","2,530.05","2,524.15","27,693.00","2,327.45","7,24,201","1,82,79,91,674.90","58,792"
21-Jun-2024,EQ,"2,532.60","2,548.00","2,488.50","2,539.75","2,491.40","2,498.40","2,504.55","27,693.00","2,327.45","12,71,544","3,18,46,44,026.00","1,43,041"
20-Jun-2024,EQ,"2,525.00","2,551.15","2,500.00","2,526.05","2,535.05","2,539.75","2,534.10","27,693.00","2,327.45","6,57,413","1,66,59,49,921.80","85,789"
19-Jun-2024,EQ,"2,550.00","2,559.60","2,517.85","2,550.35","2,523.95","2,526.05","2,537.49","27,693.00","2,327.45","7,84,307","1,99,01,74,586.35","36,663"
18-Jun-2024,EQ,"2,549.00","2,555.00","2,534.00","2,542.50","2,550.00","2,550.35","2,546.29","27,693.00","2,327.45","2,59,554","66,09,00,097.45","27,613"
14-Jun-2024,EQ,"2,564.60","2,564.60","2,534.10","2,551.75","2,538.00","2,542.50","2,544.25","27,693.00","2,327.45","4,29,472","1,09,26,83,073.60","46,783"
13-Jun-2024,EQ,"2,594.15","2,614.45","2,545.15","2,537.30","2,548.00","2,551.75","2,568.27","27,693.00","2,327.45","10,81,272","2,77,70,01,393.80","80,212"
12-Jun-2024,EQ,"2,544.00","2,554.75","2,521.00","2,541.95","2,533.05","2,537.30","2,540.57","27,693.00","2,327.45","4,80,408","1,22,05,11,982.55","52,323"
11-Jun-2024,EQ,"2,560.00","2,575.00","2,534.00","2,548.20","2,545.00","2,541.95","2,550.47","27,693.00","2,327.45","5,69,411","1,45,22,64,011.40","47,435"
10-Jun-2024,EQ,"2,510.00","2,565.00","2,507.05","2,502.45","2,540.50","2,548.20","2,545.73","27,693.00","2,327.45","7,95,174","2,02,42,94,993.90","62,473"
07-Jun-2024,EQ,"2,476.45","2,516.25","2,467.00","2,471.40","2,505.00","2,502.45","2,495.88","27,693.00","2,327.45","10,11,202","2,52,38,38,435.55","1,20,722"
06-Jun-2024,EQ,"2,518.00","2,518.00","2,452.65","2,509.85","2,475.20","2,471.40","2,469.43","27,693.00","2,327.45","9,72,140","2,40,06,30,203.35","1,27,299"
05-Jun-2024,EQ,"2,430.00","2,574.05","2,430.00","2,427.75","2,500.00","2,509.85","2,520.74","27,693.00","2,327.45","20,28,779","5,11,40,18,079.45","1,51,097"
04-Jun-2024,EQ,"2,363.95","2,438.00","2,327.45","2,355.05","2,432.15","2,427.75","2,385.04","27,693.00","2,327.45","15,58,531","3,71,71,58,817.80","1,53,573"
03-Jun-2024,EQ,"2,374.80","2,388.95","2,350.00","2,354.90","2,361.00","2,355.05","2,363.23","27,693.00","2,345.00","10,72,515","2,53,46,00,939.55","1,18,192"
31-May-2024,EQ,"2,425.60","2,425.60","2,345.00","2,404.80","2,354.85","2,354.90","2,367.88","27,693.00","2,345.00","25,32,973","5,99,77,80,379.55","1,65,935"
30-May-2024,EQ,"2,465.05","2,473.10","2,400.55","2,476.20","2,411.40","2,404.80","2,413.04","27,693.00","2,400.55","12,74,214","3,07,47,29,900.60","1,29,870"
29-May-2024,EQ,"2,447.70","2,497.00","2,445.00","2,451.70","2,468.45","2,476.20","2,477.19","27,693.00","2,409.10","8,69,600","2,15,41,61,957.60","77,429"
28-May-2024,EQ,"2,461.15","2,467.65","2,446.00","2,459.90","2,454.50","2,451.70","2,457.49","27,693.00","2,409.10","5,21,672","1,28,20,04,125.65","40,276"
27-May-2024,EQ,"2,477.00","2,479.00","2,455.00","2,467.75","2,456.00","2,459.90","2,468.44","27,693.00","2,409.10","5,35,831","1,32,26,67,748.55","71,575"
24-May-2024,EQ,"2,476.95","2,485.00","2,458.05","2,474.15","2,467.00","2,467.75","2,466.71","27,693.00","2,409.10","4,53,772","1,11,93,25,034.10","54,947"
23-May-2024,EQ,"2,481.00","2,487.50","2,455.55","2,469.15","2,474.40","2,474.15","2,472.06","27,693.00","2,409.10","7,81,663","1,93,23,14,908.90","1,08,670"
22-May-2024,EQ,"2,472.00","2,487.50","2,461.90","2,460.80","2,468.35","2,469.15","2,474.18","27,693.00","2,409.10","7,87,327","1,94,79,90,959.90","74,326"
21-May-2024,EQ,"2,466.00","2,489.60","2,432.00","2,504.40","2,464.00","2,460.80","2,457.38","27,693.00","2,409.10","12,87,451","3,16,37,56,329.35","96,690"
18-May-2024,EQ,"2,464.00","2,518.75","2,459.80","2,445.50","2,500.00","2,504.40","2,499.54","27,693.00","2,409.10","2,52,529","63,12,06,668.95","14,762"
17-May-2024,EQ,"2,468.35","2,468.35","2,433.80","2,468.35","2,448.00","2,445.50","2,446.62","27,693.00","2,409.10","7,21,178","1,76,44,51,265.70","99,165"
16-May-2024,EQ,"2,470.00","2,479.95","2,420.30","2,465.00","2,466.85","2,468.35","2,445.54","27,693.00","2,409.10","9,72,494","2,37,82,71,506.30","1,63,496"
15-May-2024,EQ,"2,488.00","2,499.00","2,460.00","2,487.35","2,466.00","2,465.00","2,469.92","27,693.00","2,409.10","4,34,406","1,07,29,47,192.80","65,461"
14-May-2024,EQ,"2,506.10","2,518.95","2,482.00","2,516.25","2,494.00","2,487.35","2,490.77","27,693.00","2,409.10","5,56,747","1,38,67,30,324.05","64,418"
13-May-2024,EQ,"2,532.75","2,541.90","2,506.05","2,533.20","2,517.00","2,516.25","2,518.28","27,693.00","2,409.10","3,40,381","85,71,74,904.45","45,324"
10-May-2024,EQ,"2,513.45","2,549.00","2,503.45","2,513.45","2,527.10","2,533.20","2,534.73","27,693.00","2,409.10","6,97,416","1,76,77,63,599.00","85,548"
09-May-2024,EQ,"2,539.00","2,549.90","2,502.00","2,539.00","2,509.95","2,513.45","2,514.86","27,693.00","2,409.10","7,02,155","1,76,58,21,134.20","1,03,958"
08-May-2024,EQ,"2,502.45","2,548.00","2,485.65","2,508.65","2,537.05","2,539.00","2,522.54","27,693.00","2,409.10","6,99,070","1,76,34,31,572.65","61,865"
07-May-2024,EQ,"2,469.00","2,528.35","2,459.55","2,457.40","2,508.00","2,508.65","2,509.47","27,693.00","2,409.10","10,73,459","2,69,38,18,516.35","98,398"
06-May-2024,EQ,"2,474.40","2,479.95","2,446.95","2,456.10","2,457.85","2,457.40","2,459.83","27,693.00","2,409.10","7,15,996","1,76,12,25,565.35","80,820"
03-May-2024,EQ,"2,515.10","2,523.05","2,436.25","2,512.30","2,456.00","2,456.10","2,466.45","27,693.00","2,409.10","11,28,730","2,78,39,57,801.35","1,43,532"
02-May-2024,EQ,"2,507.40","2,541.00","2,505.00","2,507.40","2,513.00","2,512.30","2,522.60","27,693.00","2,409.10","11,11,913","2,80,49,11,605.25","1,25,128"
