Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,363.0,366.9,359.65,360.85,364.9,365.05,363.5,393.2,184.45,"1,59,18,394","5,78,64,07,098.30","1,27,593"
25-Jun-2024,EQ,364.25,364.7,357.75,362.75,361.5,360.85,360.11,393.2,184.45,"1,49,83,828","5,39,58,28,113.10","1,25,332"
24-Jun-2024,EQ,357.6,364.65,355.55,359.8,364.1,362.75,362.11,393.2,184.45,"93,35,598","3,38,05,32,953.20","1,16,164"
21-Jun-2024,EQ,359.95,362.95,356.75,357.65,358.4,359.8,359.93,393.2,183.35,"1,79,31,844","6,45,41,46,277.00","2,01,612"
20-Jun-2024,EQ,362.5,364.9,357.05,362.5,358.75,357.65,359.53,393.2,183.35,"1,43,38,604","5,15,50,98,718.10","1,63,105"
19-Jun-2024,EQ,369.8,370.9,361.55,369.65,362.9,362.5,364.41,393.2,183.35,"83,37,334","3,03,81,86,132.50","1,04,313"
18-Jun-2024,EQ,371.8,372.25,368.7,368.45,369.95,369.65,370.2,393.2,183.35,"1,02,28,382","3,78,65,37,392.75","1,40,378"
14-Jun-2024,EQ,370.0,370.85,366.1,369.95,368.5,368.45,368.04,393.2,182.65,"1,02,98,434","3,79,02,76,320.10","1,27,662"
13-Jun-2024,EQ,376.4,376.4,367.95,371.3,370.0,369.95,370.32,393.2,182.65,"1,12,43,702","4,16,37,88,117.75","1,28,902"
12-Jun-2024,EQ,369.55,374.0,365.4,367.4,371.55,371.3,371.22,393.2,182.65,"1,21,34,524","4,50,45,23,361.90","1,40,265"
11-Jun-2024,EQ,368.75,371.95,364.9,364.9,367.9,367.4,367.73,393.2,182.65,"1,12,35,777","4,13,16,91,379.95","1,63,251"
10-Jun-2024,EQ,365.0,370.1,361.8,360.6,364.2,364.9,366.97,393.2,182.65,"1,60,72,588","5,89,81,87,231.10","1,69,321"
07-Jun-2024,EQ,352.0,362.0,347.7,349.75,361.9,360.6,356.33,393.2,173.55,"2,39,30,193","8,52,70,52,942.30","2,57,993"
06-Jun-2024,EQ,347.8,359.75,345.0,341.0,351.1,349.75,352.53,393.2,173.55,"3,31,71,039","11,69,38,24,679.95","3,67,620"
05-Jun-2024,EQ,340.0,342.25,315.3,331.25,341.8,341.0,332.05,393.2,173.55,"4,64,18,629","15,41,35,03,472.35","4,26,483"
04-Jun-2024,EQ,391.9,391.9,313.95,391.8,334.9,331.25,343.27,393.2,173.55,"8,40,42,244","28,84,91,27,495.25","8,56,772"
03-Jun-2024,EQ,385.0,393.2,373.45,359.0,392.5,391.8,385.72,393.2,173.55,"3,92,61,174","15,14,38,15,337.10","3,62,003"
31-May-2024,EQ,363.45,366.65,355.5,359.7,359.65,359.0,359.31,380.5,171.85,"3,05,15,612","10,96,45,23,949.25","3,06,164"
30-May-2024,EQ,364.0,364.8,357.15,364.6,361.0,359.7,360.38,380.5,171.85,"1,44,25,073","5,19,85,34,086.60","1,61,572"
29-May-2024,EQ,361.5,366.35,360.0,365.4,365.0,364.6,364.01,380.5,171.85,"1,81,46,672","6,60,55,24,010.60","1,15,509"
28-May-2024,EQ,372.6,373.25,364.1,369.65,364.5,365.4,367.46,380.5,171.85,"1,02,00,096","3,74,81,52,061.70","1,30,153"
27-May-2024,EQ,379.95,380.5,368.0,374.95,370.15,369.65,371.53,380.5,171.85,"2,18,91,930","8,13,35,79,958.50","1,71,942"
24-May-2024,EQ,373.0,378.15,368.7,372.3,374.5,374.95,374.33,380.4,171.85,"1,33,17,821","4,98,53,16,955.35","1,46,759"
23-May-2024,EQ,375.05,375.6,369.5,373.85,372.2,372.3,371.64,380.4,171.85,"1,53,70,357","5,71,21,63,916.60","1,62,720"
22-May-2024,EQ,375.0,377.35,370.6,372.0,374.0,373.85,374.16,380.4,171.85,"1,40,01,806","5,23,89,45,858.55","1,67,380"
21-May-2024,EQ,367.0,374.1,365.35,366.3,372.15,372.0,371.54,380.4,171.85,"1,09,39,593","4,06,44,97,680.25","1,54,587"
18-May-2024,EQ,367.95,368.0,365.0,365.45,366.0,366.3,366.54,380.4,171.85,"10,50,300","38,49,77,737.10","13,371"
17-May-2024,EQ,362.45,366.5,360.35,361.45,365.25,365.45,364.18,380.4,171.85,"85,09,179","3,09,88,31,037.35","1,11,459"
16-May-2024,EQ,363.85,363.85,353.05,361.35,361.0,361.45,358.68,380.4,171.85,"1,31,14,162","4,70,37,25,234.45","1,89,775"
15-May-2024,EQ,357.5,363.5,356.65,355.8,361.5,361.35,360.75,380.4,171.85,"85,38,183","3,08,01,28,028.15","1,38,091"
14-May-2024,EQ,350.55,357.25,350.3,350.9,355.2,355.8,355.04,380.4,171.85,"1,08,91,985","3,86,70,67,499.50","1,20,434"
13-May-2024,EQ,355.5,356.0,346.5,355.5,351.5,350.9,350.89,380.4,171.85,"1,06,91,781","3,75,16,38,209.05","1,57,205"
10-May-2024,EQ,347.65,356.35,347.55,346.05,354.4,355.5,353.77,380.4,171.85,"1,16,99,095","4,13,87,64,659.65","1,52,250"
09-May-2024,EQ,356.5,358.0,344.85,355.45,346.95,346.05,350.14,380.4,171.85,"90,43,486","3,16,65,23,793.60","1,53,819"
08-May-2024,EQ,345.2,358.5,345.2,349.15,355.3,355.45,353.63,380.4,171.85,"95,95,776","3,39,33,59,978.45","1,11,086"
07-May-2024,EQ,358.25,358.45,346.85,356.8,348.5,349.15,350.95,380.4,171.85,"1,00,28,071","3,51,93,37,756.75","1,25,194"
06-May-2024,EQ,367.8,368.85,354.4,364.95,356.45,356.8,358.29,380.4,171.85,"1,53,19,437","5,48,87,97,515.45","2,25,309"
03-May-2024,EQ,372.3,380.4,360.35,369.05,364.05,364.95,369.86,380.4,171.85,"2,68,44,664","9,92,87,92,473.20","2,62,586"
02-May-2024,EQ,363.2,372.6,363.2,363.2,368.9,369.05,368.66,374.5,171.85,"2,78,92,188","10,28,27,22,918.85","3,41,507"
30-Apr-2024,EQ,364.95,365.45,359.3,363.0,363.0,363.2,362.63,374.5,171.85,"1,45,66,548","5,28,22,19,233.70","1,43,708"
29-Apr-2024,EQ,359.7,363.65,356.95,356.0,362.95,363.0,361.34,374.5,171.85,"1,36,52,173","4,93,30,88,205.90","1,86,091"
26-Apr-2024,EQ,360.7,361.4,355.0,359.2,357.2,356.0,357.03,374.5,168.2,"1,09,86,589","3,92,25,89,359.35","1,54,198"
25-Apr-2024,EQ,351.0,360.6,349.1,351.65,359.5,359.2,355.54,374.5,168.2,"1,98,65,014","7,06,27,61,086.10","1,97,111"
24-Apr-2024,EQ,349.8,353.15,347.3,347.15,351.6,351.65,350.71,374.5,168.2,"1,11,32,307","3,90,42,26,634.10","1,45,837"
23-Apr-2024,EQ,346.0,348.65,344.0,342.9,346.9,347.15,346.44,374.5,168.2,"1,46,51,106","5,07,57,13,274.75","1,43,309"
22-Apr-2024,EQ,355.0,355.0,341.9,350.55,344.25,342.9,345.81,374.5,168.2,"3,73,82,916","12,92,72,82,304.80","1,99,497"
19-Apr-2024,EQ,343.1,352.4,343.0,351.15,349.5,350.55,348.49,374.5,166.8,"1,28,67,942","4,48,44,13,340.40","1,62,342"
18-Apr-2024,EQ,359.55,361.25,349.2,359.25,353.4,351.15,356.02,374.5,166.8,"2,29,66,560","8,17,65,31,513.75","1,89,034"
16-Apr-2024,EQ,361.0,361.95,354.6,361.15,359.4,359.25,358.62,374.5,166.8,"1,53,28,939","5,49,73,10,985.50","1,83,162"
15-Apr-2024,EQ,355.5,366.0,352.8,361.75,361.4,361.15,361.11,374.5,166.8,"1,81,26,999","6,54,59,06,447.55","1,93,222"
12-Apr-2024,EQ,362.5,374.5,361.0,362.5,361.85,361.75,366.4,374.5,166.8,"3,09,24,494","11,33,08,84,293.70","2,80,324"
10-Apr-2024,EQ,364.1,368.35,361.35,362.9,362.95,362.5,364.68,368.35,166.8,"1,28,86,638","4,69,94,54,740.45","1,25,858"
09-Apr-2024,EQ,365.0,366.9,360.35,363.5,363.0,362.9,363.04,366.9,166.8,"1,00,10,148","3,63,41,14,016.70","1,21,040"
08-Apr-2024,EQ,355.6,366.0,353.25,354.55,365.75,363.5,358.57,366.0,166.8,"1,14,47,140","4,10,46,51,923.65","1,20,723"
05-Apr-2024,EQ,356.4,358.2,351.55,354.65,354.7,354.55,355.11,362.7,166.8,"1,12,08,130","3,98,01,21,947.65","1,56,471"
04-Apr-2024,EQ,355.0,362.7,352.65,351.25,355.7,354.65,357.19,362.7,166.8,"2,89,62,927","10,34,51,44,704.30","2,53,622"
03-Apr-2024,EQ,344.35,354.1,342.0,344.8,352.65,351.25,348.28,359.95,166.8,"2,16,79,943","7,55,05,85,787.25","1,24,123"
02-Apr-2024,EQ,343.0,345.6,340.75,342.35,345.4,344.8,343.7,359.95,166.8,"97,45,257","3,34,94,62,715.30","93,933"
01-Apr-2024,EQ,339.0,344.4,336.15,335.8,342.6,342.35,341.01,359.95,166.8,"85,80,656","2,92,60,78,451.50","1,14,223"
28-Mar-2024,EQ,331.9,340.0,330.3,331.6,337.2,335.8,335.45,359.95,166.8,"1,98,68,037","6,66,47,21,246.30","1,68,360"
27-Mar-2024,EQ,332.0,334.1,326.3,329.1,329.8,331.6,331.35,359.95,166.8,"4,52,09,520","14,98,01,38,666.10","1,40,001"
26-Mar-2024,EQ,320.1,330.3,320.1,324.75,329.7,329.1,327.43,359.95,166.8,"1,12,08,959","3,67,00,99,755.60","1,08,786"
22-Mar-2024,EQ,324.5,327.25,321.15,325.0,324.0,324.75,324.84,359.95,166.8,"1,47,09,219","4,77,81,09,108.95","1,68,504"
21-Mar-2024,EQ,317.25,326.35,317.0,313.65,325.0,325.0,323.68,359.95,166.8,"2,33,70,426","7,56,44,80,795.20","2,01,571"
20-Mar-2024,EQ,316.0,317.45,308.3,313.45,313.0,313.65,312.53,359.95,166.8,"1,00,26,655","3,13,35,99,286.35","1,79,268"
19-Mar-2024,EQ,314.3,317.9,310.1,317.15,313.85,313.45,313.48,359.95,166.8,"1,33,88,060","4,19,68,29,794.30","2,96,123"
18-Mar-2024,EQ,317.1,322.9,314.95,316.3,317.95,317.15,317.88,359.95,166.8,"1,36,90,352","4,35,19,26,993.80","1,88,667"
15-Mar-2024,EQ,322.65,326.05,305.75,321.85,315.65,316.3,312.95,359.95,166.8,"4,32,85,007","13,54,59,89,975.45","3,38,097"
14-Mar-2024,EQ,321.05,326.95,316.5,322.5,322.45,321.85,321.4,359.95,166.8,"2,08,59,127","6,70,40,96,025.30","2,35,563"
13-Mar-2024,EQ,343.85,344.5,319.5,344.75,321.65,322.5,326.98,359.95,166.8,"2,37,22,232","7,75,67,01,371.30","3,28,784"
12-Mar-2024,EQ,348.0,349.45,342.55,347.95,344.2,344.75,344.84,359.95,166.8,"96,37,912","3,32,35,15,152.25","1,52,193"
11-Mar-2024,EQ,352.25,353.15,346.7,352.2,347.1,347.95,349.59,359.95,166.8,"1,06,64,917","3,72,83,34,600.15","1,58,912"
07-Mar-2024,EQ,352.0,353.9,349.7,351.95,352.2,352.2,351.88,359.95,166.8,"91,72,926","3,22,77,83,233.70","1,21,470"
06-Mar-2024,EQ,359.45,359.45,345.0,358.25,351.5,351.95,350.34,359.95,166.8,"1,31,20,921","4,59,67,56,798.65","1,50,268"
05-Mar-2024,EQ,354.9,359.95,353.55,353.85,358.2,358.25,356.93,359.95,166.8,"1,59,18,221","5,68,16,92,995.70","2,02,502"
04-Mar-2024,EQ,348.0,358.3,345.75,341.75,354.35,353.85,353.92,358.3,166.8,"3,80,75,510","13,47,55,68,076.10","3,63,843"
02-Mar-2024,EQ,344.3,345.0,334.3,343.5,341.8,341.75,341.94,348.05,166.8,"5,96,184","20,38,60,681.50","10,470"
01-Mar-2024,EQ,335.6,344.35,335.0,335.6,343.35,343.5,341.18,348.05,166.8,"1,30,27,254","4,44,46,30,368.65","1,99,203"
29-Feb-2024,EQ,333.3,336.0,330.6,333.3,335.55,335.6,334.46,348.05,166.8,"1,31,49,469","4,39,80,00,451.20","1,44,889"
28-Feb-2024,EQ,335.7,336.5,331.8,336.1,332.45,333.3,333.56,348.05,166.8,"1,29,77,628","4,32,88,11,570.90","1,28,493"
27-Feb-2024,EQ,336.1,338.0,334.1,337.6,336.05,336.1,336.2,348.05,166.8,"88,82,923","2,98,64,27,099.00","1,30,471"
26-Feb-2024,EQ,338.0,338.5,334.55,337.75,337.5,337.6,336.55,348.05,166.8,"77,11,995","2,59,54,50,410.50","1,31,398"
23-Feb-2024,EQ,340.0,340.0,334.85,339.55,336.95,337.75,336.84,348.05,166.8,"96,65,454","3,25,57,08,368.15","1,31,628"
22-Feb-2024,EQ,339.0,340.25,330.6,336.1,339.15,339.55,334.88,348.05,166.8,"1,60,83,122","5,38,58,95,227.40","2,17,584"
21-Feb-2024,EQ,347.0,348.05,334.7,345.7,335.9,336.1,341.57,348.05,166.8,"1,77,51,633","6,06,35,13,144.00","1,77,566"
20-Feb-2024,EQ,340.6,346.5,337.8,338.75,346.0,345.7,343.48,346.5,166.8,"1,93,40,526","6,64,30,51,639.35","1,70,310"
19-Feb-2024,EQ,340.4,341.9,337.5,337.75,338.7,338.75,339.64,342.95,166.8,"84,96,898","2,88,58,53,799.90","1,20,591"
16-Feb-2024,EQ,341.9,342.95,336.8,339.25,337.4,337.75,339.77,342.95,164.2,"2,03,07,449","6,89,98,20,251.20","2,07,861"
15-Feb-2024,EQ,331.0,340.9,330.15,328.0,340.85,339.25,336.16,341.05,164.2,"2,19,73,316","7,38,64,48,334.45","2,32,612"
14-Feb-2024,EQ,320.9,329.35,318.35,321.55,328.45,328.0,322.5,341.05,164.2,"1,40,85,723","4,54,26,90,962.70","1,65,867"
13-Feb-2024,EQ,318.55,323.95,315.9,316.15,320.9,321.55,320.66,341.05,164.2,"1,54,26,888","4,94,68,41,328.60","1,73,208"
12-Feb-2024,EQ,326.15,326.7,314.5,324.9,316.25,316.15,318.12,341.05,164.2,"1,17,14,289","3,72,65,73,652.90","1,79,709"
09-Feb-2024,EQ,332.95,335.0,319.6,330.9,324.7,324.9,325.61,341.05,164.05,"1,83,04,439","5,96,00,93,394.95","2,41,383"
08-Feb-2024,EQ,333.95,335.25,328.0,330.7,332.0,330.9,331.33,341.05,164.05,"1,77,54,869","5,88,26,84,049.70","2,61,928"
07-Feb-2024,EQ,337.9,337.9,329.65,334.2,331.9,330.7,332.47,341.05,164.05,"80,80,437","2,68,64,89,834.10","1,34,501"
06-Feb-2024,EQ,336.0,336.0,329.0,336.1,334.25,334.2,333.0,341.05,164.05,"1,20,24,661","4,00,42,09,402.15","1,22,876"
05-Feb-2024,EQ,338.0,341.05,333.05,332.5,336.0,336.1,337.5,341.05,164.05,"1,96,51,482","6,63,22,87,173.30","2,19,882"
02-Feb-2024,EQ,324.0,333.7,323.1,322.0,332.55,332.5,329.85,333.7,162.55,"3,23,46,639","10,66,94,39,507.75","2,64,597"
01-Feb-2024,EQ,320.05,326.95,317.1,317.5,321.5,322.0,321.7,326.95,162.55,"2,40,20,951","7,72,76,13,690.10","2,52,460"
31-Jan-2024,EQ,318.55,320.0,312.6,315.45,317.75,317.5,315.92,325.75,162.55,"2,09,31,224","6,61,26,96,780.65","1,65,320"
30-Jan-2024,EQ,321.85,323.95,314.5,324.55,316.1,315.45,319.11,325.75,162.55,"2,09,18,448","6,67,53,64,540.50","2,11,332"
29-Jan-2024,EQ,317.8,325.75,316.15,314.75,325.45,324.55,321.96,325.75,162.55,"2,46,94,773","7,95,07,04,759.35","2,20,943"
25-Jan-2024,EQ,310.0,317.2,309.2,308.85,314.75,314.75,314.55,325.65,162.55,"3,25,25,422","10,23,09,07,812.10","2,09,496"
24-Jan-2024,EQ,302.95,310.7,298.25,302.6,308.65,308.85,306.5,325.65,162.55,"2,39,22,028","7,33,19,95,600.85","2,02,899"
23-Jan-2024,EQ,313.45,315.3,300.3,308.2,302.0,302.6,308.72,325.65,162.55,"2,16,52,362","6,68,44,63,212.35","2,03,929"
20-Jan-2024,EQ,309.95,314.85,306.25,308.45,309.05,308.2,311.67,325.65,162.55,"1,06,52,125","3,31,99,31,700.90","89,366"
19-Jan-2024,EQ,303.8,309.45,301.7,299.3,308.85,308.45,306.93,325.65,162.55,"2,86,51,237","8,79,38,06,264.45","2,53,761"
18-Jan-2024,EQ,308.95,311.3,296.55,309.3,299.6,299.3,300.37,325.65,162.55,"3,24,81,018","9,75,61,75,573.20","2,66,924"
17-Jan-2024,EQ,309.75,314.1,307.1,311.5,309.65,309.3,310.87,325.65,162.55,"1,35,02,940","4,19,76,72,956.10","1,70,640"
16-Jan-2024,EQ,317.25,317.25,310.15,317.3,311.55,311.5,312.59,325.65,162.55,"1,01,62,832","3,17,67,73,354.30","1,54,924"
15-Jan-2024,EQ,314.9,318.0,309.6,312.65,316.8,317.3,314.95,325.65,162.55,"97,06,124","3,05,68,99,511.15","1,42,402"
12-Jan-2024,EQ,315.2,315.3,309.7,312.9,313.05,312.65,311.97,325.65,162.55,"1,23,41,629","3,85,02,06,309.55","1,27,863"
11-Jan-2024,EQ,314.95,317.3,312.35,313.35,313.5,312.9,314.36,325.65,162.55,"1,03,16,319","3,24,30,66,161.50","1,50,727"
