Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,325.7,330.2,324.95,327.4,327.5,326.7,327.45,348.7,190.65,"1,29,46,277","4,23,92,46,425.30","1,12,874"
25-Jun-2024,EQ,335.0,335.0,325.8,332.95,327.25,327.4,330.18,348.7,190.65,"1,39,79,671","4,61,58,47,521.65","1,23,122"
24-Jun-2024,EQ,323.1,334.0,322.55,325.95,333.2,332.95,331.17,348.7,190.65,"1,80,44,357","5,97,57,28,440.65","1,65,448"
21-Jun-2024,EQ,326.7,329.6,323.0,324.55,324.9,325.95,326.5,348.7,190.65,"1,72,09,541","5,61,88,95,316.95","1,58,874"
20-Jun-2024,EQ,327.5,328.3,322.3,327.3,325.4,324.55,324.12,348.7,190.65,"1,17,49,507","3,80,82,90,457.20","1,29,586"
19-Jun-2024,EQ,334.0,334.85,325.4,331.8,327.5,327.3,329.44,348.7,190.65,"1,42,35,150","4,68,95,78,366.50","1,25,073"
18-Jun-2024,EQ,322.0,332.5,322.0,321.5,331.55,331.8,329.42,348.7,190.65,"2,16,53,702","7,13,30,71,089.40","1,58,229"
14-Jun-2024,EQ,326.0,326.0,319.35,321.45,321.5,321.5,321.44,348.7,190.65,"1,41,59,988","4,55,15,44,611.60","1,54,678"
13-Jun-2024,EQ,327.0,327.95,320.65,324.65,321.3,321.45,322.7,348.7,190.65,"1,17,56,503","3,79,37,97,402.45","1,21,897"
12-Jun-2024,EQ,319.9,327.1,316.9,316.55,324.25,324.65,323.43,348.7,190.65,"2,03,46,144","6,58,05,86,964.80","2,05,204"
11-Jun-2024,EQ,316.2,319.7,315.15,315.8,316.95,316.55,317.25,348.7,190.65,"1,22,38,518","3,88,27,23,949.40","1,35,433"
10-Jun-2024,EQ,313.0,323.35,311.6,309.35,315.8,315.8,319.18,348.7,190.65,"2,54,78,964","8,13,24,13,902.75","2,17,389"
07-Jun-2024,EQ,298.05,310.65,296.8,300.45,309.85,309.35,306.37,348.7,190.65,"3,80,16,104","11,64,70,93,385.80","2,75,270"
06-Jun-2024,EQ,303.4,311.45,298.1,298.8,302.0,300.45,303.86,348.7,190.65,"3,65,08,044","11,09,32,77,896.20","3,81,929"
05-Jun-2024,EQ,296.3,301.05,279.2,295.95,298.5,298.8,290.35,348.7,190.65,"4,53,12,613","13,15,64,65,258.65","3,77,099"
04-Jun-2024,EQ,334.95,334.95,279.75,337.65,297.2,295.95,302.58,348.7,190.65,"7,32,62,478","22,16,79,98,396.75","5,79,864"
03-Jun-2024,EQ,335.0,348.7,325.6,310.0,338.0,337.65,338.01,348.7,190.65,"5,52,18,939","18,66,44,13,584.80","4,93,080"
31-May-2024,EQ,308.55,311.5,305.7,306.7,309.0,310.0,309.16,327.75,190.65,"3,69,29,443","11,41,70,08,648.25","2,82,786"
30-May-2024,EQ,314.6,317.65,303.8,317.7,308.95,306.7,308.96,327.75,190.65,"2,27,68,893","7,03,46,30,018.35","2,06,450"
29-May-2024,EQ,309.1,318.7,309.1,312.8,316.85,317.7,316.2,327.75,190.65,"1,68,12,268","5,31,60,11,199.00","1,58,122"
28-May-2024,EQ,319.0,319.5,312.0,317.95,312.75,312.8,314.58,327.75,190.65,"1,09,35,739","3,44,01,76,270.40","1,18,937"
27-May-2024,EQ,321.5,321.5,314.5,318.8,317.5,317.95,318.33,327.75,190.65,"1,28,57,918","4,09,30,84,192.95","1,53,200"
24-May-2024,EQ,318.0,322.95,317.4,319.9,319.05,318.8,320.12,327.75,190.65,"1,50,58,182","4,82,03,61,062.55","1,97,240"
23-May-2024,EQ,319.45,320.7,309.0,325.75,319.0,319.9,315.17,327.75,190.65,"3,57,05,284","11,25,32,69,789.90","2,86,351"
22-May-2024,EQ,327.75,327.75,320.2,325.65,326.0,325.75,324.1,327.75,190.65,"1,02,87,081","3,33,40,19,349.90","1,18,782"
21-May-2024,EQ,311.0,327.45,311.0,316.9,325.0,325.65,322.78,327.45,190.65,"2,19,76,662","7,09,36,30,009.00","2,31,340"
18-May-2024,EQ,315.85,318.25,315.0,313.15,316.0,316.9,316.95,318.25,190.65,"15,06,930","47,76,21,791.35","16,327"
17-May-2024,EQ,314.9,316.0,310.75,312.5,313.75,313.15,313.65,317.25,190.65,"90,69,551","2,84,46,48,148.45","96,203"
16-May-2024,EQ,314.5,315.6,305.3,314.85,312.3,312.5,310.69,317.25,190.65,"1,98,43,532","6,16,51,03,972.75","1,83,541"
15-May-2024,EQ,310.0,316.3,308.85,309.25,314.35,314.85,312.71,317.25,190.65,"1,13,97,656","3,56,41,44,357.45","1,16,277"
14-May-2024,EQ,308.0,313.0,307.75,306.55,309.35,309.25,310.51,317.25,190.65,"99,57,875","3,09,20,41,752.65","1,04,293"
13-May-2024,EQ,304.2,307.65,297.6,303.75,306.5,306.55,303.3,317.25,190.65,"1,17,10,605","3,55,18,53,831.25","1,21,718"
10-May-2024,EQ,296.25,304.45,296.25,296.15,303.4,303.75,301.81,317.25,190.65,"1,17,86,977","3,55,74,46,271.60","1,22,181"
09-May-2024,EQ,302.75,304.35,295.25,302.0,296.0,296.15,299.16,317.25,190.65,"1,11,96,567","3,34,95,59,063.40","1,49,575"
08-May-2024,EQ,292.0,302.85,292.0,295.25,301.25,302.0,298.27,317.25,190.65,"1,87,54,452","5,59,39,78,897.70","1,40,479"
07-May-2024,EQ,307.0,308.3,294.5,306.85,295.65,295.25,298.09,317.25,190.65,"1,38,57,464","4,13,07,59,861.15","1,65,787"
06-May-2024,EQ,310.2,310.8,303.1,310.85,308.35,306.85,306.57,317.25,190.65,"1,68,55,909","5,16,74,63,595.00","1,96,894"
03-May-2024,EQ,312.0,316.1,308.25,313.6,310.4,310.85,312.06,317.25,190.65,"2,70,74,447","8,44,89,76,606.00","2,44,109"
02-May-2024,EQ,301.95,317.25,301.85,301.85,313.05,313.6,312.82,317.25,190.65,"4,40,59,506","13,78,24,78,823.65","4,42,244"
30-Apr-2024,EQ,293.7,304.35,293.05,293.7,301.85,301.85,300.15,304.35,190.65,"3,32,88,857","9,99,16,06,827.90","2,01,069"
29-Apr-2024,EQ,292.3,294.6,289.6,292.25,293.85,293.7,292.32,298.9,190.65,"98,04,396","2,86,60,23,246.40","87,927"
26-Apr-2024,EQ,294.25,296.15,291.45,293.3,292.25,292.25,293.61,298.9,190.65,"1,55,81,578","4,57,48,49,141.40","2,59,724"
25-Apr-2024,EQ,292.0,294.5,289.25,290.4,292.05,293.3,292.44,298.9,190.65,"2,20,22,414","6,44,01,51,768.65","1,73,180"
24-Apr-2024,EQ,285.0,291.85,284.4,285.35,290.1,290.4,289.31,298.9,190.65,"1,93,24,163","5,59,07,34,971.80","1,57,506"
23-Apr-2024,EQ,283.65,287.15,280.7,283.65,285.0,285.35,283.9,298.9,190.65,"1,14,64,036","3,25,46,42,718.35","1,19,345"
22-Apr-2024,EQ,284.0,284.7,281.7,281.65,284.0,283.65,283.47,298.9,190.65,"1,49,65,203","4,24,21,82,458.55","1,03,839"
19-Apr-2024,EQ,278.1,282.25,274.7,280.1,281.0,281.65,279.74,298.9,190.65,"1,87,55,469","5,24,65,79,502.30","1,61,495"
18-Apr-2024,EQ,287.9,289.9,277.7,274.25,281.3,280.1,282.27,298.9,190.65,"5,10,39,603","14,40,69,20,994.55","2,73,115"
16-Apr-2024,EQ,273.0,275.55,271.25,274.05,274.0,274.25,273.7,298.9,190.65,"96,62,195","2,64,45,76,462.20","79,711"
15-Apr-2024,EQ,270.25,276.2,268.4,275.25,274.15,274.05,273.08,298.9,190.65,"1,33,78,690","3,65,34,48,312.55","1,24,415"
12-Apr-2024,EQ,281.5,284.45,274.65,282.55,275.45,275.25,278.13,298.9,190.65,"1,77,31,780","4,93,18,00,554.80","1,42,346"
10-Apr-2024,EQ,280.0,285.35,280.0,281.2,282.3,282.55,283.07,298.9,190.65,"88,09,693","2,49,37,62,119.15","72,798"
09-Apr-2024,EQ,282.85,284.35,281.0,281.75,281.0,281.2,282.09,298.9,190.65,"57,80,865","1,63,07,08,263.65","50,352"
08-Apr-2024,EQ,280.55,284.2,279.05,278.4,281.5,281.75,282.14,298.9,190.65,"1,44,73,340","4,08,35,70,943.70","77,802"
05-Apr-2024,EQ,279.95,279.95,275.15,277.65,278.1,278.4,277.76,298.9,190.65,"93,08,711","2,58,56,22,674.45","85,275"
04-Apr-2024,EQ,282.8,286.7,275.05,280.1,277.85,277.65,280.12,298.9,190.65,"2,37,22,104","6,64,51,16,774.95","2,16,998"
03-Apr-2024,EQ,280.15,283.1,278.55,279.55,280.65,280.1,281.18,298.9,190.65,"1,44,99,308","4,07,68,99,245.80","1,17,820"
02-Apr-2024,EQ,279.25,281.7,278.5,280.15,279.7,279.55,279.72,298.9,190.65,"1,32,29,425","3,70,05,63,741.90","84,957"
01-Apr-2024,EQ,280.75,281.6,277.65,276.9,279.0,280.15,279.44,298.9,190.65,"89,45,400","2,49,96,74,664.95","81,443"
28-Mar-2024,EQ,272.0,279.5,271.65,270.25,277.35,276.9,276.26,298.9,190.65,"2,66,46,830","7,36,14,35,692.25","1,66,165"
27-Mar-2024,EQ,271.0,272.8,269.2,270.05,270.0,270.25,270.77,298.9,190.65,"1,80,94,214","4,89,93,10,930.05","1,14,482"
26-Mar-2024,EQ,270.1,274.1,266.1,275.75,270.5,270.05,270.08,298.9,190.65,"2,84,77,120","7,69,10,10,788.10","1,38,826"
22-Mar-2024,EQ,273.75,278.25,271.35,273.75,276.25,275.75,276.11,298.9,190.65,"2,20,97,588","6,10,12,71,307.55","1,75,129"
21-Mar-2024,EQ,267.8,274.5,267.1,264.65,273.6,273.75,271.64,298.9,190.65,"2,35,59,105","6,39,95,48,602.25","1,38,315"
20-Mar-2024,EQ,259.95,265.15,258.95,259.0,264.6,264.65,262.7,298.9,190.65,"1,13,08,487","2,97,06,83,348.10","1,37,194"
19-Mar-2024,EQ,262.15,266.5,258.3,264.9,259.0,259.0,260.8,298.9,190.65,"2,00,31,514","5,22,42,08,314.60","1,85,899"
18-Mar-2024,EQ,265.95,266.65,259.5,265.95,264.65,264.9,263.46,298.9,190.65,"1,24,23,655","3,27,31,84,030.80","1,48,056"
15-Mar-2024,EQ,268.1,272.0,257.65,266.35,266.3,265.95,264.13,298.9,190.65,"4,38,17,794","11,57,36,12,011.25","3,06,480"
14-Mar-2024,EQ,264.05,268.4,260.7,264.3,266.85,266.35,265.71,298.9,190.65,"2,60,05,940","6,91,00,66,139.60","2,28,246"
13-Mar-2024,EQ,283.3,283.9,261.8,285.15,265.0,264.3,269.61,298.9,190.65,"3,93,89,523","10,61,98,40,656.60","3,12,535"
12-Mar-2024,EQ,284.9,288.65,282.75,285.55,284.95,285.15,285.49,298.9,190.65,"1,79,06,155","5,11,20,86,441.45","1,35,987"
11-Mar-2024,EQ,288.4,291.95,284.4,292.65,284.85,285.55,287.26,298.9,190.65,"1,90,20,659","5,46,38,11,380.70","1,98,928"
07-Mar-2024,EQ,294.0,298.9,291.0,293.7,291.5,292.65,293.43,298.9,190.65,"1,49,08,694","4,37,46,93,233.80","2,06,509"
06-Mar-2024,EQ,290.3,294.9,286.5,295.0,293.85,293.7,290.54,297.0,190.65,"1,59,69,436","4,63,97,82,301.90","2,21,909"
05-Mar-2024,EQ,292.05,295.45,289.75,294.65,295.0,295.0,293.47,297.0,190.65,"1,32,20,556","3,87,98,26,567.90","1,90,436"
04-Mar-2024,EQ,288.0,297.0,288.0,286.85,294.6,294.65,294.22,297.0,190.65,"2,31,31,460","6,80,57,44,261.20","2,13,925"
02-Mar-2024,EQ,289.0,289.8,286.2,287.7,287.0,286.85,287.3,293.65,190.65,"4,94,394","14,20,40,857.30","7,250"
01-Mar-2024,EQ,285.0,289.4,284.6,282.85,287.1,287.7,287.57,293.65,190.65,"1,51,49,735","4,35,66,66,457.70","1,65,441"
29-Feb-2024,EQ,279.6,285.0,274.4,279.55,283.75,282.85,280.28,293.65,190.65,"3,50,43,015","9,82,17,85,636.95","2,49,502"
28-Feb-2024,EQ,291.5,293.65,278.4,292.5,280.15,279.55,286.18,293.65,190.65,"1,88,24,161","5,38,70,28,603.35","1,47,516"
27-Feb-2024,EQ,284.1,293.4,284.1,287.8,293.0,292.5,291.16,293.4,190.65,"3,65,10,093","10,63,02,47,600.70","2,43,639"
26-Feb-2024,EQ,282.95,291.5,282.05,281.95,287.55,287.8,287.8,291.5,190.65,"3,10,12,494","8,92,54,03,731.25","1,99,053"
23-Feb-2024,EQ,282.55,285.2,279.0,282.6,281.9,281.95,281.9,289.45,190.65,"1,43,13,526","4,03,50,24,953.20","1,35,622"
22-Feb-2024,EQ,280.1,283.5,273.25,280.1,281.7,282.6,277.98,289.45,190.65,"2,67,93,590","7,44,80,25,944.55","2,04,331"
21-Feb-2024,EQ,287.55,289.45,279.25,287.9,279.9,280.1,282.74,289.45,190.65,"2,46,51,085","6,96,98,88,514.75","1,61,443"
20-Feb-2024,EQ,278.35,288.75,277.7,276.35,288.4,287.9,286.05,289.4,190.65,"4,30,53,543","12,31,53,49,292.75","2,75,458"
19-Feb-2024,EQ,275.1,278.3,273.3,274.55,276.1,276.35,276.33,289.4,190.65,"1,14,29,901","3,15,84,11,004.25","94,228"
16-Feb-2024,EQ,282.0,282.9,273.3,281.65,274.5,274.55,276.63,289.4,190.65,"2,51,29,188","6,95,15,36,630.05","1,79,023"
15-Feb-2024,EQ,272.0,283.35,271.35,273.65,281.45,281.65,278.91,289.4,190.65,"2,54,75,670","7,10,53,79,128.10","1,76,451"
14-Feb-2024,EQ,269.5,275.0,267.0,270.25,274.05,273.65,271.13,289.4,190.65,"1,35,46,941","3,67,30,22,848.10","1,37,073"
13-Feb-2024,EQ,270.3,270.85,264.25,270.3,270.45,270.25,267.75,289.4,190.65,"2,20,31,847","5,89,89,98,438.90","1,53,593"
12-Feb-2024,EQ,273.2,276.0,266.25,273.0,270.25,270.3,270.67,289.4,190.65,"1,91,40,023","5,18,05,88,598.50","1,61,285"
09-Feb-2024,EQ,278.6,279.45,269.1,276.2,273.0,273.0,273.81,289.4,190.65,"2,44,96,638","6,70,73,75,156.20","1,73,265"
08-Feb-2024,EQ,270.8,288.05,270.8,267.95,276.0,276.2,281.05,289.4,190.65,"6,97,76,717","19,61,10,30,395.45","4,71,791"
07-Feb-2024,EQ,272.1,274.4,266.8,274.25,267.4,267.95,270.2,289.4,190.65,"2,73,35,466","7,38,61,78,334.20","2,20,578"
