Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,462.00","1,475.65","1,447.00","1,462.00","1,450.00","1,450.90","1,457.62","1,569.40","1,251.65","7,80,636","1,13,78,72,841.75","39,997"
25-Jun-2024,EQ,"1,457.40","1,467.50","1,430.00","1,452.75","1,459.50","1,462.00","1,450.81","1,569.40","1,251.65","18,45,922","2,67,80,73,028.45","1,11,810"
24-Jun-2024,EQ,"1,464.15","1,464.15","1,447.20","1,464.15","1,452.75","1,452.75","1,452.46","1,569.40","1,251.65","4,60,942","66,94,99,078.75","32,331"
21-Jun-2024,EQ,"1,455.50","1,478.55","1,445.15","1,455.50","1,463.35","1,464.15","1,467.36","1,569.40","1,251.65","11,84,387","1,73,79,17,389.90","53,833"
20-Jun-2024,EQ,"1,476.00","1,480.90","1,451.45","1,449.20","1,459.00","1,455.50","1,459.19","1,569.40","1,251.65","14,44,553","2,10,78,84,108.60","79,295"
19-Jun-2024,EQ,"1,478.35","1,478.40","1,446.15","1,473.55","1,450.00","1,449.20","1,457.65","1,569.40","1,251.65","5,78,983","84,39,55,738.95","38,594"
18-Jun-2024,EQ,"1,480.00","1,480.00","1,455.05","1,469.90","1,469.55","1,473.55","1,466.59","1,569.40","1,251.65","14,27,035","2,09,28,77,195.30","64,742"
14-Jun-2024,EQ,"1,444.90","1,473.75","1,440.60","1,449.90","1,467.00","1,469.90","1,462.16","1,569.40","1,227.65","8,56,835","1,25,28,32,017.30","55,803"
13-Jun-2024,EQ,"1,459.65","1,479.45","1,432.85","1,452.70","1,445.60","1,449.90","1,452.25","1,569.40","1,227.65","30,86,173","4,48,18,99,666.10","1,36,150"
12-Jun-2024,EQ,"1,428.10","1,461.80","1,425.80","1,428.05","1,452.95","1,452.70","1,447.33","1,569.40","1,227.65","18,23,958","2,63,98,63,950.75","75,445"
11-Jun-2024,EQ,"1,432.45","1,439.80","1,422.00","1,432.30","1,432.00","1,428.05","1,429.53","1,569.40","1,227.65","9,91,450","1,41,73,09,519.20","71,301"
10-Jun-2024,EQ,"1,436.85","1,452.00","1,418.35","1,425.85","1,429.50","1,432.30","1,433.16","1,569.40","1,227.65","20,59,288","2,95,12,92,798.55","60,249"
07-Jun-2024,EQ,"1,435.10","1,440.00","1,420.00","1,442.85","1,427.95","1,425.85","1,424.67","1,569.40","1,205.00","12,79,929","1,82,34,77,789.35","59,165"
06-Jun-2024,EQ,"1,390.10","1,445.80","1,380.25","1,390.10","1,438.45","1,442.85","1,428.75","1,569.40","1,205.00","22,27,021","3,18,18,56,708.05","1,28,852"
05-Jun-2024,EQ,"1,341.00","1,396.20","1,330.70","1,338.85","1,385.00","1,390.10","1,375.18","1,569.40","1,205.00","12,38,176","1,70,27,17,034.25","1,17,620"
04-Jun-2024,EQ,"1,398.15","1,402.70","1,307.70","1,391.50","1,332.55","1,338.85","1,354.71","1,569.40","1,205.00","32,77,433","4,43,99,57,895.40","2,34,267"
03-Jun-2024,EQ,"1,435.30","1,436.40","1,387.35","1,386.40","1,390.70","1,391.50","1,398.01","1,569.40","1,205.00","8,70,693","1,21,72,38,132.65","68,442"
31-May-2024,EQ,"1,393.80","1,401.15","1,372.60","1,380.05","1,388.90","1,386.40","1,387.14","1,569.40","1,197.10","25,59,060","3,54,97,68,068.85","1,12,822"
30-May-2024,EQ,"1,418.80","1,418.80","1,371.00","1,412.80","1,385.00","1,380.05","1,386.41","1,569.40","1,197.10","20,97,166","2,90,75,42,064.80","1,20,196"
29-May-2024,EQ,"1,448.00","1,449.45","1,406.60","1,450.75","1,414.00","1,412.80","1,416.88","1,569.40","1,197.10","15,18,325","2,15,12,84,437.30","71,515"
28-May-2024,EQ,"1,415.00","1,455.00","1,405.90","1,410.20","1,452.00","1,450.75","1,437.90","1,569.40","1,197.10","16,00,105","2,30,07,94,084.25","72,324"
27-May-2024,EQ,"1,435.00","1,448.00","1,402.15","1,436.25","1,407.00","1,410.20","1,425.13","1,569.40","1,197.10","16,75,749","2,38,81,52,727.10","43,824"
24-May-2024,EQ,"1,442.50","1,448.45","1,433.45","1,446.80","1,437.00","1,436.25","1,441.23","1,569.40","1,144.85","4,87,961","70,32,64,652.90","25,959"
23-May-2024,EQ,"1,434.00","1,452.95","1,424.05","1,427.40","1,443.00","1,446.80","1,444.52","1,569.40","1,144.85","12,06,423","1,74,27,01,025.55","84,573"
22-May-2024,EQ,"1,434.25","1,435.55","1,424.00","1,429.65","1,425.65","1,427.40","1,427.65","1,569.40","1,144.85","9,66,583","1,37,99,47,023.45","38,975"
21-May-2024,EQ,"1,438.85","1,440.70","1,422.50","1,439.85","1,426.70","1,429.65","1,427.67","1,569.40","1,144.85","13,00,334","1,85,64,41,479.65","64,902"
18-May-2024,EQ,"1,434.00","1,444.10","1,430.50","1,434.20","1,434.75","1,439.85","1,438.11","1,569.40","1,142.55","29,747","4,27,79,531.90","2,199"
17-May-2024,EQ,"1,450.00","1,450.00","1,430.50","1,452.20","1,433.95","1,434.20","1,440.32","1,569.40","1,142.55","24,33,315","3,50,47,60,604.15","49,973"
16-May-2024,EQ,"1,431.55","1,458.20","1,420.15","1,430.10","1,450.20","1,452.20","1,438.01","1,569.40","1,142.55","11,76,239","1,69,14,41,620.65","93,596"
15-May-2024,EQ,"1,440.00","1,443.85","1,425.75","1,432.85","1,428.80","1,430.10","1,433.64","1,569.40","1,142.55","2,54,646","36,50,71,133.15","23,440"
