Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,839.85,848.8,836.0,842.25,844.25,845.35,843.76,912.0,543.2,"1,62,81,760","13,73,78,68,669.05","2,36,219"
25-Jun-2024,EQ,837.0,845.85,834.3,832.7,841.95,842.25,841.3,912.0,543.2,"2,09,17,530","17,59,78,95,341.85","2,78,788"
24-Jun-2024,EQ,831.5,836.0,821.05,836.3,833.5,832.7,829.99,912.0,543.2,"1,27,15,254","10,55,35,68,351.95","2,29,601"
21-Jun-2024,EQ,844.9,848.05,828.6,843.75,834.45,836.3,837.22,912.0,543.2,"1,89,90,090","15,89,88,75,069.30","3,05,592"
20-Jun-2024,EQ,853.0,853.1,842.35,852.6,844.9,843.75,846.89,912.0,543.2,"1,39,85,352","11,84,41,05,365.70","2,14,049"
19-Jun-2024,EQ,846.8,860.6,841.0,844.9,854.3,852.6,850.68,912.0,543.2,"3,29,25,140","28,00,86,46,934.95","3,94,742"
18-Jun-2024,EQ,841.55,851.5,840.25,839.2,845.3,844.9,847.17,912.0,543.2,"1,49,29,083","12,64,75,06,030.85","2,41,973"
14-Jun-2024,EQ,845.0,849.9,835.1,843.9,839.2,839.2,841.9,912.0,543.2,"1,29,03,496","10,86,34,38,124.70","2,06,549"
13-Jun-2024,EQ,845.0,845.9,836.1,839.1,844.95,843.9,842.29,912.0,543.2,"1,25,23,972","10,54,88,43,617.45","1,85,661"
12-Jun-2024,EQ,837.0,845.55,833.0,835.55,838.85,839.1,840.25,912.0,543.2,"1,50,71,442","12,66,38,19,955.65","2,47,749"
11-Jun-2024,EQ,836.0,839.6,829.05,831.8,835.5,835.55,835.28,912.0,543.2,"1,47,54,408","12,32,40,05,252.55","2,23,238"
10-Jun-2024,EQ,834.15,845.45,829.2,829.95,830.8,831.8,837.18,912.0,543.2,"1,67,25,508","14,00,22,92,421.20","2,83,108"
07-Jun-2024,EQ,819.9,831.5,810.5,816.95,829.25,829.95,823.33,912.0,543.2,"2,50,61,284","20,63,38,08,796.00","3,46,989"
06-Jun-2024,EQ,800.0,833.35,796.0,789.75,817.0,816.95,818.98,912.0,543.2,"4,05,55,649","33,21,41,56,708.95","6,11,412"
05-Jun-2024,EQ,790.75,795.0,744.05,775.2,787.55,789.75,771.2,912.0,543.2,"7,42,56,082","57,26,65,40,264.65","11,47,451"
04-Jun-2024,EQ,897.0,897.0,731.95,905.65,784.6,775.2,803.85,912.0,543.2,"12,23,81,193","98,37,57,60,977.65","19,04,773"
03-Jun-2024,EQ,863.55,912.0,856.75,830.35,909.05,905.65,890.2,912.0,543.2,"6,42,69,020","57,21,23,26,883.50","12,42,769"
31-May-2024,EQ,830.7,835.0,817.1,825.85,832.25,830.35,827.92,841.25,543.2,"2,22,67,336","18,43,55,62,035.65","3,13,614"
30-May-2024,EQ,821.4,836.0,819.3,822.65,828.9,825.85,828.27,841.25,543.2,"1,78,18,705","14,75,86,26,273.60","4,38,243"
29-May-2024,EQ,828.4,834.45,819.3,831.15,825.0,822.65,825.29,841.25,543.2,"1,45,18,232","11,98,17,97,386.95","2,43,373"
28-May-2024,EQ,835.7,840.7,823.3,833.7,830.8,831.15,832.45,841.25,543.2,"1,38,18,893","11,50,35,19,499.10","2,06,371"
27-May-2024,EQ,832.6,839.4,823.0,828.6,833.35,833.7,833.52,841.25,543.2,"1,22,95,193","10,24,83,01,213.70","2,19,095"
24-May-2024,EQ,830.0,841.25,827.0,832.1,828.0,828.6,835.17,841.25,543.2,"1,22,52,075","10,23,25,81,868.55","2,36,666"
23-May-2024,EQ,824.7,835.5,822.0,818.75,829.85,832.1,830.11,839.65,543.2,"1,74,97,488","14,52,48,11,082.60","2,97,207"
22-May-2024,EQ,826.55,826.65,813.55,830.65,818.75,818.75,819.27,839.65,543.2,"1,92,39,277","15,76,21,79,196.85","3,03,784"
21-May-2024,EQ,821.0,836.3,819.6,821.0,830.0,830.65,830.06,839.65,543.2,"1,40,37,801","11,65,21,54,522.45","2,99,301"
18-May-2024,EQ,822.0,823.0,819.2,817.85,821.5,821.0,820.96,839.65,543.2,"9,60,453","78,84,96,867.55","18,745"
17-May-2024,EQ,814.5,822.45,811.2,811.95,817.35,817.85,817.69,839.65,543.2,"1,24,92,509","10,21,49,79,481.60","2,38,755"
16-May-2024,EQ,825.3,826.15,797.35,820.3,812.3,811.95,810.77,839.65,543.2,"2,05,36,990","16,65,08,76,495.95","3,98,702"
15-May-2024,EQ,821.0,825.3,818.05,818.2,820.7,820.3,821.25,839.65,543.2,"97,55,062","8,01,13,23,408.05","1,84,595"
