Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"2,985.80","3,059.45","2,958.60","2,989.85","2,990.00","2,989.05","3,014.81","3,059.45","1,642.25","18,06,445","5,44,60,83,194.95","1,36,484"
25-Jun-2024,EQ,"2,883.25","3,000.00","2,861.65","2,882.25","2,996.00","2,989.85","2,946.20","3,000.00","1,642.25","31,68,975","9,33,64,37,071.20","1,73,061"
24-Jun-2024,EQ,"2,819.30","2,890.00","2,779.85","2,821.65","2,883.00","2,882.25","2,856.65","2,890.00","1,642.25","10,73,571","3,06,68,18,007.45","74,374"
21-Jun-2024,EQ,"2,810.00","2,842.00","2,795.00","2,805.20","2,827.55","2,821.65","2,824.31","2,854.50","1,452.80","19,34,468","5,46,35,30,203.10","83,565"
20-Jun-2024,EQ,"2,804.55","2,854.50","2,764.75","2,791.25","2,810.00","2,805.20","2,812.51","2,854.50","1,452.80","13,89,762","3,90,87,18,244.95","97,265"
19-Jun-2024,EQ,"2,829.80","2,831.00","2,760.00","2,829.75","2,797.00","2,791.25","2,797.92","2,841.15","1,452.80","18,35,027","5,13,42,51,816.50","1,03,874"
18-Jun-2024,EQ,"2,748.95","2,841.15","2,732.35","2,732.15","2,820.00","2,829.75","2,791.83","2,841.15","1,452.80","24,78,641","6,91,99,34,897.20","1,27,536"
14-Jun-2024,EQ,"2,712.00","2,747.00","2,695.05","2,684.30","2,731.25","2,732.15","2,731.25","2,747.00","1,390.10","30,63,685","8,36,76,80,161.45","1,38,030"
13-Jun-2024,EQ,"2,592.00","2,697.65","2,581.10","2,566.95","2,693.25","2,684.30","2,646.35","2,697.65","1,390.10","20,04,491","5,30,45,74,932.25","1,23,280"
12-Jun-2024,EQ,"2,534.75","2,583.45","2,530.55","2,533.00","2,563.80","2,566.95","2,565.63","2,658.00","1,390.10","7,02,073","1,80,12,56,468.60","50,679"
11-Jun-2024,EQ,"2,514.95","2,552.05","2,490.00","2,519.10","2,532.95","2,533.00","2,524.76","2,658.00","1,390.10","9,36,270","2,36,38,57,837.85","98,310"
10-Jun-2024,EQ,"2,510.00","2,552.50","2,485.20","2,497.95","2,508.00","2,519.10","2,516.91","2,658.00","1,390.10","9,69,804","2,44,09,12,508.55","65,013"
07-Jun-2024,EQ,"2,479.35","2,506.95","2,460.05","2,474.80","2,488.00","2,497.95","2,489.37","2,658.00","1,385.75","7,41,378","1,84,55,63,001.50","74,697"
06-Jun-2024,EQ,"2,430.00","2,535.00","2,400.05","2,387.45","2,476.00","2,474.80","2,477.33","2,658.00","1,385.75","21,00,297","5,20,31,31,497.90","1,78,381"
05-Jun-2024,EQ,"2,241.90","2,397.90","2,230.00","2,260.70","2,378.95","2,387.45","2,320.93","2,658.00","1,385.75","14,22,819","3,30,22,59,265.05","1,03,068"
04-Jun-2024,EQ,"2,540.00","2,540.00","2,193.00","2,509.15","2,280.00","2,260.70","2,327.32","2,658.00","1,385.75","35,57,725","8,27,99,67,083.55","2,60,594"
03-Jun-2024,EQ,"2,450.00","2,546.95","2,425.25","2,354.05","2,517.00","2,509.15","2,514.47","2,658.00","1,385.75","30,32,359","7,62,47,65,037.40","1,76,827"
31-May-2024,EQ,"2,318.90","2,387.35","2,313.65","2,302.70","2,385.00","2,354.05","2,349.16","2,658.00","1,383.60","25,83,291","6,06,85,58,893.55","96,318"
30-May-2024,EQ,"2,366.00","2,380.00","2,292.00","2,374.65","2,310.00","2,302.70","2,314.08","2,658.00","1,383.60","13,37,633","3,09,53,89,456.35","1,01,403"
29-May-2024,EQ,"2,375.05","2,397.65","2,358.00","2,393.70","2,376.00","2,374.65","2,379.41","2,658.00","1,383.60","4,39,586","1,04,59,57,374.95","31,340"
28-May-2024,EQ,"2,390.00","2,433.00","2,375.00","2,380.00","2,391.15","2,393.70","2,395.44","2,658.00","1,383.60","12,98,782","3,11,11,48,699.70","76,868"
