Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,502.00","1,528.90","1,495.25","1,505.20","1,524.00","1,521.15","1,510.78","1,638.85",986.0,"25,63,493","3,87,28,77,737.80","1,08,566"
25-Jun-2024,EQ,"1,498.05","1,508.00","1,492.30","1,494.50","1,501.50","1,505.20","1,500.79","1,638.85",986.0,"18,33,311","2,75,14,10,848.15","1,16,521"
24-Jun-2024,EQ,"1,475.05","1,502.90","1,475.05","1,467.25","1,496.40","1,494.50","1,493.30","1,638.85",986.0,"37,26,155","5,56,42,84,348.55","1,28,529"
21-Jun-2024,EQ,"1,480.10","1,488.00","1,460.90","1,471.00","1,466.85","1,467.25","1,472.19","1,638.85",977.3,"44,26,556","6,51,67,52,630.25","2,17,835"
20-Jun-2024,EQ,"1,487.95","1,487.95","1,467.00","1,504.00","1,477.00","1,471.00","1,475.59","1,638.85",977.3,"41,68,375","6,15,08,20,394.75","2,26,904"
19-Jun-2024,EQ,"1,524.95","1,529.85","1,500.00","1,520.95","1,505.00","1,504.00","1,513.64","1,638.85",977.3,"15,37,367","2,32,70,16,599.20","87,658"
18-Jun-2024,EQ,"1,522.60","1,522.85","1,510.20","1,516.00","1,518.00","1,520.95","1,517.71","1,638.85",977.3,"14,78,241","2,24,35,41,300.60","55,280"
14-Jun-2024,EQ,"1,513.85","1,518.00","1,505.55","1,510.80","1,515.00","1,516.00","1,514.34","1,638.85",977.3,"9,37,490","1,41,96,81,026.15","71,782"
13-Jun-2024,EQ,"1,514.60","1,514.60","1,498.00","1,506.85","1,510.00","1,510.80","1,507.38","1,638.85",977.3,"14,12,477","2,12,91,33,008.70","75,717"
12-Jun-2024,EQ,"1,500.00","1,514.55","1,495.85","1,499.75","1,504.00","1,506.85","1,507.60","1,638.85",977.3,"9,94,784","1,49,97,41,290.50","1,00,301"
11-Jun-2024,EQ,"1,524.00","1,525.00","1,497.35","1,513.10","1,501.60","1,499.75","1,507.09","1,638.85",977.3,"14,41,589","2,17,26,04,680.10","65,017"
10-Jun-2024,EQ,"1,519.00","1,521.70","1,505.10","1,506.85","1,510.00","1,513.10","1,513.71","1,638.85",977.3,"14,33,942","2,17,05,78,866.80","61,394"
07-Jun-2024,EQ,"1,479.90","1,510.10","1,472.15","1,472.70","1,506.70","1,506.85","1,498.09","1,638.85",977.3,"34,04,664","5,10,04,95,605.75","1,19,589"
06-Jun-2024,EQ,"1,494.00","1,494.00","1,455.05","1,487.30","1,474.30","1,472.70","1,467.21","1,638.85",977.3,"30,04,955","4,40,88,90,433.50","1,88,791"
05-Jun-2024,EQ,"1,449.70","1,490.00","1,432.00","1,429.85","1,485.00","1,487.30","1,476.29","1,638.85",977.3,"24,87,724","3,67,25,91,073.05","1,27,616"
04-Jun-2024,EQ,"1,461.60","1,476.30","1,377.20","1,453.05","1,453.80","1,429.85","1,441.96","1,638.85",977.3,"50,55,952","7,29,04,94,008.45","1,76,500"
03-Jun-2024,EQ,"1,496.50","1,498.00","1,451.00","1,459.80","1,455.20","1,453.05","1,464.30","1,638.85",977.3,"18,55,318","2,71,67,48,904.90","1,13,939"
31-May-2024,EQ,"1,465.00","1,479.40","1,440.00","1,459.10","1,463.00","1,459.80","1,455.97","1,638.85",946.4,"55,03,924","8,01,35,26,357.25","1,76,545"
30-May-2024,EQ,"1,476.00","1,477.40","1,449.50","1,478.95","1,465.20","1,459.10","1,460.02","1,638.85",946.4,"31,33,423","4,57,48,60,466.20","1,54,865"
29-May-2024,EQ,"1,468.10","1,495.00","1,465.65","1,464.90","1,473.00","1,478.95","1,481.10","1,638.85",946.4,"28,43,365","4,21,13,11,106.55","1,08,789"
28-May-2024,EQ,"1,468.95","1,479.10","1,455.95","1,466.05","1,466.80","1,464.90","1,465.62","1,638.85",946.4,"26,16,438","3,83,47,11,517.30","1,29,797"
27-May-2024,EQ,"1,486.70","1,501.00","1,460.55","1,486.70","1,470.30","1,466.05","1,476.38","1,638.85",946.4,"34,74,806","5,13,01,28,725.20","1,55,915"
24-May-2024,EQ,"1,504.00","1,505.70","1,477.10","1,495.10","1,487.00","1,486.70","1,486.86","1,638.85",922.85,"53,07,322","7,89,12,34,458.40","1,67,837"
23-May-2024,EQ,"1,510.00","1,510.00","1,467.00","1,539.30","1,497.55","1,495.10","1,485.75","1,638.85",922.85,"1,16,18,479","17,26,20,97,838.55","3,17,843"
22-May-2024,EQ,"1,547.00","1,564.00","1,505.40","1,540.95","1,564.00","1,539.30","1,528.09","1,638.85",922.85,"39,48,239","6,03,32,47,662.15","1,29,764"
21-May-2024,EQ,"1,530.00","1,558.30","1,524.00","1,531.90","1,533.00","1,540.95","1,541.48","1,638.85",922.85,"17,91,791","2,76,20,06,768.40","97,633"
18-May-2024,EQ,"1,531.40","1,538.70","1,523.35","1,531.40","1,534.00","1,531.90","1,531.17","1,638.85",922.45,"51,458","7,87,91,037.75","4,174"
17-May-2024,EQ,"1,536.00","1,537.30","1,520.15","1,536.30","1,529.05","1,531.40","1,531.02","1,638.85",922.45,"13,41,676","2,05,41,35,699.00","87,488"
16-May-2024,EQ,"1,529.00","1,541.15","1,508.30","1,527.40","1,530.05","1,536.30","1,523.54","1,638.85",922.45,"26,84,392","4,08,97,66,702.80","1,48,462"
15-May-2024,EQ,"1,545.25","1,550.25","1,520.35","1,545.25","1,527.00","1,527.40","1,527.66","1,638.85",922.45,"12,07,536","1,84,47,06,466.75","91,231"
14-May-2024,EQ,"1,525.00","1,547.95","1,516.05","1,525.05","1,545.80","1,545.25","1,539.66","1,638.85",922.45,"22,06,236","3,39,68,58,379.25","1,29,183"
13-May-2024,EQ,"1,513.00","1,530.00","1,502.00","1,506.55","1,525.00","1,525.05","1,515.27","1,638.85",922.45,"16,28,326","2,46,73,46,859.10","99,352"
10-May-2024,EQ,"1,494.65","1,526.45","1,491.00","1,494.65","1,505.05","1,506.55","1,507.32","1,638.85",922.45,"15,28,487","2,30,39,22,244.05","1,00,233"
09-May-2024,EQ,"1,521.20","1,529.95","1,489.80","1,521.75","1,499.80","1,494.65","1,503.17","1,638.85",922.45,"14,77,007","2,22,01,85,917.65","1,28,337"
08-May-2024,EQ,"1,510.00","1,525.80","1,502.25","1,515.35","1,521.20","1,521.75","1,518.69","1,638.85",922.45,"10,26,357","1,55,87,19,428.50","75,124"
07-May-2024,EQ,"1,535.95","1,543.15","1,510.10","1,529.15","1,513.45","1,515.35","1,525.87","1,638.85",922.45,"15,32,550","2,33,84,71,832.30","89,794"
06-May-2024,EQ,"1,518.00","1,534.00","1,508.75","1,511.15","1,529.95","1,529.15","1,526.18","1,638.85",922.45,"12,40,626","1,89,34,19,632.05","76,294"
03-May-2024,EQ,"1,527.00","1,537.00","1,501.50","1,519.00","1,507.10","1,511.15","1,514.93","1,638.85",922.45,"31,83,226","4,82,23,56,300.40","1,24,258"
02-May-2024,EQ,"1,503.00","1,530.00","1,502.00","1,502.10","1,518.45","1,519.00","1,521.46","1,638.85",922.45,"24,94,925","3,79,59,27,808.35","1,52,176"
30-Apr-2024,EQ,"1,527.00","1,529.15","1,497.00","1,521.60","1,498.60","1,502.10","1,510.72","1,638.85",922.45,"19,91,646","3,00,88,14,733.75","1,24,955"
29-Apr-2024,EQ,"1,516.00","1,527.80","1,510.05","1,506.55","1,522.00","1,521.60","1,521.54","1,638.85",922.45,"10,91,667","1,66,10,10,858.60","64,984"
26-Apr-2024,EQ,"1,531.00","1,532.00","1,500.05","1,520.15","1,516.00","1,506.55","1,508.52","1,638.85",922.45,"17,94,350","2,70,68,17,601.05","1,18,735"
25-Apr-2024,EQ,"1,490.00","1,527.30","1,488.65","1,485.75","1,517.30","1,520.15","1,511.54","1,638.85",922.45,"38,46,327","5,81,38,67,991.00","1,65,102"
24-Apr-2024,EQ,"1,484.65","1,503.00","1,479.35","1,484.65","1,490.00","1,485.75","1,490.46","1,638.85",922.45,"46,52,803","6,93,48,30,346.55","1,82,243"
23-Apr-2024,EQ,"1,562.00","1,562.45","1,477.70","1,540.10","1,485.30","1,484.65","1,494.65","1,638.85",922.45,"91,60,422","13,69,16,43,198.25","3,12,967"
22-Apr-2024,EQ,"1,528.45","1,548.00","1,521.95","1,522.80","1,547.00","1,540.10","1,533.02","1,638.85",922.45,"16,80,307","2,57,59,40,825.00","98,519"
19-Apr-2024,EQ,"1,505.00","1,528.30","1,503.70","1,516.40","1,524.00","1,522.80","1,515.07","1,638.85",922.45,"25,36,516","3,84,29,88,704.30","1,98,514"
18-Apr-2024,EQ,"1,545.55","1,545.55","1,506.45","1,537.55","1,524.80","1,516.40","1,526.80","1,638.85",922.45,"32,66,796","4,98,77,41,435.65","2,16,739"
