Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,095.05","1,099.80","1,083.10","1,094.60","1,089.30","1,086.90","1,087.90","1,269.00",822.0,"10,03,738","1,09,19,68,273.30","62,830"
25-Jun-2024,EQ,"1,108.15","1,108.20","1,090.00","1,101.95","1,094.50","1,094.60","1,096.69","1,269.00",822.0,"9,32,314","1,02,24,57,522.90","51,047"
24-Jun-2024,EQ,"1,080.15","1,104.00","1,077.15","1,084.90","1,103.90","1,101.95","1,095.54","1,269.00",822.0,"9,12,255","99,94,08,675.25","42,497"
21-Jun-2024,EQ,"1,103.30","1,105.00","1,081.80","1,103.25","1,085.00","1,084.90","1,089.81","1,269.00",822.0,"16,34,958","1,78,18,01,400.35","59,806"
20-Jun-2024,EQ,"1,108.05","1,108.35","1,096.10","1,105.60","1,103.05","1,103.25","1,100.69","1,269.00",822.0,"12,23,872","1,34,70,98,206.70","72,536"
19-Jun-2024,EQ,"1,129.70","1,130.90","1,103.00","1,126.90","1,104.70","1,105.60","1,114.25","1,269.00",822.0,"12,01,455","1,33,87,26,887.60","53,806"
18-Jun-2024,EQ,"1,112.45","1,128.30","1,112.45","1,112.45","1,125.95","1,126.90","1,123.49","1,269.00",822.0,"11,61,864","1,30,53,41,335.15","38,089"
14-Jun-2024,EQ,"1,114.60","1,124.95","1,110.10","1,114.60","1,112.70","1,112.45","1,117.70","1,269.00",799.35,"11,07,470","1,23,78,14,739.65","47,773"
13-Jun-2024,EQ,"1,130.00","1,133.00","1,104.05","1,124.65","1,114.00","1,114.60","1,113.13","1,269.00",799.35,"16,05,436","1,78,70,64,371.80","68,019"
12-Jun-2024,EQ,"1,142.00","1,142.00","1,123.50","1,135.60","1,125.25","1,124.65","1,129.69","1,269.00",799.35,"7,73,116","87,33,80,836.60","38,797"
11-Jun-2024,EQ,"1,133.05","1,144.80","1,126.70","1,133.05","1,134.85","1,135.60","1,138.57","1,269.00",799.35,"8,05,013","91,65,65,518.75","35,213"
10-Jun-2024,EQ,"1,139.00","1,143.45","1,125.65","1,135.65","1,130.00","1,133.05","1,136.34","1,269.00",799.35,"13,92,359","1,58,21,90,228.30","50,902"
