Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,175.68,176.0,171.84,175.68,172.8,172.56,172.87,184.6,108.1,"4,40,06,436","7,60,71,81,995.48","3,46,807"
25-Jun-2024,EQ,177.99,179.0,175.25,177.96,175.86,175.68,176.61,184.6,108.1,"3,05,99,989","5,40,41,51,626.85","3,25,368"
24-Jun-2024,EQ,177.44,178.95,175.1,179.94,177.8,177.96,177.26,184.6,108.1,"4,75,97,307","8,43,70,45,247.90","3,14,462"
21-Jun-2024,EQ,179.4,180.9,178.18,182.28,179.94,179.94,179.76,184.6,108.1,"6,54,94,855","11,77,36,31,523.51","2,84,687"
20-Jun-2024,EQ,181.6,182.95,179.37,180.02,182.75,182.28,181.91,184.6,108.1,"3,88,37,494","7,06,48,44,872.79","2,78,129"
19-Jun-2024,EQ,182.45,182.49,179.31,181.12,180.07,180.02,180.63,184.6,108.1,"2,74,76,795","4,96,31,57,445.21","1,97,494"
18-Jun-2024,EQ,183.8,184.6,180.6,183.15,181.25,181.12,182.12,184.6,108.1,"3,50,32,118","6,37,98,81,671.57","2,95,636"
14-Jun-2024,EQ,182.95,183.5,181.4,182.56,182.9,183.15,182.61,184.1,108.1,"2,85,09,237","5,20,59,31,798.41","2,32,292"
13-Jun-2024,EQ,183.4,184.1,180.51,182.23,182.5,182.56,182.23,184.1,108.1,"3,66,69,164","6,68,21,15,954.32","3,32,013"
12-Jun-2024,EQ,182.25,183.87,181.5,181.33,182.47,182.23,182.95,183.87,108.1,"3,33,04,643","6,09,30,95,872.19","2,54,524"
11-Jun-2024,EQ,180.5,183.75,180.5,180.29,181.6,181.33,182.06,183.75,108.1,"5,55,55,544","10,11,46,35,970.89","3,24,246"
10-Jun-2024,EQ,180.21,182.1,177.36,178.9,180.45,180.29,180.4,182.1,108.1,"7,42,86,848","13,40,10,77,404.61","3,20,294"
07-Jun-2024,EQ,172.0,179.65,170.8,172.05,178.85,178.9,177.14,179.65,107.8,"8,43,19,867","14,93,61,04,189.40","4,88,851"
06-Jun-2024,EQ,170.0,174.7,169.4,169.2,172.15,172.05,172.34,177.7,107.8,"5,79,20,819","9,98,18,49,630.15","5,02,032"
05-Jun-2024,EQ,162.15,169.6,159.0,158.95,169.0,169.2,164.36,177.7,107.8,"6,00,98,501","9,87,80,09,016.65","4,38,996"
04-Jun-2024,EQ,174.5,174.65,148.15,174.25,160.0,158.95,160.74,177.7,107.8,"12,50,42,158","20,09,89,94,147.15","7,84,621"
03-Jun-2024,EQ,173.25,175.0,168.85,167.2,174.35,174.25,172.44,177.7,107.8,"8,63,97,540","14,89,83,11,518.85","4,10,714"
31-May-2024,EQ,166.05,167.95,164.0,164.15,167.45,167.2,166.27,177.7,105.6,"8,37,13,848","13,91,93,26,623.35","3,59,449"
30-May-2024,EQ,172.0,172.0,163.35,174.25,165.2,164.15,166.88,177.7,105.6,"10,88,13,875","18,15,84,03,070.95","5,73,678"
29-May-2024,EQ,174.75,176.0,173.5,174.9,174.0,174.25,174.52,177.7,105.6,"3,65,75,550","6,38,32,86,199.70","1,82,235"
28-May-2024,EQ,175.9,177.5,173.45,175.5,175.1,174.9,175.61,177.7,105.6,"3,92,08,456","6,88,55,22,861.00","2,08,812"
27-May-2024,EQ,177.7,177.7,174.85,174.85,175.7,175.5,176.22,177.7,105.6,"3,04,10,585","5,35,89,26,345.45","2,01,390"
24-May-2024,EQ,174.95,177.55,174.15,175.5,174.9,174.85,176.15,177.55,104.3,"3,86,74,485","6,81,23,56,745.80","2,27,760"
23-May-2024,EQ,173.05,175.8,170.5,173.3,175.15,175.5,173.37,175.8,104.3,"4,93,77,680","8,56,04,07,772.75","2,59,776"
22-May-2024,EQ,175.45,175.5,171.5,174.35,173.05,173.3,173.1,175.5,104.3,"4,29,19,832","7,42,95,55,143.25","2,98,848"
21-May-2024,EQ,168.5,175.2,167.95,167.9,174.0,174.35,172.79,175.2,104.3,"8,48,33,644","14,65,84,80,689.45","4,50,461"
18-May-2024,EQ,168.0,168.3,167.3,167.35,167.8,167.9,167.97,170.75,104.05,"36,01,856","60,49,92,471.00","41,951"
17-May-2024,EQ,166.6,168.45,165.45,165.9,167.2,167.35,167.21,170.75,104.05,"3,91,81,277","6,55,16,40,449.55","2,07,093"
16-May-2024,EQ,167.25,168.0,162.3,165.6,165.85,165.9,165.1,170.75,104.05,"4,11,26,570","6,78,99,14,756.65","2,45,941"
15-May-2024,EQ,164.95,167.55,164.95,164.95,165.85,165.6,166.13,170.75,104.05,"2,96,01,304","4,91,77,56,615.05","1,74,079"
14-May-2024,EQ,164.1,166.55,163.5,163.85,164.85,164.95,165.16,170.75,104.05,"4,62,61,468","7,64,07,42,993.35","1,83,357"
13-May-2024,EQ,162.45,164.5,158.05,162.25,164.0,163.85,161.69,170.75,104.05,"3,65,61,003","5,91,16,80,494.35","2,26,641"
10-May-2024,EQ,163.2,164.35,161.85,161.9,162.4,162.25,162.98,170.75,104.05,"3,14,72,419","5,12,93,34,327.70","1,97,325"
09-May-2024,EQ,165.95,166.7,161.5,166.05,162.0,161.9,164.05,170.75,104.05,"3,02,23,088","4,95,81,23,948.30","2,53,157"
08-May-2024,EQ,164.2,167.1,163.5,164.25,166.4,166.05,165.88,170.75,104.05,"3,01,28,705","4,99,78,67,651.85","2,15,473"
07-May-2024,EQ,167.95,167.95,162.3,167.6,164.2,164.25,164.76,170.75,104.05,"4,36,11,824","7,18,56,54,180.00","2,46,880"
06-May-2024,EQ,167.95,168.65,164.7,166.5,167.5,167.6,167.17,170.75,104.05,"3,76,21,296","6,28,92,01,845.55","2,41,194"
03-May-2024,EQ,168.95,170.75,165.15,167.35,166.5,166.5,168.13,170.75,104.05,"6,25,73,586","10,52,04,00,677.30","3,11,958"
02-May-2024,EQ,165.0,168.9,165.0,165.0,167.6,167.35,167.53,170.7,104.05,"6,93,20,283","11,61,34,35,326.65","3,25,535"
30-Apr-2024,EQ,168.4,168.4,164.5,167.4,164.75,165.0,165.94,170.7,104.05,"5,50,43,389","9,13,38,38,759.10","2,46,416"
29-Apr-2024,EQ,168.2,169.6,166.9,165.8,167.4,167.4,167.97,170.7,104.05,"4,49,06,151","7,54,29,47,752.55","2,33,688"
26-Apr-2024,EQ,168.0,170.7,165.25,167.7,166.2,165.8,167.69,170.7,104.05,"6,53,55,111","10,95,95,87,744.55","3,35,513"
25-Apr-2024,EQ,165.4,168.0,164.15,165.55,167.0,167.7,166.15,169.8,104.05,"5,01,28,523","8,32,87,69,807.60","2,51,319"
24-Apr-2024,EQ,162.45,166.9,161.45,161.15,165.7,165.55,164.89,169.8,104.05,"5,98,94,921","9,87,58,69,663.50","2,85,424"
23-Apr-2024,EQ,163.5,163.5,160.8,161.85,161.1,161.15,161.98,169.8,104.05,"3,02,95,177","4,90,72,04,050.10","1,93,536"
22-Apr-2024,EQ,163.8,164.7,161.5,162.1,162.1,161.85,162.68,169.8,104.05,"3,93,04,790","6,39,42,60,034.35","2,18,374"
19-Apr-2024,EQ,160.0,162.5,157.3,160.05,161.9,162.1,160.47,169.8,104.05,"6,00,78,229","9,64,07,77,692.75","3,35,708"
18-Apr-2024,EQ,160.9,164.0,159.15,160.05,161.2,160.05,161.96,169.8,104.05,"6,80,93,672","11,02,83,07,685.70","3,42,037"
16-Apr-2024,EQ,160.85,162.45,159.0,160.85,160.3,160.05,160.8,169.8,104.05,"4,13,91,261","6,65,57,79,993.65","2,46,139"
15-Apr-2024,EQ,161.8,164.7,158.6,163.5,161.15,160.85,161.55,169.8,104.05,"6,64,26,404","10,73,14,69,727.25","3,93,289"
12-Apr-2024,EQ,166.0,166.0,163.0,165.05,163.5,163.5,164.33,169.8,104.05,"5,53,17,636","9,09,04,22,774.55","3,11,078"
10-Apr-2024,EQ,167.3,169.2,164.5,166.0,165.1,165.05,166.69,169.8,104.05,"6,41,34,758","10,69,03,58,754.00","3,52,243"
09-Apr-2024,EQ,166.0,169.8,165.2,165.2,166.05,166.0,167.56,169.8,104.05,"6,38,84,687","10,70,42,98,236.30","3,06,316"
08-Apr-2024,EQ,166.95,166.95,164.2,163.35,164.9,165.2,165.36,166.95,104.05,"4,82,55,703","7,97,94,91,102.00","2,62,899"
05-Apr-2024,EQ,163.9,164.15,160.8,163.4,163.3,163.35,162.44,166.25,103.2,"4,46,68,121","7,25,60,80,475.65","2,59,852"
04-Apr-2024,EQ,165.55,165.95,161.0,163.65,163.95,163.4,163.29,166.25,103.2,"6,10,94,750","9,97,60,16,855.60","3,46,150"
03-Apr-2024,EQ,164.65,166.25,163.1,164.65,163.6,163.65,164.75,166.25,103.2,"5,09,38,559","8,39,19,59,653.70","3,58,923"
02-Apr-2024,EQ,162.95,165.5,161.8,163.15,164.6,164.65,163.87,165.5,103.2,"6,95,33,405","11,39,43,81,243.00","3,35,307"
01-Apr-2024,EQ,156.8,163.9,156.5,155.85,162.8,163.15,161.41,163.9,103.2,"8,45,83,929","13,65,25,41,333.45","3,97,933"
28-Mar-2024,EQ,152.7,157.0,152.7,152.7,156.2,155.85,155.17,159.15,101.65,"6,25,75,327","9,71,01,20,664.75","3,29,742"
27-Mar-2024,EQ,152.45,154.1,152.0,152.4,152.6,152.7,153.04,159.15,101.65,"3,53,28,794","5,40,67,35,730.80","1,99,762"
26-Mar-2024,EQ,151.15,153.4,150.5,151.8,152.25,152.4,152.04,159.15,101.65,"5,29,65,508","8,05,29,25,286.50","2,93,448"
22-Mar-2024,EQ,149.0,152.75,148.35,150.1,151.45,151.8,151.31,159.15,101.55,"6,82,41,556","10,32,53,86,812.25","3,11,476"
21-Mar-2024,EQ,148.0,151.2,147.8,145.65,150.2,150.1,150.09,159.15,101.55,"8,42,25,737","12,64,14,13,031.40","4,39,293"
20-Mar-2024,EQ,149.6,150.65,143.85,148.75,145.4,145.65,146.24,159.15,101.55,"7,75,50,319","11,34,12,30,039.55","3,43,720"
19-Mar-2024,EQ,149.0,152.45,147.6,149.7,148.7,148.75,149.67,159.15,101.55,"10,50,04,268","15,71,61,92,714.60","5,17,768"
18-Mar-2024,EQ,142.55,150.25,142.2,141.7,148.8,149.7,147.47,159.15,101.55,"16,69,13,078","24,61,39,25,688.70","5,75,951"
15-Mar-2024,EQ,142.9,143.7,139.85,142.45,141.8,141.7,141.75,159.15,101.55,"6,84,82,621","9,70,77,07,220.45","3,40,024"
14-Mar-2024,EQ,143.6,143.95,138.35,143.65,142.7,142.45,141.39,159.15,101.55,"9,19,56,952","13,00,14,14,682.75","4,73,239"
13-Mar-2024,EQ,152.8,152.9,142.5,152.5,143.35,143.65,146.32,159.15,101.55,"7,09,37,597","10,37,94,00,488.50","3,86,517"
12-Mar-2024,EQ,154.2,154.55,150.9,153.45,152.3,152.5,152.46,159.15,101.55,"3,49,47,937","5,32,81,22,657.40","2,51,671"
11-Mar-2024,EQ,158.9,158.9,153.0,157.25,153.75,153.45,154.27,159.15,101.55,"5,41,55,385","8,35,45,83,831.05","3,50,516"
07-Mar-2024,EQ,152.4,159.15,152.25,151.6,157.05,157.25,156.5,159.15,101.55,"12,48,47,699","19,53,90,09,874.65","5,69,247"
06-Mar-2024,EQ,151.8,152.65,147.9,151.85,151.75,151.6,149.88,156.2,101.55,"5,17,82,444","7,76,11,23,617.70","2,48,968"
05-Mar-2024,EQ,153.2,154.0,150.75,153.1,152.0,151.85,152.4,156.2,101.55,"3,71,65,490","5,66,41,92,406.90","2,55,164"
