Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"1,432.80","1,434.80","1,410.00","1,427.75","1,410.00","1,413.05","1,423.22","1,440.30","1,082.30","15,65,878","2,22,85,88,363.25","52,987"
25-Jun-2024,EQ,"1,398.80","1,432.00","1,394.75","1,401.70","1,426.50","1,427.75","1,417.55","1,440.30","1,082.30","22,01,375","3,12,05,59,536.45","68,602"
24-Jun-2024,EQ,"1,390.00","1,409.00","1,381.00","1,399.80","1,400.00","1,401.70","1,400.08","1,440.30","1,082.30","11,11,433","1,55,60,96,068.35","40,240"
21-Jun-2024,EQ,"1,408.00","1,440.30","1,386.05","1,393.10","1,392.00","1,399.80","1,408.19","1,440.30","1,074.05","68,36,535","9,62,71,19,447.25","1,81,146"
20-Jun-2024,EQ,"1,386.00","1,399.00","1,371.45","1,381.15","1,394.00","1,393.10","1,385.31","1,416.30","1,074.05","19,87,190","2,75,28,66,855.25","99,531"
19-Jun-2024,EQ,"1,377.00","1,386.95","1,361.00","1,371.35","1,379.00","1,381.15","1,376.58","1,416.30","1,074.05","13,13,197","1,80,77,16,806.80","60,524"
18-Jun-2024,EQ,"1,380.45","1,391.45","1,370.15","1,371.45","1,373.95","1,371.35","1,378.28","1,416.30","1,074.05","9,50,760","1,31,04,12,085.30","50,138"
14-Jun-2024,EQ,"1,395.00","1,395.75","1,364.10","1,388.95","1,372.00","1,371.45","1,373.81","1,416.30","1,062.15","17,33,356","2,38,12,98,526.90","65,839"
13-Jun-2024,EQ,"1,380.00","1,396.85","1,375.35","1,370.60","1,389.30","1,388.95","1,388.81","1,416.30","1,062.15","19,53,367","2,71,28,54,093.60","90,936"
12-Jun-2024,EQ,"1,364.80","1,381.00","1,357.15","1,349.45","1,371.75","1,370.60","1,369.28","1,416.30","1,062.15","27,86,009","3,81,48,13,015.75","1,04,574"
11-Jun-2024,EQ,"1,348.90","1,359.85","1,341.15","1,340.35","1,351.30","1,349.45","1,351.66","1,416.30","1,062.15","14,65,705","1,98,11,28,720.65","67,561"
10-Jun-2024,EQ,"1,377.60","1,378.00","1,335.15","1,377.60","1,341.00","1,340.35","1,343.96","1,416.30","1,062.15","25,32,308","3,40,33,19,365.15","76,034"
07-Jun-2024,EQ,"1,330.00","1,381.00","1,327.00","1,317.45","1,372.55","1,377.60","1,361.26","1,416.30","1,060.10","57,90,599","7,88,25,17,755.55","2,23,759"
06-Jun-2024,EQ,"1,285.00","1,323.60","1,274.20","1,266.90","1,323.00","1,317.45","1,304.57","1,416.30","1,060.10","32,05,121","4,18,12,92,517.90","1,74,117"
05-Jun-2024,EQ,"1,260.00","1,284.95","1,236.75","1,239.30","1,268.00","1,266.90","1,264.83","1,416.30","1,060.10","27,09,585","3,42,71,60,515.45","1,14,240"
04-Jun-2024,EQ,"1,245.35","1,253.70","1,193.65","1,245.35","1,247.95","1,239.30","1,229.48","1,416.30","1,060.10","24,71,911","3,03,91,73,466.00","1,22,799"
03-Jun-2024,EQ,"1,255.00","1,261.80","1,236.55","1,228.45","1,244.00","1,245.35","1,246.85","1,416.30","1,060.10","10,91,287","1,36,06,69,287.45","74,134"
31-May-2024,EQ,"1,245.95","1,255.25","1,224.05","1,240.85","1,232.30","1,228.45","1,235.55","1,416.30","1,060.10","46,49,449","5,74,46,48,383.55","1,48,146"
30-May-2024,EQ,"1,280.05","1,287.75","1,235.35","1,286.45","1,245.80","1,240.85","1,256.12","1,416.30","1,060.10","26,10,479","3,27,90,83,027.75","1,12,283"
29-May-2024,EQ,"1,314.00","1,314.00","1,284.10","1,315.10","1,285.30","1,286.45","1,294.47","1,416.30","1,060.10","14,05,567","1,81,94,59,982.10","96,474"
28-May-2024,EQ,"1,329.00","1,330.35","1,311.30","1,329.70","1,313.80","1,315.10","1,319.69","1,416.30","1,060.10","16,08,944","2,12,33,00,476.90","51,429"
27-May-2024,EQ,"1,323.00","1,342.80","1,318.25","1,321.75","1,329.00","1,329.70","1,332.34","1,416.30","1,060.10","9,80,450","1,30,62,97,126.05","44,123"
24-May-2024,EQ,"1,337.50","1,345.00","1,318.00","1,337.50","1,318.55","1,321.75","1,330.62","1,416.30","1,060.10","12,88,301","1,71,42,43,010.75","61,644"
23-May-2024,EQ,"1,336.00","1,343.95","1,325.10","1,330.40","1,335.00","1,337.50","1,336.62","1,416.30","1,060.10","14,40,740","1,92,57,25,819.75","89,676"
22-May-2024,EQ,"1,330.00","1,335.40","1,311.05","1,323.90","1,330.10","1,330.40","1,327.42","1,416.30","1,060.10","14,11,627","1,87,38,21,763.90","74,037"
21-May-2024,EQ,"1,307.00","1,327.00","1,304.10","1,305.65","1,327.00","1,323.90","1,318.45","1,416.30","1,060.10","14,53,689","1,91,66,17,392.85","95,377"
18-May-2024,EQ,"1,305.40","1,312.05","1,298.60","1,305.40","1,306.00","1,305.65","1,306.35","1,416.30","1,039.00","83,153","10,86,26,983.15","4,716"
17-May-2024,EQ,"1,309.10","1,320.00","1,297.80","1,307.95","1,304.20","1,305.40","1,309.87","1,416.30","1,039.00","19,25,387","2,52,20,04,375.10","1,07,724"
16-May-2024,EQ,"1,287.00","1,312.60","1,281.30","1,274.50","1,304.00","1,307.95","1,299.53","1,416.30","1,039.00","48,68,225","6,32,64,15,799.05","2,10,017"
15-May-2024,EQ,"1,275.00","1,282.95","1,265.00","1,275.50","1,276.90","1,274.50","1,274.72","1,416.30","1,039.00","10,08,105","1,28,50,56,455.20","71,118"
14-May-2024,EQ,"1,263.95","1,284.00","1,254.10","1,262.05","1,275.00","1,275.50","1,269.44","1,416.30","1,039.00","13,86,032","1,75,94,88,335.70","67,925"
13-May-2024,EQ,"1,264.40","1,266.35","1,250.05","1,264.40","1,260.80","1,262.05","1,258.65","1,416.30","1,039.00","5,93,453","74,69,50,724.85","34,030"
10-May-2024,EQ,"1,266.00","1,273.20","1,248.25","1,269.10","1,264.00","1,264.40","1,262.11","1,416.30","1,034.05","13,22,206","1,66,87,71,842.85","70,449"
09-May-2024,EQ,"1,282.00","1,285.90","1,261.40","1,287.00","1,267.00","1,269.10","1,271.21","1,416.30","1,034.05","24,20,777","3,07,73,13,528.35","1,13,138"
08-May-2024,EQ,"1,294.00","1,300.00","1,280.35","1,292.45","1,285.00","1,287.00","1,290.42","1,416.30","1,034.05","13,32,284","1,71,92,06,326.85","54,385"
07-May-2024,EQ,"1,268.00","1,294.80","1,256.90","1,262.25","1,294.00","1,292.45","1,276.39","1,416.30","1,034.05","23,50,444","3,00,00,73,908.60","92,538"
06-May-2024,EQ,"1,258.00","1,265.70","1,245.10","1,250.45","1,262.00","1,262.25","1,258.95","1,416.30","1,034.05","13,63,667","1,71,67,91,690.50","60,276"
03-May-2024,EQ,"1,270.00","1,272.00","1,243.05","1,266.90","1,248.00","1,250.45","1,253.67","1,416.30","1,020.40","23,22,455","2,91,15,83,624.55","1,29,983"
02-May-2024,EQ,"1,263.20","1,274.35","1,253.50","1,263.50","1,269.00","1,266.90","1,265.11","1,416.30","1,020.40","21,24,221","2,68,73,66,369.05","1,17,448"
30-Apr-2024,EQ,"1,288.30","1,291.10","1,260.05","1,288.30","1,262.50","1,263.50","1,269.44","1,416.30","1,020.40","26,13,213","3,31,73,07,563.10","84,068"
29-Apr-2024,EQ,"1,290.00","1,311.00","1,285.00","1,278.75","1,285.40","1,288.30","1,297.42","1,416.30","1,020.40","41,20,529","5,34,60,52,151.25","1,35,999"
26-Apr-2024,EQ,"1,250.00","1,347.00","1,241.00","1,190.30","1,280.15","1,278.75","1,303.67","1,416.30",981.05,"2,04,31,926","26,63,64,14,609.85","4,35,299"
25-Apr-2024,EQ,"1,185.00","1,193.55","1,172.80","1,185.70","1,190.75","1,190.30","1,185.31","1,416.30",981.05,"33,57,065","3,97,91,63,797.35","1,17,539"
24-Apr-2024,EQ,"1,207.95","1,207.95","1,181.50","1,200.25","1,187.40","1,185.70","1,191.99","1,416.30",981.05,"13,75,843","1,63,99,93,965.00","59,828"
23-Apr-2024,EQ,"1,218.00","1,218.00","1,198.80","1,208.05","1,200.00","1,200.25","1,203.95","1,416.30",981.05,"14,60,983","1,75,89,50,995.15","56,044"
22-Apr-2024,EQ,"1,196.10","1,216.70","1,195.10","1,193.65","1,210.25","1,208.05","1,207.37","1,416.30",981.05,"13,64,143","1,64,70,30,101.50","58,565"
19-Apr-2024,EQ,"1,163.05","1,204.85","1,162.95","1,179.65","1,192.50","1,193.65","1,188.57","1,416.30",981.05,"25,72,144","3,05,71,82,910.75","1,31,888"
18-Apr-2024,EQ,"1,199.55","1,207.85","1,176.05","1,195.80","1,187.00","1,179.65","1,189.36","1,416.30",981.05,"32,42,357","3,85,63,16,306.65","1,34,741"
16-Apr-2024,EQ,"1,205.00","1,213.15","1,191.00","1,218.75","1,196.85","1,195.80","1,202.23","1,416.30",981.05,"20,85,459","2,50,71,99,933.75","70,106"
