Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"3,401.50","3,401.50","3,370.00","3,402.45","3,375.90","3,372.75","3,379.76","3,886.95","2,882.45","14,85,709","5,02,13,38,816.90","1,03,499"
25-Jun-2024,EQ,"3,412.55","3,423.40","3,384.90","3,412.35","3,404.00","3,402.45","3,399.74","3,886.95","2,882.45","12,99,560","4,41,81,68,428.15","61,065"
24-Jun-2024,EQ,"3,380.35","3,429.00","3,372.30","3,399.75","3,419.00","3,412.35","3,404.38","3,886.95","2,882.45","6,45,002","2,19,58,30,196.60","54,751"
21-Jun-2024,EQ,"3,430.70","3,473.65","3,383.40","3,435.95","3,400.05","3,399.75","3,409.16","3,886.95","2,882.45","27,07,405","9,22,99,85,382.85","1,68,682"
20-Jun-2024,EQ,"3,474.00","3,490.00","3,418.10","3,462.35","3,443.85","3,435.95","3,442.85","3,886.95","2,882.45","23,77,432","8,18,51,41,364.65","1,48,754"
19-Jun-2024,EQ,"3,595.00","3,595.00","3,456.00","3,589.00","3,459.75","3,462.35","3,488.09","3,886.95","2,882.45","18,62,394","6,49,61,96,538.40","1,67,833"
18-Jun-2024,EQ,"3,554.80","3,625.00","3,538.00","3,530.05","3,586.00","3,589.00","3,595.24","3,886.95","2,882.45","15,85,048","5,69,86,20,533.80","1,10,262"
14-Jun-2024,EQ,"3,490.00","3,535.00","3,479.00","3,472.20","3,531.00","3,530.05","3,504.86","3,886.95","2,833.25","23,46,892","8,22,55,31,474.90","1,26,264"
13-Jun-2024,EQ,"3,424.95","3,477.10","3,390.00","3,382.30","3,472.90","3,472.20","3,447.69","3,886.95","2,833.25","17,53,028","6,04,39,04,525.65","1,20,064"
12-Jun-2024,EQ,"3,411.35","3,418.90","3,370.85","3,410.70","3,384.95","3,382.30","3,384.71","3,886.95","2,833.25","20,54,168","6,95,27,58,352.45","1,30,719"
11-Jun-2024,EQ,"3,418.20","3,438.30","3,401.90","3,422.20","3,408.40","3,410.70","3,416.03","3,886.95","2,833.25","10,86,157","3,71,03,49,599.35","58,591"
10-Jun-2024,EQ,"3,443.00","3,452.00","3,390.00","3,444.05","3,420.00","3,422.20","3,414.81","3,886.95","2,833.25","16,55,552","5,65,33,96,315.80","95,993"
07-Jun-2024,EQ,"3,294.40","3,456.60","3,294.40","3,321.65","3,434.80","3,444.05","3,403.15","3,886.95","2,833.25","20,84,099","7,09,24,94,619.15","1,36,449"
06-Jun-2024,EQ,"3,329.00","3,360.00","3,290.75","3,317.65","3,333.00","3,321.65","3,319.34","3,886.95","2,833.25","18,25,503","6,05,94,68,577.05","1,47,143"
05-Jun-2024,EQ,"3,266.00","3,334.00","3,201.05","3,238.95","3,314.05","3,317.65","3,294.25","3,886.95","2,833.25","13,96,386","4,60,00,42,650.85","1,19,199"
04-Jun-2024,EQ,"3,261.20","3,295.20","3,055.65","3,261.20","3,260.00","3,238.95","3,215.72","3,886.95","2,833.25","29,34,800","9,43,74,93,407.50","2,66,725"
03-Jun-2024,EQ,"3,310.00","3,332.95","3,250.00","3,241.90","3,260.00","3,261.20","3,276.32","3,886.95","2,833.25","13,78,542","4,51,65,41,363.35","1,32,424"
31-May-2024,EQ,"3,298.00","3,328.80","3,216.75","3,271.85","3,250.90","3,241.90","3,265.92","3,886.95","2,745.00","25,24,214","8,24,38,68,713.15","1,62,003"
30-May-2024,EQ,"3,365.00","3,365.00","3,254.00","3,380.40","3,289.00","3,271.85","3,295.40","3,886.95","2,745.00","23,65,535","7,79,53,95,309.15","2,49,490"
29-May-2024,EQ,"3,405.35","3,418.00","3,371.10","3,409.40","3,378.00","3,380.40","3,397.18","3,886.95","2,745.00","5,19,533","1,76,49,47,999.35","54,859"
28-May-2024,EQ,"3,404.00","3,423.00","3,392.15","3,403.40","3,409.75","3,409.40","3,406.28","3,886.95","2,745.00","5,48,576","1,86,86,04,064.95","50,153"
27-May-2024,EQ,"3,423.95","3,436.30","3,390.30","3,412.40","3,404.00","3,403.40","3,412.87","3,886.95","2,745.00","8,04,488","2,74,56,14,415.70","69,087"
24-May-2024,EQ,"3,452.10","3,455.05","3,404.20","3,452.05","3,411.00","3,412.40","3,426.08","3,886.95","2,670.00","8,78,625","3,01,02,41,182.40","77,558"
23-May-2024,EQ,"3,383.00","3,460.40","3,377.75","3,383.85","3,444.65","3,452.05","3,429.39","3,886.95","2,670.00","9,77,789","3,35,32,19,427.75","1,05,243"
22-May-2024,EQ,"3,384.75","3,403.10","3,360.00","3,377.00","3,382.95","3,383.85","3,386.61","3,886.95","2,670.00","6,26,567","2,12,19,40,815.35","71,504"
21-May-2024,EQ,"3,355.00","3,380.30","3,351.00","3,362.55","3,375.00","3,377.00","3,369.49","3,886.95","2,670.00","8,27,674","2,78,88,40,489.40","80,838"
18-May-2024,EQ,"3,376.00","3,376.00","3,345.00","3,361.15","3,363.00","3,362.55","3,362.73","3,886.95","2,670.00","56,642","19,04,71,605.15","6,444"
17-May-2024,EQ,"3,347.95","3,368.00","3,308.00","3,333.90","3,365.30","3,361.15","3,347.81","3,886.95","2,670.00","11,94,228","3,99,80,43,624.65","89,306"
16-May-2024,EQ,"3,276.30","3,348.00","3,251.30","3,268.55","3,338.00","3,333.90","3,290.00","3,886.95","2,670.00","14,04,971","4,62,23,60,721.70","1,48,459"
15-May-2024,EQ,"3,304.00","3,306.45","3,260.00","3,288.90","3,269.90","3,268.55","3,276.82","3,886.95","2,670.00","6,57,036","2,15,29,86,020.30","72,285"
14-May-2024,EQ,"3,250.00","3,308.00","3,250.00","3,253.65","3,290.10","3,288.90","3,289.48","3,886.95","2,670.00","6,20,163","2,04,00,15,263.40","68,973"
13-May-2024,EQ,"3,307.50","3,308.00","3,230.50","3,289.85","3,256.40","3,253.65","3,256.12","3,886.95","2,670.00","12,94,603","4,21,53,83,855.35","1,15,253"
10-May-2024,EQ,"3,258.10","3,306.20","3,242.75","3,245.70","3,292.90","3,289.85","3,286.19","3,886.95","2,670.00","13,07,103","4,29,53,83,125.45","1,08,217"
09-May-2024,EQ,"3,259.85","3,322.50","3,233.00","3,259.85","3,244.50","3,245.70","3,266.63","3,886.95","2,670.00","18,60,654","6,07,80,77,254.35","1,99,058"
08-May-2024,EQ,"3,275.40","3,281.00","3,238.45","3,270.90","3,255.00","3,259.85","3,255.85","3,886.95","2,670.00","20,54,981","6,69,07,00,307.90","1,99,156"
