Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2024,EQ,"10,907.70","11,261.00","10,903.00","10,846.20","11,154.00","11,143.10","11,136.81","11,299.00","7,987.65","7,93,197","8,83,36,84,957.75","1,12,877"
25-Jun-2024,EQ,"10,801.95","11,007.95","10,800.40","10,786.00","10,875.00","10,846.20","10,914.82","11,299.00","7,987.65","5,62,075","6,13,49,48,636.75","63,699"
24-Jun-2024,EQ,"10,717.50","10,845.00","10,594.65","10,662.40","10,780.35","10,786.00","10,742.16","11,299.00","7,987.65","2,76,148","2,96,64,24,642.10","44,896"
21-Jun-2024,EQ,"10,882.50","10,961.45","10,611.55","10,903.20","10,638.80","10,662.40","10,731.59","11,299.00","7,987.65","5,86,745","6,29,67,08,866.10","1,10,877"
20-Jun-2024,EQ,"11,008.90","11,173.90","10,875.40","10,995.55","10,938.00","10,903.20","10,993.13","11,299.00","7,987.65","4,45,369","4,89,59,98,746.35","93,209"
19-Jun-2024,EQ,"11,150.00","11,177.70","10,968.25","11,119.05","10,994.05","10,995.55","11,021.22","11,299.00","7,987.65","6,59,266","7,26,59,12,602.20","70,880"
18-Jun-2024,EQ,"11,250.00","11,269.35","11,051.65","11,242.80","11,120.10","11,119.05","11,124.28","11,299.00","7,987.65","3,22,724","3,59,00,73,350.30","53,007"
14-Jun-2024,EQ,"11,170.00","11,271.00","11,147.30","11,173.80","11,250.00","11,242.80","11,218.86","11,299.00","7,987.65","3,05,318","3,42,53,19,458.75","56,711"
13-Jun-2024,EQ,"11,250.00","11,299.00","10,996.15","11,044.80","11,155.25","11,173.80","11,127.70","11,299.00","7,987.65","6,02,322","6,70,24,58,095.45","1,09,755"
12-Jun-2024,EQ,"10,871.50","11,099.95","10,871.50","10,933.55","11,038.00","11,044.80","11,009.69","11,099.95","7,987.65","4,39,143","4,83,48,29,952.10","70,764"
11-Jun-2024,EQ,"10,903.95","10,989.00","10,826.25","10,826.25","10,929.80","10,933.55","10,927.15","10,989.00","7,987.65","6,50,137","7,10,41,44,478.85","86,433"
10-Jun-2024,EQ,"10,495.00","10,907.95","10,463.15","10,463.15","10,804.00","10,826.25","10,795.20","10,907.95","7,987.65","7,05,256","7,61,33,77,327.90","1,12,495"
07-Jun-2024,EQ,"9,965.00","10,505.00","9,965.00","10,054.95","10,435.95","10,463.15","10,362.61","10,526.00","7,865.00","5,45,284","5,65,05,64,640.30","1,00,222"
06-Jun-2024,EQ,"9,995.00","10,176.50","9,931.10","10,038.10","10,060.05","10,054.95","10,038.96","10,526.00","7,865.00","4,83,566","4,85,44,98,687.55","1,00,190"
05-Jun-2024,EQ,"9,989.95","10,070.00","9,740.00","9,918.30","10,016.00","10,038.10","9,931.22","10,526.00","7,865.00","3,61,720","3,59,23,21,232.75","66,029"
04-Jun-2024,EQ,"10,475.00","10,498.50","9,534.95","10,470.05","9,999.00","9,918.30","10,128.19","10,526.00","7,865.00","9,72,018","9,84,47,87,701.00","1,71,158"
03-Jun-2024,EQ,"10,300.00","10,519.80","10,216.35","9,915.50","10,450.00","10,470.05","10,435.53","10,526.00","7,865.00","7,32,632","7,64,54,04,775.10","1,02,794"
